recording_id,window_size,segment_idx,audio_path,audio_exists,offset,duration,sample_rate,channels,audio_speech_sec,audio_speech_ratio,audio_mean_db,audio_p20_db,audio_p50_db,audio_p90_db,audio_p95_db,audio_threshold_db,audio_dynamic_range_db,audio_high_energy_ratio,audio_low_energy_ratio,audio_max_speech_sec,audio_max_speech_ratio,audio_max_mean_db,audio_max_p90_db,audio_max_threshold_db,audio_max_minus_mean_p90_db,audio_channel_activity_mean,audio_channel_activity_p90,audio_channel_activity_ratio,audio_frame_count,feature_status
R8003_M8001,30,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,90.0,30.0,16000,8,3.89,0.1297,-51.4103,-56.3164,-51.3435,-44.218,-42.4695,-45.0,12.0984,0.1001,0.2001,10.44,0.348,-47.8334,-39.4921,-45.0,4.7259,1.6481,7.0,0.206,2998,ok
R8003_M8001,30,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,150.0,30.0,16000,8,15.92,0.5307,-45.7798,-52.7191,-44.1195,-36.7958,-35.1116,-44.7191,15.9233,0.1001,0.2001,16.45,0.5483,-41.9458,-32.5156,-41.1961,4.2802,3.1641,8.0,0.3955,2998,ok
R8003_M8001,30,2,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,180.0,30.0,16000,8,8.74,0.2913,-49.1452,-54.9438,-48.9614,-41.103,-39.1905,-45.0,13.8407,0.1001,0.2001,13.38,0.446,-45.3377,-36.7084,-43.6977,4.3946,2.4573,8.0,0.3072,2998,ok
R8003_M8001,30,3,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,240.0,30.0,16000,8,15.55,0.5183,-46.3232,-53.6502,-44.6115,-36.2003,-34.5689,-45.0,17.4498,0.1001,0.2001,16.96,0.5653,-41.993,-30.9111,-41.7298,5.2892,3.1041,8.0,0.388,2998,ok
R8003_M8001,30,4,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,420.0,30.0,16000,8,16.3,0.5433,-45.0078,-51.9796,-43.0151,-35.9985,-34.4629,-43.9796,15.9811,0.1001,0.2001,16.61,0.5537,-41.2162,-31.6353,-40.3544,4.3632,3.0704,8.0,0.3838,2998,ok
R8003_M8001,30,5,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,810.0,30.0,16000,8,9.14,0.3047,-50.2759,-58.8181,-48.9246,-40.1584,-37.8968,-45.0,18.6597,0.1001,0.2001,15.51,0.517,-46.4361,-35.5606,-45.0,4.5979,2.9937,8.0,0.3742,2998,ok
R8003_M8001,30,6,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,840.0,30.0,16000,8,17.4,0.58,-45.6423,-53.7965,-43.3816,-36.3363,-34.8375,-45.0,17.4602,0.1001,0.2001,18.0,0.6,-41.8314,-31.8366,-41.9691,4.4998,3.5477,8.0,0.4435,2998,ok
R8003_M8001,30,7,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,930.0,30.0,16000,8,16.64,0.5547,-46.2139,-54.3368,-43.848,-36.1173,-34.0488,-45.0,18.2195,0.1001,0.2001,18.43,0.6143,-41.7031,-30.8182,-42.1757,5.299,3.3686,8.0,0.4211,2998,ok
R8003_M8001,30,8,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,1020.0,30.0,16000,8,17.35,0.5783,-44.1773,-51.5225,-42.0119,-34.4314,-32.1785,-43.5225,17.0912,0.1001,0.2001,18.25,0.6083,-40.0434,-29.4741,-40.0702,4.9573,3.3969,8.0,0.4246,2998,ok
R8003_M8001,30,9,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,1050.0,30.0,16000,8,13.93,0.4643,-46.8279,-55.5522,-45.7281,-36.4473,-34.0689,-45.0,19.1049,0.1001,0.2001,19.16,0.6387,-42.5416,-31.0683,-44.6823,5.379,3.7802,8.0,0.4725,2998,ok
R8003_M8001,30,10,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,1110.0,30.0,16000,8,15.78,0.526,-46.4207,-54.1109,-44.4531,-35.8819,-33.9161,-45.0,18.229,0.1001,0.2001,17.54,0.5847,-42.5916,-31.2817,-42.6192,4.6001,3.6217,8.0,0.4527,2998,ok
R8003_M8001,30,11,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,1290.0,30.0,16000,8,7.9,0.2633,-49.3538,-55.5292,-49.4395,-38.8689,-36.2408,-45.0,16.6603,0.1001,0.2001,12.4,0.4133,-45.1905,-33.7363,-43.7583,5.1325,2.0831,8.0,0.2604,2998,ok
R8003_M8001,30,12,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,1410.0,30.0,16000,8,4.29,0.143,-51.9983,-58.0667,-51.466,-43.9646,-42.3392,-45.0,14.1021,0.1001,0.2001,10.5,0.35,-48.4001,-39.5067,-45.0,4.4578,1.7198,7.0,0.215,2998,ok
R8003_M8001,30,13,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,1710.0,30.0,16000,8,8.69,0.2897,-49.9269,-56.5271,-49.3803,-40.534,-38.5658,-45.0,15.993,0.1001,0.2001,14.73,0.491,-45.9751,-36.2507,-45.0,4.2833,2.8249,8.0,0.3531,2998,ok
R8003_M8001,30,14,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,True,1830.0,30.0,16000,8,9.06,0.302,-50.2475,-59.0845,-48.7956,-40.363,-38.3434,-45.0,18.7216,0.1001,0.2001,15.81,0.527,-45.8877,-35.1414,-45.0,5.2216,2.7432,8.0,0.3429,2998,ok
R8007_M8010,30,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,30.0,30.0,16000,8,10.04,0.3347,-38.3255,-42.8225,-36.9753,-30.467,-28.6687,-34.8225,12.3555,0.1001,0.2001,11.7,0.39,-33.7782,-26.0238,-30.8039,4.4432,1.5827,6.0,0.1978,2998,ok
R8007_M8010,30,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,60.0,30.0,16000,8,11.28,0.376,-37.1677,-41.6026,-35.6672,-28.919,-27.3652,-33.6026,12.6835,0.1001,0.2001,12.05,0.4017,-32.6607,-24.235,-29.2514,4.684,1.6137,6.0,0.2017,2998,ok
R8007_M8010,30,2,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,150.0,30.0,16000,8,6.75,0.225,-38.1007,-41.7473,-37.1933,-31.8132,-30.2135,-33.7473,9.9341,0.1001,0.2001,8.08,0.2693,-33.5309,-26.8674,-29.5556,4.9458,0.8376,3.0,0.1047,2998,ok
R8007_M8010,30,3,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,360.0,30.0,16000,8,13.13,0.4377,-38.6091,-43.5737,-36.6124,-29.6015,-27.9942,-35.5737,13.9722,0.1001,0.2001,14.53,0.4843,-34.1006,-25.2222,-31.5066,4.3793,2.1468,7.0,0.2683,2998,ok
R8007_M8010,30,4,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,390.0,30.0,16000,8,12.46,0.4153,-37.4593,-42.688,-36.0077,-29.5749,-28.5029,-34.688,13.1131,0.1001,0.2001,13.38,0.446,-32.9162,-25.0849,-30.4411,4.49,1.8419,6.0,0.2302,2998,ok
R8007_M8010,30,5,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,420.0,30.0,16000,8,10.19,0.3397,-37.9434,-42.4982,-36.7478,-30.263,-28.9974,-34.4982,12.2352,0.1001,0.2001,11.33,0.3777,-33.5167,-25.6639,-30.3786,4.5991,1.495,5.0,0.1869,2998,ok
R8007_M8010,30,6,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,780.0,30.0,16000,8,7.86,0.262,-35.5739,-39.5019,-34.4462,-28.683,-26.8741,-31.5019,10.8189,0.1001,0.2001,8.6,0.2867,-31.1477,-24.0792,-27.256,4.6039,0.9947,4.0,0.1243,2998,ok
R8007_M8010,30,7,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,960.0,30.0,16000,8,10.92,0.364,-32.9337,-38.2025,-32.6525,-24.267,-22.4505,-30.2025,13.9356,0.1001,0.2001,11.04,0.368,-28.2863,-20.0555,-25.4684,4.2114,1.6915,7.0,0.2114,2998,ok
R8007_M8010,30,8,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,1020.0,30.0,16000,8,13.87,0.4623,-37.0916,-43.3002,-36.1343,-27.739,-26.0609,-35.3002,15.5611,0.1001,0.2001,14.11,0.4703,-32.744,-23.3031,-30.8419,4.436,2.5594,8.0,0.3199,2998,ok
R8007_M8010,30,9,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,1050.0,30.0,16000,8,8.53,0.2843,-37.897,-42.3048,-37.3524,-29.3462,-27.2613,-34.3048,12.9585,0.1001,0.2001,9.13,0.3043,-33.5163,-25.0334,-30.1602,4.3128,1.3222,5.0,0.1653,2998,ok
R8007_M8010,30,10,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,1140.0,30.0,16000,8,9.68,0.3227,-37.7077,-42.336,-36.6667,-29.8407,-28.313,-34.336,12.4953,0.1001,0.2001,10.36,0.3453,-33.1703,-25.5144,-29.9013,4.3263,1.3296,5.0,0.1662,2998,ok
R8007_M8010,30,11,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,1230.0,30.0,16000,8,12.35,0.4117,-37.9934,-42.222,-35.4155,-29.0337,-27.6162,-34.222,13.1882,0.1001,0.2001,14.52,0.484,-33.4036,-24.2361,-30.3441,4.7976,2.0193,6.0,0.2524,2998,ok
R8007_M8010,30,12,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,1320.0,30.0,16000,8,9.93,0.331,-37.5569,-42.4976,-36.8178,-29.2425,-26.9452,-34.4976,13.2551,0.1001,0.2001,10.94,0.3647,-32.9649,-24.7482,-30.1019,4.4943,1.5514,6.0,0.1939,2998,ok
R8007_M8010,30,13,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,1350.0,30.0,16000,8,13.02,0.434,-38.2656,-43.4242,-36.5599,-28.5651,-26.9693,-35.4242,14.859,0.1001,0.2001,14.17,0.4723,-33.5086,-23.415,-31.1995,5.1502,2.2285,8.0,0.2786,2998,ok
R8007_M8010,30,14,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,True,1770.0,30.0,16000,8,7.68,0.256,-36.0996,-40.0527,-35.2464,-29.0764,-27.9214,-32.0527,10.9764,0.1001,0.2001,7.95,0.265,-31.6686,-24.5901,-27.7805,4.4863,0.9073,4.0,0.1134,2998,ok
R8007_M8011,30,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,True,0.0,30.0,16000,8,13.4,0.4467,-45.5472,-51.3102,-44.1028,-37.5209,-35.802,-43.3102,13.7893,0.1001,0.2001,10.76,0.3587,-41.1451,-33.577,-38.1973,3.9439,1.7058,7.0,0.2132,2998,ok
