fast_base,final_der,final_gap_to_oracle_pp,final_source,oracle_der,oracle_variant,recording_id,rule_recover_matched_label,rule_recover_policy_sweep_best,rule_recover_uncovered_only,segment_idx,slow_base,window_id,window_size
0.229,0.0891,0.0,slow,0.0891,slow_base,R8001_M8004,0.229,0.229,0.229,0,0.0891,R8001_M8004:30:0,30
0.4329,0.2578,0.0,slow,0.2578,slow_base,R8001_M8004,0.4068,0.4068,0.4016,1,0.2578,R8001_M8004:30:1,30
0.216,0.0936,0.010000000000000286,slow,0.0935,slow_base,R8001_M8004,0.216,0.216,0.216,2,0.0935,R8001_M8004:30:2,30
0.2329,0.0417,0.0,slow,0.0417,slow_base,R8001_M8004,0.1906,0.1905,0.1905,3,0.0417,R8001_M8004:30:3,30
0.8448,0.3245,0.009999999999998899,slow,0.3244,slow_base,R8001_M8004,0.6839,0.6839,0.6843,4,0.3244,R8001_M8004:30:4,30
0.8178,0.2321,0.0,slow,0.2321,slow_base,R8001_M8004,0.6879,0.6879,0.7048,5,0.2321,R8001_M8004:30:5,30
0.7177,0.3184,0.0,slow,0.3184,slow_base,R8001_M8004,0.6824,0.6824,0.6824,6,0.3184,R8001_M8004:30:6,30
0.1841,0.0731,-0.010000000000000286,slow,0.0732,slow_base,R8001_M8004,0.1841,0.1841,0.1841,7,0.0732,R8001_M8004:30:7,30
0.5783,0.2471,0.0,slow,0.2471,slow_base,R8001_M8004,0.5871,0.5871,0.5126,8,0.2471,R8001_M8004:30:8,30
0.8858,0.122,0.0,slow,0.122,slow_base,R8001_M8004,0.6636,0.6636,0.6636,9,0.122,R8001_M8004:30:9,30
0.2838,0.1242,0.0,slow,0.1242,slow_base,R8001_M8004,0.3614,0.3614,0.2805,10,0.1242,R8001_M8004:30:10,30
0.2661,0.1746,0.0,slow,0.1746,slow_base,R8001_M8004,0.2661,0.2661,0.2661,11,0.1746,R8001_M8004:30:11,30
0.9249,0.3042,0.0,slow,0.3042,slow_base,R8001_M8004,0.4103,0.4103,0.5893,12,0.3042,R8001_M8004:30:12,30
0.4297,0.1447,-0.010000000000001674,slow,0.1448,slow_base,R8001_M8004,0.3964,0.3964,0.3964,13,0.1448,R8001_M8004:30:13,30
0.2083,0.1409,0.0,slow,0.1409,slow_base,R8001_M8004,0.2083,0.2083,0.2083,14,0.1409,R8001_M8004:30:14,30
0.2002,0.1029,0.0,slow,0.1029,slow_base,R8003_M8001,0.1553,0.1553,0.1724,0,0.1029,R8003_M8001:30:0,30
0.107,0.0272,0.0,slow,0.0272,slow_base,R8003_M8001,0.0472,0.0473,0.0473,1,0.0272,R8003_M8001:30:1,30
0.219,0.0838,0.0,slow,0.0838,slow_base,R8003_M8001,0.2013,0.2073,0.2073,2,0.0838,R8003_M8001:30:2,30
0.0888,0.0278,-0.010000000000000286,slow,0.0279,slow_base,R8003_M8001,0.042,0.042,0.0498,3,0.0279,R8003_M8001:30:3,30
0.1873,0.1033,0.0,slow,0.1033,slow_base,R8003_M8001,0.1873,0.1873,0.1873,4,0.1033,R8003_M8001:30:4,30
0.1656,0.0738,-0.009999999999998899,slow,0.0739,slow_base,R8003_M8001,0.1308,0.1344,0.1344,5,0.0739,R8003_M8001:30:5,30
0.0887,0.0576,-0.01999999999999988,slow,0.0578,slow_base,R8003_M8001,0.0887,0.0887,0.0887,6,0.0578,R8003_M8001:30:6,30
0.2255,0.1496,0.0,slow,0.1496,slow_base,R8003_M8001,0.206,0.206,0.2119,7,0.1496,R8003_M8001:30:7,30
0.428,0.361,0.0,slow,0.361,slow_base,R8003_M8001,0.428,0.428,0.428,8,0.361,R8003_M8001:30:8,30
3.2459,3.2459,0.0,fast_guard_fallback,3.2459,fast_base,R8003_M8001,3.2459,3.2459,3.2459,9,3.5949,R8003_M8001:30:9,30
0.2419,0.1406,-0.009999999999998899,slow,0.1407,slow_base,R8003_M8001,0.2419,0.2419,0.2419,10,0.1407,R8003_M8001:30:10,30
0.3036,0.1502,0.0,slow,0.1502,slow_base,R8003_M8001,0.276,0.276,0.2929,11,0.1502,R8003_M8001:30:11,30
0.1688,0.0683,0.0,slow,0.0683,slow_base,R8003_M8001,0.0721,0.0782,0.0782,12,0.0683,R8003_M8001:30:12,30
0.3855,0.2381,-0.009999999999998899,slow,0.2382,slow_base,R8003_M8001,0.3738,0.3738,0.3738,13,0.2382,R8003_M8001:30:13,30
0.751,0.5533,-0.009999999999998899,slow,0.5534,slow_base,R8003_M8001,0.751,0.751,0.751,14,0.5534,R8003_M8001:30:14,30
0.3145,0.1852,0.0,slow,0.1852,slow_base,R8007_M8010,0.3145,0.3145,0.3145,0,0.1852,R8007_M8010:30:0,30
0.4751,0.2874,0.0,slow,0.2874,slow_base,R8007_M8010,0.3898,0.4212,0.4212,1,0.2874,R8007_M8010:30:1,30
0.3188,0.2507,0.0,slow,0.2507,slow_base,R8007_M8010,0.3188,0.3188,0.3188,2,0.2507,R8007_M8010:30:2,30
0.2936,0.2936,0.0,recording_context_fast_overlay,0.2936,fast_base,R8007_M8010,0.2936,0.2936,0.2936,3,0.2989,R8007_M8010:30:3,30
0.2709,0.243,-0.010000000000001674,slow,0.2431,slow_base,R8007_M8010,0.2709,0.2709,0.2709,4,0.2431,R8007_M8010:30:4,30
0.3657,0.2825,0.0,slow,0.2825,slow_base,R8007_M8010,0.3657,0.3657,0.3657,5,0.2825,R8007_M8010:30:5,30
0.2658,0.1525,0.0,slow,0.1525,slow_base,R8007_M8010,0.2658,0.2658,0.2658,6,0.1525,R8007_M8010:30:6,30
0.4576,0.2928,0.0,slow,0.2928,slow_base,R8007_M8010,0.4099,0.4528,0.4528,7,0.2928,R8007_M8010:30:7,30
0.2749,0.1964,0.0,slow,0.1964,slow_base,R8007_M8010,0.2749,0.2749,0.2749,8,0.1964,R8007_M8010:30:8,30
