baseline_id,window_id,recording_id,window_size,segment_idx,der,miss_rate,fa_rate,conf_rate,pred_segments,clip_window_clip_adjusted_segments,clip_window_clip_dropped_segments,clip_window_clip_trimmed_ms
fast_base,R8001_M8004:30:0,R8001_M8004,30,0,0.229,0.1614,0.0123,0.0553,8,,,
fast_base,R8001_M8004:30:1,R8001_M8004,30,1,0.4329,0.2303,0.0063,0.1963,6,,,
fast_base,R8001_M8004:30:2,R8001_M8004,30,2,0.216,0.1898,0.0261,0.0,14,,,
fast_base,R8001_M8004:30:3,R8001_M8004,30,3,0.2329,0.1561,0.0587,0.0181,15,,,
fast_base,R8001_M8004:30:4,R8001_M8004,30,4,0.8448,0.8423,0.0,0.0025,2,,,
fast_base,R8001_M8004:30:5,R8001_M8004,30,5,0.8178,0.8173,0.0,0.0005,3,,,
fast_base,R8001_M8004:30:6,R8001_M8004,30,6,0.7177,0.5561,0.0,0.1615,4,,,
fast_base,R8001_M8004:30:7,R8001_M8004,30,7,0.1841,0.1571,0.0242,0.0028,13,,,
fast_base,R8001_M8004:30:8,R8001_M8004,30,8,0.5783,0.5783,0.0,0.0,8,,,
fast_base,R8001_M8004:30:9,R8001_M8004,30,9,0.8858,0.8827,0.0,0.003,4,,,
fast_base,R8001_M8004:30:10,R8001_M8004,30,10,0.2838,0.2623,0.0059,0.0156,16,,,
fast_base,R8001_M8004:30:11,R8001_M8004,30,11,0.2661,0.2641,0.0,0.002,6,,,
fast_base,R8001_M8004:30:12,R8001_M8004,30,12,0.9249,0.9249,0.0,0.0,2,,,
fast_base,R8001_M8004:30:13,R8001_M8004,30,13,0.4297,0.4221,0.0029,0.0047,15,,,
fast_base,R8001_M8004:30:14,R8001_M8004,30,14,0.2083,0.1271,0.0555,0.0257,14,,,
fast_base,R8003_M8001:30:0,R8003_M8001,30,0,0.2002,0.1613,0.023,0.0159,16,,,
fast_base,R8003_M8001:30:1,R8003_M8001,30,1,0.107,0.1051,0.0019,0.0,13,,,
fast_base,R8003_M8001:30:2,R8003_M8001,30,2,0.219,0.1816,0.0221,0.0153,18,,,
fast_base,R8003_M8001:30:3,R8003_M8001,30,3,0.0888,0.0709,0.0179,0.0,8,,,
fast_base,R8003_M8001:30:4,R8003_M8001,30,4,0.1873,0.167,0.005,0.0154,13,,,
fast_base,R8003_M8001:30:5,R8003_M8001,30,5,0.1656,0.1141,0.0481,0.0033,15,,,
fast_base,R8003_M8001:30:6,R8003_M8001,30,6,0.0887,0.0377,0.0511,0.0,5,,,
fast_base,R8003_M8001:30:7,R8003_M8001,30,7,0.2255,0.1964,0.01,0.0191,15,,,
fast_base,R8003_M8001:30:8,R8003_M8001,30,8,0.428,0.321,0.0486,0.0585,13,,,
fast_base,R8003_M8001:30:9,R8003_M8001,30,9,3.2459,0.1101,2.8175,0.3183,14,,,
fast_base,R8003_M8001:30:10,R8003_M8001,30,10,0.2419,0.1994,0.0154,0.027,18,,,
fast_base,R8003_M8001:30:11,R8003_M8001,30,11,0.3036,0.2469,0.024,0.0327,9,,,
fast_base,R8003_M8001:30:12,R8003_M8001,30,12,0.1688,0.1414,0.0168,0.0106,15,,,
fast_base,R8003_M8001:30:13,R8003_M8001,30,13,0.3855,0.3652,0.0117,0.0087,8,,,
fast_base,R8003_M8001:30:14,R8003_M8001,30,14,0.751,0.1978,0.3893,0.1639,13,,,
fast_base,R8007_M8010:30:0,R8007_M8010,30,0,0.3145,0.2641,0.0251,0.0253,22,,,
fast_base,R8007_M8010:30:1,R8007_M8010,30,1,0.4751,0.4267,0.0202,0.0282,22,,,
fast_base,R8007_M8010:30:2,R8007_M8010,30,2,0.3188,0.2781,0.0037,0.037,13,,,
fast_base,R8007_M8010:30:3,R8007_M8010,30,3,0.2936,0.2332,0.0171,0.0433,22,,,
fast_base,R8007_M8010:30:4,R8007_M8010,30,4,0.2709,0.1826,0.0166,0.0717,15,,,
fast_base,R8007_M8010:30:5,R8007_M8010,30,5,0.3657,0.3237,0.0168,0.0252,17,,,
fast_base,R8007_M8010:30:6,R8007_M8010,30,6,0.2658,0.22,0.0206,0.0253,17,,,
fast_base,R8007_M8010:30:7,R8007_M8010,30,7,0.4576,0.438,0.0,0.0196,19,,,
fast_base,R8007_M8010:30:8,R8007_M8010,30,8,0.2749,0.1997,0.0343,0.0409,23,,,
fast_base,R8007_M8010:30:9,R8007_M8010,30,9,0.3171,0.1761,0.0327,0.1083,15,,,
fast_base,R8007_M8010:30:10,R8007_M8010,30,10,0.389,0.2901,0.0069,0.0919,16,,,
