recording_id,window_size,segment_idx,model_name,success,der,miss_rate,fa_rate,conf_rate,cer,latency,spk_count_pred,spk_count_gt,spk_match,error
R8001_M8004,30,0,diarizen-large-v2,True,0.0891,0.0521,0.037,0.0,,20.03252387046814,3,3,True,
R8001_M8004,30,1,diarizen-large-v2,True,0.2578,0.0558,0.0158,0.1863,,18.181922674179077,3,4,False,
R8001_M8004,30,2,diarizen-large-v2,True,0.0935,0.0615,0.0306,0.0015,,18.5228168964386,4,3,False,
R8001_M8004,30,3,diarizen-large-v2,True,0.0417,0.0114,0.0226,0.0077,,19.5900661945343,3,2,False,
R8001_M8004,30,4,diarizen-large-v2,True,0.3244,0.0752,0.03,0.2192,,17.511271953582764,3,4,False,
R8001_M8004,30,5,diarizen-large-v2,True,0.2321,0.1399,0.0415,0.0506,,18.264174699783325,4,4,True,
R8003_M8001,30,1,diarizen-large-v2,True,0.0272,0.0151,0.0121,0.0,,19.189393281936646,2,3,False,
R8003_M8001,30,2,diarizen-large-v2,True,0.0838,0.0461,0.0271,0.0106,,19.952659845352173,3,3,True,
R8003_M8001,30,3,diarizen-large-v2,True,0.0279,0.0036,0.0167,0.0076,,20.05143117904663,3,3,True,
R8003_M8001,30,4,diarizen-large-v2,True,0.1033,0.0246,0.0325,0.0462,,22.909488201141357,3,3,True,
R8003_M8001,30,5,diarizen-large-v2,True,0.0739,0.0295,0.0444,0.0,,21.107097864151,4,4,True,
R8007_M8010,30,0,diarizen-large-v2,True,0.1852,0.0588,0.0441,0.0823,,19.879024028778076,3,4,False,
R8007_M8010,30,1,diarizen-large-v2,True,0.2874,0.0726,0.0404,0.1744,,24.137290954589844,3,4,False,
R8007_M8010,30,2,diarizen-large-v2,True,0.2507,0.0945,0.0345,0.1217,,21.494019031524658,3,4,False,
R8007_M8010,30,3,diarizen-large-v2,True,0.2989,0.151,0.0622,0.0857,,22.94908308982849,4,4,True,
R8007_M8010,30,4,diarizen-large-v2,True,0.2431,0.1274,0.0229,0.0927,,22.593409061431885,4,4,True,
R8007_M8010,30,5,diarizen-large-v2,True,0.2825,0.1757,0.0344,0.0724,,21.712405920028687,3,4,False,
R8007_M8011,30,0,diarizen-large-v2,True,0.0324,0.0144,0.018,0.0,,24.70186710357666,1,1,True,
R8007_M8011,30,1,diarizen-large-v2,True,0.0897,0.0129,0.0379,0.039,,22.37398600578308,4,4,True,
R8007_M8011,30,2,diarizen-large-v2,True,0.133,0.0668,0.0248,0.0413,,22.088510990142822,4,4,True,
R8007_M8011,30,3,diarizen-large-v2,True,0.1798,0.0171,0.0353,0.1274,,23.709654808044434,3,4,False,
R8007_M8011,30,4,diarizen-large-v2,True,0.2536,0.0505,0.0364,0.1667,,24.980557203292847,3,4,False,
R8007_M8011,30,5,diarizen-large-v2,True,0.0215,0.0098,0.0117,0.0,,22.132888078689575,3,3,True,
R8008_M8013,30,0,diarizen-large-v2,True,0.0368,0.0047,0.0289,0.0032,,21.976295232772827,3,3,True,
R8008_M8013,30,1,diarizen-large-v2,True,0.0773,0.005,0.0723,0.0,,19.99935221672058,3,3,True,
R8008_M8013,30,3,diarizen-large-v2,True,0.1117,0.0167,0.0669,0.0281,,20.789113998413086,2,3,False,
R8008_M8013,30,4,diarizen-large-v2,True,0.2039,0.0266,0.0311,0.1462,,21.69615411758423,2,3,False,
R8008_M8013,30,5,diarizen-large-v2,True,0.1516,0.0636,0.0229,0.065,,24.110146045684814,4,3,False,
R8008_M8013,30,6,diarizen-large-v2,True,0.2471,0.0263,0.0639,0.157,,22.31615114212036,3,3,True,
R8008_M8013,30,7,diarizen-large-v2,True,0.159,0.0455,0.1063,0.0072,,20.71005082130432,3,3,True,
R8008_M8013,30,8,diarizen-large-v2,True,0.3288,0.0415,0.1317,0.1556,,22.01899003982544,3,3,True,
R8009_M8018,30,0,diarizen-large-v2,True,0.0875,0.0559,0.0316,0.0,,19.447026014328003,2,2,True,
R8009_M8018,30,1,diarizen-large-v2,True,0.0701,0.0371,0.0321,0.001,,20.10128688812256,2,2,True,
R8009_M8018,30,2,diarizen-large-v2,True,0.043,0.0006,0.0424,0.0,,19.741344928741455,2,2,True,
R8009_M8018,30,3,diarizen-large-v2,True,0.2049,0.0325,0.1119,0.0605,,18.815805196762085,2,2,True,
R8009_M8018,30,4,diarizen-large-v2,True,0.1004,0.0496,0.0508,0.0,,19.79886794090271,2,2,True,
R8009_M8019,30,0,diarizen-large-v2,True,0.0314,0.0225,0.009,0.0,,18.92031717300415,2,2,True,
R8009_M8019,30,1,diarizen-large-v2,True,0.0535,0.034,0.0195,0.0,,19.283945083618164,2,2,True,
R8009_M8019,30,2,diarizen-large-v2,True,0.0623,0.0454,0.0169,0.0,,19.402529001235962,2,2,True,
R8009_M8019,30,3,diarizen-large-v2,True,0.0422,0.0273,0.0149,0.0,,19.002835988998413,2,2,True,
R8009_M8020,30,0,diarizen-large-v2,True,0.0778,0.0538,0.0241,0.0,,19.44260883331299,2,2,True,
R8009_M8020,30,1,diarizen-large-v2,True,0.0176,0.0025,0.0151,0.0,,19.892372846603394,2,2,True,
R8009_M8020,30,2,diarizen-large-v2,True,0.0482,0.015,0.0323,0.0009,,19.5540030002594,2,2,True,
R8009_M8020,30,3,diarizen-large-v2,True,0.1681,0.1289,0.0367,0.0025,,20.174499988555908,2,2,True,
R8009_M8020,30,4,diarizen-large-v2,True,0.0225,0.0034,0.0191,0.0,,20.58098030090332,1,1,True,
