choice_counts,clipped_slow_der,current_final_der,delta_vs_clipped_slow_pp,delta_vs_current,delta_vs_current_pp,description,feature_a,feature_b,final_der,improves_positive_recordings,meaningful_delta,negative_recordings_vs_clipped_slow,op_a,op_b,overlay_losses_vs_current,overlay_wins_vs_current,policy_id,policy_kind,positive_recordings_vs_clipped_slow,selected,selected_windows,source_coverage_windows,source_full_coverage,source_id,source_path,source_stale_gt_mismatch_windows,threshold_a,threshold_b,windows
"{'current_final': 118, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 2}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,boundary_fix_or_relabel <= 1 AND prev_audio_channel_activity_mean >= 3.6101,boundary_fix_or_relabel,prev_audio_channel_activity_mean,0.1649216666666667,True,False,0,<=,>=,0,2,if_boundary_fix_or_relabel_<=_1_AND_prev_audio_channel_activity_mean_>=_3.6101_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,7,2,2,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,1.0,3.6101,120
"{'current_final': 118, 'diarizen-large-v2/diarizen-large-v2/spk_none': 2}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,boundary_fix_or_relabel <= 1 AND prev_audio_channel_activity_mean >= 3.6101,boundary_fix_or_relabel,prev_audio_channel_activity_mean,0.1649216666666667,True,False,0,<=,>=,0,2,if_boundary_fix_or_relabel_<=_1_AND_prev_audio_channel_activity_mean_>=_3.6101_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,7,2,2,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,1.0,3.6101,120
"{'current_final': 111, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 9}",0.1687966666666667,0.16492333333333334,0.3875000000000045,1.6666666666775853e-06,0.00016666666666775853,audio_dynamic_range_db >= 22.3574,audio_dynamic_range_db,,0.16492166666666666,True,False,0,>=,,0,2,if_audio_dynamic_range_db_>=_22.3574_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,9,9,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,22.3574,,120
"{'current_final': 111, 'diarizen-large-v2/diarizen-large-v2/spk_none': 9}",0.1687966666666667,0.16492333333333334,0.3875000000000045,1.6666666666775853e-06,0.00016666666666775853,audio_dynamic_range_db >= 22.3574,audio_dynamic_range_db,,0.16492166666666666,True,False,0,>=,,0,2,if_audio_dynamic_range_db_>=_22.3574_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,9,9,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,22.3574,,120
"{'current_final': 112, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 8}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,audio_max_p90_db <= -41.4081 AND prev_audio_max_p90_db <= -40.7464,audio_max_p90_db,prev_audio_max_p90_db,0.1649216666666667,True,False,0,<=,<=,0,2,if_audio_max_p90_db_<=_-41.4081_AND_prev_audio_max_p90_db_<=_-40.7464_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,8,8,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,-41.4081,-40.7464,120
"{'current_final': 112, 'diarizen-large-v2/diarizen-large-v2/spk_none': 8}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,audio_max_p90_db <= -41.4081 AND prev_audio_max_p90_db <= -40.7464,audio_max_p90_db,prev_audio_max_p90_db,0.1649216666666667,True,False,0,<=,<=,0,2,if_audio_max_p90_db_<=_-41.4081_AND_prev_audio_max_p90_db_<=_-40.7464_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,8,8,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,-41.4081,-40.7464,120
"{'current_final': 111, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 9}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,audio_p90_db <= -45.782 AND prev_audio_max_p90_db <= -40.7464,audio_p90_db,prev_audio_max_p90_db,0.1649216666666667,True,False,0,<=,<=,0,2,if_audio_p90_db_<=_-45.782_AND_prev_audio_max_p90_db_<=_-40.7464_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,9,9,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,-45.782,-40.7464,120
"{'current_final': 111, 'diarizen-large-v2/diarizen-large-v2/spk_none': 9}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,audio_p90_db <= -45.782 AND prev_audio_max_p90_db <= -40.7464,audio_p90_db,prev_audio_max_p90_db,0.1649216666666667,True,False,0,<=,<=,0,2,if_audio_p90_db_<=_-45.782_AND_prev_audio_max_p90_db_<=_-40.7464_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,9,9,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,-45.782,-40.7464,120
"{'current_final': 112, 'diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none': 8}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,audio_p90_db <= -45.9942 AND prev_audio_max_p90_db <= -40.7464,audio_p90_db,prev_audio_max_p90_db,0.1649216666666667,True,False,0,<=,<=,0,2,if_audio_p90_db_<=_-45.9942_AND_prev_audio_max_p90_db_<=_-40.7464_then_diarizen-large-v2__diarizen-large-v2__spk_none::outputs__diarizen_uv_48__diarizen-large-v2__default__spk_none_else_current_final,external_candidate_surface_overlay,6,8,8,120,True,diarizen-large-v2/diarizen-large-v2/spk_none::outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none,outputs/diarizen_uv_48/diarizen-large-v2/default__spk_none/summary.json,0,-45.9942,-40.7464,120
"{'current_final': 112, 'diarizen-large-v2/diarizen-large-v2/spk_none': 8}",0.1687966666666667,0.16492333333333334,0.38750000000000173,1.6666666666498298e-06,0.00016666666666498298,audio_p90_db <= -45.9942 AND prev_audio_max_p90_db <= -40.7464,audio_p90_db,prev_audio_max_p90_db,0.1649216666666667,True,False,0,<=,<=,0,2,if_audio_p90_db_<=_-45.9942_AND_prev_audio_max_p90_db_<=_-40.7464_then_diarizen-large-v2__diarizen-large-v2__spk_none_else_current_final,external_candidate_surface_overlay,6,8,8,120,True,diarizen-large-v2/diarizen-large-v2/spk_none,outputs/diarizen_uv_120/diarizen-large-v2/default__spk_none/summary.json,0,-45.9942,-40.7464,120
