recording_id,window_size,segment_idx,window_id,segment_id,source,start,end,speaker,local_start,local_end
R8001_M8004,30,0,R8001_M8004:30:0,fast_0,fast,60.0,69.92,speaker_0,0.0,9.92
R8001_M8004,30,0,R8001_M8004:30:0,fast_4,fast,64.64,64.8,speaker_1,4.64,4.8
R8001_M8004,30,0,R8001_M8004:30:0,fast_5,fast,65.2,65.68,speaker_1,5.2,5.68
R8001_M8004,30,0,R8001_M8004:30:0,fast_6,fast,69.92,71.12,speaker_1,9.92,11.12
R8001_M8004,30,0,R8001_M8004:30:0,fast_1,fast,71.2,78.16,speaker_0,11.2,18.16
R8001_M8004,30,0,R8001_M8004:30:0,fast_2,fast,78.96,82.08,speaker_0,18.96,22.08
R8001_M8004,30,0,R8001_M8004:30:0,fast_3,fast,82.24,82.96,speaker_0,22.24,22.96
R8001_M8004,30,0,R8001_M8004:30:0,fast_7,fast,83.76,89.52,speaker_1,23.76,29.52
R8001_M8004,30,1,R8001_M8004:30:1,fast_0,fast,150.0,156.32,speaker_0,0.0,6.32
R8001_M8004,30,1,R8001_M8004:30:1,fast_1,fast,156.4,166.4,speaker_0,6.4,16.4
R8001_M8004,30,1,R8001_M8004:30:1,fast_2,fast,166.96,169.6,speaker_0,16.96,19.6
R8001_M8004,30,1,R8001_M8004:30:1,fast_3,fast,171.2,171.84,speaker_0,21.2,21.84
R8001_M8004,30,1,R8001_M8004:30:1,fast_4,fast,172.0,172.24,speaker_0,22.0,22.24
R8001_M8004,30,1,R8001_M8004:30:1,fast_5,fast,172.64,179.99,speaker_1,22.64,29.99
R8001_M8004,30,2,R8001_M8004:30:2,fast_0,fast,180.0,180.56,speaker_0,0.0,0.56
R8001_M8004,30,2,R8001_M8004:30:2,fast_10,fast,180.16,182.72,speaker_1,0.16,2.72
R8001_M8004,30,2,R8001_M8004:30:2,fast_11,fast,182.88,185.92,speaker_1,2.88,5.92
R8001_M8004,30,2,R8001_M8004:30:2,fast_1,fast,186.4,187.12,speaker_0,6.4,7.12
R8001_M8004,30,2,R8001_M8004:30:2,fast_2,fast,187.76,189.52,speaker_0,7.76,9.52
R8001_M8004,30,2,R8001_M8004:30:2,fast_3,fast,190.4,192.0,speaker_0,10.4,12.0
