recording_id,window_size,segment_idx,window_id,segment_id,source,start,end,speaker,local_start,local_end
R8001_M8004,30,0,R8001_M8004:30:0,final_0,final,60.0125,78.0325,1,0.0125,18.0325
R8001_M8004,30,0,R8001_M8004:30:0,final_1,final,64.4725,66.6325,0,4.4725,6.6325
R8001_M8004,30,0,R8001_M8004:30:0,final_2,final,69.6525,71.9525,0,9.6525,11.9525
R8001_M8004,30,0,R8001_M8004:30:0,final_3,final,78.9325,82.7525,1,18.9325,22.7525
R8001_M8004,30,0,R8001_M8004:30:0,final_4,final,79.0925,79.7925,0,19.0925,19.7925
R8001_M8004,30,0,R8001_M8004:30:0,final_5,final,82.4125,82.7125,0,22.4125,22.7125
R8001_M8004,30,0,R8001_M8004:30:0,final_6,final,83.7925,89.2725,2,23.7925,29.2725
R8001_M8004,30,1,R8001_M8004:30:1,final_0,final,150.0125,156.5725,1,0.0125,6.5725
R8001_M8004,30,1,R8001_M8004:30:1,final_1,final,156.0525,156.3925,0,6.0525,6.3925
R8001_M8004,30,1,R8001_M8004:30:1,final_2,final,156.8325,171.5525,2,6.8325,21.5525
R8001_M8004,30,1,R8001_M8004:30:1,final_3,final,159.3725,159.7125,0,9.3725,9.7125
R8001_M8004,30,1,R8001_M8004:30:1,final_4,final,166.0325,166.9725,0,16.0325,16.9725
R8001_M8004,30,1,R8001_M8004:30:1,final_5,final,170.1325,173.2125,0,20.1325,23.2125
R8001_M8004,30,1,R8001_M8004:30:1,final_6,final,172.7525,179.5725,1,22.7525,29.5725
R8001_M8004,30,1,R8001_M8004:30:1,final_7,final,173.5925,173.8725,0,23.5925,23.8725
R8001_M8004,30,1,R8001_M8004:30:1,final_8,final,174.6725,174.9525,0,24.6725,24.9525
R8001_M8004,30,1,R8001_M8004:30:1,final_9,final,176.8725,177.1525,0,26.8725,27.1525
R8001_M8004,30,2,R8001_M8004:30:2,final_0,final,180.0125,180.4525,2,0.0125,0.4525
R8001_M8004,30,2,R8001_M8004:30:2,final_1,final,180.0125,185.8925,1,0.0125,5.8925
R8001_M8004,30,2,R8001_M8004:30:2,final_2,final,186.3325,202.2125,2,6.3325,22.2125
R8001_M8004,30,2,R8001_M8004:30:2,final_3,final,202.6325,203.2125,1,22.6325,23.2125
R8001_M8004,30,2,R8001_M8004:30:2,final_4,final,203.2525,203.5325,2,23.2525,23.5325
R8001_M8004,30,2,R8001_M8004:30:2,final_5,final,203.5925,207.6125,3,23.5925,27.6125
R8001_M8004,30,2,R8001_M8004:30:2,final_6,final,206.8525,207.4725,2,26.8525,27.4725
R8001_M8004,30,2,R8001_M8004:30:2,final_7,final,209.4125,209.9925,2,29.4125,29.9925
