counter_fallback_blocked_by_speaker_count,counter_fast_guard_fallback_windows,counter_fast_speaker_count,counter_guard_or_quarantine_patches,counter_rare_audio_rule_recover_windows,counter_rare_short_slow_rule_recover_windows,counter_slow_speaker_count,counter_slow_windows_selected,counter_window_clip_adjusted_segments,counter_window_clip_dropped_segments,counter_window_clip_trimmed_ms,fast_der,fast_latency,final_der,final_segments,final_source,offset,recording_id,segment_idx,slow_latency,window_id,window_size
0,0,2,0,0,0,3,1,,,,0.229,0.3787069320678711,0.0891,7,slow,60.0,R8001_M8004,0,24.454234838485718,R8001_M8004:30:0,30
0,0,2,0,0,0,3,1,,,,0.4329,0.3764491081237793,0.2578,10,slow,150.0,R8001_M8004,1,24.506444215774536,R8001_M8004:30:1,30
0,0,3,0,0,0,4,1,,,,0.216,0.36588096618652344,0.0936,9,slow,180.0,R8001_M8004,2,23.092538118362427,R8001_M8004:30:2,30
0,0,3,0,0,0,3,1,1,,32,0.2329,0.3611469268798828,0.0417,9,slow,210.0,R8001_M8004,3,22.514259099960327,R8001_M8004:30:3,30
0,0,1,0,0,0,3,1,,,,0.8448,0.3602128028869629,0.3245,24,slow,390.0,R8001_M8004,4,22.382750988006592,R8001_M8004:30:4,30
0,0,1,0,0,0,4,1,2,1,104,0.8178,0.38259196281433105,0.2321,17,slow,480.0,R8001_M8004,5,24.02812170982361,R8001_M8004:30:5,30
0,0,1,0,0,0,4,1,1,,12,0.7177,0.36853694915771484,0.3184,21,slow,630.0,R8001_M8004,6,22.77055072784424,R8001_M8004:30:6,30
0,0,4,0,0,0,3,1,1,,392,0.1841,0.3571021556854248,0.0731,11,slow,660.0,R8001_M8004,7,24.63600206375122,R8001_M8004:30:7,30
0,0,2,0,0,0,3,1,,,,0.5783,0.3628511428833008,0.2471,14,slow,720.0,R8001_M8004,8,22.39749002456665,R8001_M8004:30:8,30
0,0,1,0,0,0,4,1,1,,392,0.8858,0.3630499839782715,0.122,17,slow,870.0,R8001_M8004,9,23.005980968475342,R8001_M8004:30:9,30
0,0,3,0,0,0,4,1,1,,392,0.2838,0.3690371513366699,0.1242,19,slow,1020.0,R8001_M8004,10,27.43686604499817,R8001_M8004:30:10,30
0,0,4,0,0,0,3,1,1,,133,0.2661,0.3737659454345703,0.1746,16,slow,1140.0,R8001_M8004,11,24.275110006332397,R8001_M8004:30:11,30
0,0,1,0,0,0,4,1,2,,224,0.9249,0.4146389961242676,0.3042,12,slow,1320.0,R8001_M8004,12,24.675140857696533,R8001_M8004:30:12,30
0,0,2,0,0,0,4,1,1,,392,0.4297,0.39993906021118164,0.1447,18,slow,1440.0,R8001_M8004,13,28.330456733703613,R8001_M8004:30:13,30
0,0,3,0,0,0,3,1,1,,392,0.2083,0.3947629928588867,0.1409,13,slow,1500.0,R8001_M8004,14,26.619580030441284,R8001_M8004:30:14,30
