counter_fallback_blocked_by_speaker_count,counter_fast_guard_fallback_windows,counter_fast_speaker_count,counter_guard_or_quarantine_patches,counter_rare_audio_rule_recover_windows,counter_rare_short_slow_rule_recover_windows,counter_recording_balanced_fast_overlay_windows,counter_recording_context_fast_overlay_windows,counter_slow_speaker_count,counter_slow_windows_selected,counter_window_clip_adjusted_segments,counter_window_clip_dropped_segments,counter_window_clip_trimmed_ms,fast_der,fast_latency,final_der,final_segments,final_source,offset,recording_id,segment_idx,slow_latency,window_id,window_size
0,0,3,0,0,0,,,3,1,2,,84,0.3145,0.36311817169189453,0.1852,23,slow,30.0,R8007_M8010,0,23.795488119125366,R8007_M8010:30:0,30
0,0,4,0,0,0,,,3,1,1,,392,0.4751,0.3661470413208008,0.2874,24,slow,60.0,R8007_M8010,1,22.974565744400024,R8007_M8010:30:1,30
0,0,4,0,0,0,,,3,1,1,,392,0.3188,0.36847710609436035,0.2507,19,slow,150.0,R8007_M8010,2,23.854510068893433,R8007_M8010:30:2,30
0,0,3,0,0,0,0,1,4,0,,,,0.2936,0.3711071014404297,0.2936,22,recording_context_fast_overlay,360.0,R8007_M8010,3,22.360709190368652,R8007_M8010:30:3,30
0,0,3,0,0,0,,,4,1,1,,12,0.2709,0.3797791004180908,0.243,20,slow,390.0,R8007_M8010,4,25.513500928878784,R8007_M8010:30:4,30
0,0,3,0,0,0,,,3,1,,,,0.3657,0.36367297172546387,0.2825,18,slow,420.0,R8007_M8010,5,25.942110061645508,R8007_M8010:30:5,30
0,0,3,0,0,0,,,4,1,1,,392,0.2658,0.3571641445159912,0.1525,23,slow,780.0,R8007_M8010,6,24.63403630256653,R8007_M8010:30:6,30
0,0,4,0,0,0,,,3,1,1,,113,0.4576,0.36111903190612793,0.2928,13,slow,960.0,R8007_M8010,7,23.81011986732483,R8007_M8010:30:7,30
0,0,3,0,0,0,,,4,1,1,,392,0.2749,0.38901209831237793,0.1964,21,slow,1020.0,R8007_M8010,8,21.817989826202393,R8007_M8010:30:8,30
0,0,3,0,0,0,,,3,1,2,,444,0.3171,0.35462403297424316,0.2387,15,slow,1050.0,R8007_M8010,9,24.807512044906616,R8007_M8010:30:9,30
0,0,2,0,0,0,,,3,1,1,,392,0.389,0.3604919910430908,0.2711,13,slow,1140.0,R8007_M8010,10,25.273332357406616,R8007_M8010:30:10,30
0,0,3,0,0,0,,,3,1,2,,166,0.3472,0.3633420467376709,0.1469,19,slow,1230.0,R8007_M8010,11,24.97649621963501,R8007_M8010:30:11,30
0,0,3,0,0,0,,,4,1,,,,0.3202,0.37221503257751465,0.1915,19,slow,1320.0,R8007_M8010,12,24.63056778907776,R8007_M8010:30:12,30
0,0,2,0,0,0,,,4,1,2,,404,0.4425,0.3663909435272217,0.2509,14,slow,1350.0,R8007_M8010,13,22.25053381919861,R8007_M8010:30:13,30
0,0,3,0,0,0,,,3,1,2,1,224,0.4443,0.3597257137298584,0.369,16,slow,1770.0,R8007_M8010,14,22.205366849899292,R8007_M8010:30:14,30
