recording_id,window_size,segment_idx,window_id,segment_id,source,start,end,speaker,local_start,local_end
R8007_M8011,30,0,R8007_M8011:30:0,slow_0,slow,1.4725,11.6325,1,1.4725,11.6325
R8007_M8011,30,0,R8007_M8011:30:0,slow_1,slow,11.9325,17.8325,1,11.9325,17.8325
R8007_M8011,30,0,R8007_M8011:30:0,slow_2,slow,18.2325,30.2325,1,18.2325,30.2325
R8007_M8011,30,1,R8007_M8011:30:1,slow_0,slow,270.0125,280.2525,1,0.0125,10.2525
R8007_M8011,30,1,R8007_M8011:30:1,slow_1,slow,271.5325,271.9125,2,1.5325,1.9125
R8007_M8011,30,1,R8007_M8011:30:1,slow_2,slow,280.4125,283.6325,2,10.4125,13.6325
R8007_M8011,30,1,R8007_M8011:30:1,slow_3,slow,280.4725,281.2925,0,10.4725,11.2925
R8007_M8011,30,1,R8007_M8011:30:1,slow_4,slow,283.7525,300.0925,3,13.7525,30.0925
R8007_M8011,30,1,R8007_M8011:30:1,slow_5,slow,284.0925,284.4125,1,14.0925,14.4125
R8007_M8011,30,1,R8007_M8011:30:1,slow_6,slow,286.8925,287.8725,2,16.8925,17.8725
R8007_M8011,30,1,R8007_M8011:30:1,slow_7,slow,287.0325,287.9325,1,17.0325,17.9325
R8007_M8011,30,1,R8007_M8011:30:1,slow_8,slow,287.9325,288.1725,0,17.9325,18.1725
R8007_M8011,30,1,R8007_M8011:30:1,slow_9,slow,297.0525,297.0925,1,27.0525,27.0925
R8007_M8011,30,1,R8007_M8011:30:1,slow_10,slow,297.0925,297.1925,2,27.0925,27.1925
R8007_M8011,30,1,R8007_M8011:30:1,slow_11,slow,297.1925,298.7925,1,27.1925,28.7925
R8007_M8011,30,1,R8007_M8011:30:1,slow_12,slow,298.7925,298.8525,2,28.7925,28.8525
R8007_M8011,30,1,R8007_M8011:30:1,slow_13,slow,299.5725,299.9125,2,29.5725,29.9125
R8007_M8011,30,2,R8007_M8011:30:2,slow_0,slow,300.0125,312.4525,2,0.0125,12.4525
R8007_M8011,30,2,R8007_M8011:30:2,slow_1,slow,308.8325,311.9525,0,8.8325,11.9525
R8007_M8011,30,2,R8007_M8011:30:2,slow_2,slow,309.3525,310.8925,1,9.3525,10.8925
R8007_M8011,30,2,R8007_M8011:30:2,slow_3,slow,309.7725,310.1725,3,9.7725,10.1725
R8007_M8011,30,2,R8007_M8011:30:2,slow_4,slow,312.0525,317.2325,1,12.0525,17.2325
R8007_M8011,30,2,R8007_M8011:30:2,slow_5,slow,313.2125,314.6325,0,13.2125,14.6325
R8007_M8011,30,2,R8007_M8011:30:2,slow_6,slow,316.1325,322.2125,2,16.1325,22.2125
R8007_M8011,30,2,R8007_M8011:30:2,slow_7,slow,322.5925,323.5925,1,22.5925,23.5925
R8007_M8011,30,2,R8007_M8011:30:2,slow_8,slow,323.7925,324.1125,2,23.7925,24.1125
R8007_M8011,30,2,R8007_M8011:30:2,slow_9,slow,324.2325,329.2925,0,24.2325,29.2925
R8007_M8011,30,2,R8007_M8011:30:2,slow_10,slow,326.9525,327.2925,2,26.9525,27.2925
R8007_M8011,30,2,R8007_M8011:30:2,slow_11,slow,328.9325,329.3325,1,28.9325,29.3325
R8007_M8011,30,2,R8007_M8011:30:2,slow_12,slow,329.0925,330.0925,2,29.0925,30.0925
R8007_M8011,30,3,R8007_M8011:30:3,slow_0,slow,420.0125,433.8925,1,0.0125,13.8925
R8007_M8011,30,3,R8007_M8011:30:3,slow_1,slow,426.8325,427.7525,2,6.8325,7.7525
R8007_M8011,30,3,R8007_M8011:30:3,slow_2,slow,433.3925,434.7125,2,13.3925,14.7125
R8007_M8011,30,3,R8007_M8011:30:3,slow_3,slow,433.7725,434.5325,0,13.7725,14.5325
R8007_M8011,30,3,R8007_M8011:30:3,slow_4,slow,434.5325,439.2525,1,14.5325,19.2525
R8007_M8011,30,3,R8007_M8011:30:3,slow_5,slow,438.1925,450.3925,2,18.1925,30.3925
R8007_M8011,30,3,R8007_M8011:30:3,slow_6,slow,441.7325,445.6925,0,21.7325,25.6925
R8007_M8011,30,4,R8007_M8011:30:4,slow_0,slow,510.0125,512.5725,0,0.0125,2.5725
R8007_M8011,30,4,R8007_M8011:30:4,slow_1,slow,511.6125,512.5525,1,1.6125,2.5525
R8007_M8011,30,4,R8007_M8011:30:4,slow_2,slow,512.7325,515.9325,0,2.7325,5.9325
R8007_M8011,30,4,R8007_M8011:30:4,slow_3,slow,512.7525,513.6725,1,2.7525,3.6725
R8007_M8011,30,4,R8007_M8011:30:4,slow_4,slow,513.8325,514.5725,1,3.8325,4.5725
R8007_M8011,30,4,R8007_M8011:30:4,slow_5,slow,514.2725,514.4125,2,4.2725,4.4125
R8007_M8011,30,4,R8007_M8011:30:4,slow_6,slow,516.5925,533.3125,1,6.5925,23.3125
R8007_M8011,30,4,R8007_M8011:30:4,slow_7,slow,517.5525,518.0525,0,7.5525,8.0525
R8007_M8011,30,4,R8007_M8011:30:4,slow_8,slow,527.6525,529.1325,0,17.6525,19.1325
R8007_M8011,30,4,R8007_M8011:30:4,slow_9,slow,531.0925,531.9325,0,21.0925,21.9325
R8007_M8011,30,4,R8007_M8011:30:4,slow_10,slow,531.4525,531.8925,2,21.4525,21.8925
R8007_M8011,30,4,R8007_M8011:30:4,slow_11,slow,533.2525,534.4325,0,23.2525,24.4325
R8007_M8011,30,4,R8007_M8011:30:4,slow_12,slow,533.9125,534.1525,1,23.9125,24.1525
R8007_M8011,30,4,R8007_M8011:30:4,slow_13,slow,534.2725,535.1925,1,24.2725,25.1925
R8007_M8011,30,4,R8007_M8011:30:4,slow_14,slow,535.5125,540.3925,0,25.5125,30.3925
R8007_M8011,30,5,R8007_M8011:30:5,slow_0,slow,630.0125,636.9925,2,0.0125,6.9925
R8007_M8011,30,5,R8007_M8011:30:5,slow_1,slow,630.7125,632.8125,0,0.7125,2.8125
R8007_M8011,30,5,R8007_M8011:30:5,slow_2,slow,633.9325,636.5325,1,3.9325,6.5325
R8007_M8011,30,5,R8007_M8011:30:5,slow_3,slow,634.7925,635.9525,0,4.7925,5.9525
R8007_M8011,30,5,R8007_M8011:30:5,slow_4,slow,637.5325,652.9525,1,7.5325,22.9525
R8007_M8011,30,5,R8007_M8011:30:5,slow_5,slow,651.1125,651.9125,0,21.1125,21.9125
R8007_M8011,30,5,R8007_M8011:30:5,slow_6,slow,652.7325,653.2125,2,22.7325,23.2125
R8007_M8011,30,5,R8007_M8011:30:5,slow_7,slow,653.6525,655.5325,0,23.6525,25.5325
R8007_M8011,30,5,R8007_M8011:30:5,slow_8,slow,655.1325,660.3925,2,25.1325,30.3925
R8007_M8011,30,6,R8007_M8011:30:6,slow_0,slow,810.0125,815.4925,0,0.0125,5.4925
R8007_M8011,30,6,R8007_M8011:30:6,slow_1,slow,811.6125,814.3925,1,1.6125,4.3925
R8007_M8011,30,6,R8007_M8011:30:6,slow_2,slow,812.6925,814.1725,2,2.6925,4.1725
R8007_M8011,30,6,R8007_M8011:30:6,slow_3,slow,815.5925,839.3125,1,5.5925,29.3125
R8007_M8011,30,6,R8007_M8011:30:6,slow_4,slow,815.8125,816.0925,0,5.8125,6.0925
R8007_M8011,30,6,R8007_M8011:30:6,slow_5,slow,817.9125,818.6525,0,7.9125,8.6525
R8007_M8011,30,6,R8007_M8011:30:6,slow_6,slow,824.3325,824.9125,0,14.3325,14.9125
R8007_M8011,30,6,R8007_M8011:30:6,slow_7,slow,832.1725,833.3925,0,22.1725,23.3925
R8007_M8011,30,6,R8007_M8011:30:6,slow_8,slow,839.6925,840.3925,0,29.6925,30.3925
R8007_M8011,30,7,R8007_M8011:30:7,slow_0,slow,840.0125,843.8725,0,0.0125,3.8725
R8007_M8011,30,7,R8007_M8011:30:7,slow_1,slow,840.4125,841.0725,2,0.4125,1.0725
R8007_M8011,30,7,R8007_M8011:30:7,slow_2,slow,842.2325,842.8925,2,2.2325,2.8925
R8007_M8011,30,7,R8007_M8011:30:7,slow_3,slow,843.9925,856.3325,2,3.9925,16.3325
R8007_M8011,30,7,R8007_M8011:30:7,slow_4,slow,844.5325,846.3125,0,4.5325,6.3125
R8007_M8011,30,7,R8007_M8011:30:7,slow_5,slow,846.3125,846.5925,1,6.3125,6.5925
R8007_M8011,30,7,R8007_M8011:30:7,slow_6,slow,849.3125,851.5325,0,9.3125,11.5325
R8007_M8011,30,7,R8007_M8011:30:7,slow_7,slow,850.2125,851.0325,1,10.2125,11.0325
R8007_M8011,30,7,R8007_M8011:30:7,slow_8,slow,856.3725,863.6725,1,16.3725,23.6725
R8007_M8011,30,7,R8007_M8011:30:7,slow_9,slow,861.9325,862.8325,0,21.9325,22.8325
R8007_M8011,30,7,R8007_M8011:30:7,slow_10,slow,862.9125,869.5125,2,22.9125,29.5125
R8007_M8011,30,7,R8007_M8011:30:7,slow_11,slow,864.0525,866.5725,0,24.0525,26.5725
R8007_M8011,30,7,R8007_M8011:30:7,slow_12,slow,866.9925,867.2325,1,26.9925,27.2325
R8007_M8011,30,8,R8007_M8011:30:8,slow_0,slow,1110.0125,1113.0125,0,0.0125,3.0125
R8007_M8011,30,8,R8007_M8011:30:8,slow_1,slow,1111.7725,1112.3125,1,1.7725,2.3125
R8007_M8011,30,8,R8007_M8011:30:8,slow_2,slow,1113.2125,1114.8125,0,3.2125,4.8125
R8007_M8011,30,8,R8007_M8011:30:8,slow_3,slow,1113.2325,1114.1125,1,3.2325,4.1125
R8007_M8011,30,8,R8007_M8011:30:8,slow_4,slow,1114.8325,1121.1525,0,4.8325,11.1525
R8007_M8011,30,8,R8007_M8011:30:8,slow_5,slow,1116.3925,1119.1125,1,6.3925,9.1125
R8007_M8011,30,8,R8007_M8011:30:8,slow_6,slow,1121.5925,1123.1125,0,11.5925,13.1125
R8007_M8011,30,8,R8007_M8011:30:8,slow_7,slow,1122.6125,1127.4725,1,12.6125,17.4725
R8007_M8011,30,8,R8007_M8011:30:8,slow_8,slow,1127.7325,1128.0925,0,17.7325,18.0925
R8007_M8011,30,8,R8007_M8011:30:8,slow_9,slow,1127.7525,1130.2925,1,17.7525,20.2925
R8007_M8011,30,8,R8007_M8011:30:8,slow_10,slow,1131.0525,1138.6925,1,21.0525,28.6925
R8007_M8011,30,8,R8007_M8011:30:8,slow_11,slow,1139.6725,1140.0525,1,29.6725,30.0525
R8007_M8011,30,9,R8007_M8011:30:9,slow_0,slow,1320.0125,1323.0925,0,0.0125,3.0925
R8007_M8011,30,9,R8007_M8011:30:9,slow_1,slow,1321.4325,1321.9525,2,1.4325,1.9525
R8007_M8011,30,9,R8007_M8011:30:9,slow_2,slow,1323.2725,1329.4525,1,3.2725,9.4525
R8007_M8011,30,9,R8007_M8011:30:9,slow_3,slow,1323.5925,1324.1925,2,3.5925,4.1925
R8007_M8011,30,9,R8007_M8011:30:9,slow_4,slow,1328.4925,1330.9525,0,8.4925,10.9525
R8007_M8011,30,9,R8007_M8011:30:9,slow_5,slow,1330.2325,1336.8925,2,10.2325,16.8925
R8007_M8011,30,9,R8007_M8011:30:9,slow_6,slow,1330.6525,1331.1125,1,10.6525,11.1125
R8007_M8011,30,9,R8007_M8011:30:9,slow_7,slow,1335.5725,1349.5925,1,15.5725,29.5925
R8007_M8011,30,9,R8007_M8011:30:9,slow_8,slow,1339.3525,1339.8125,0,19.3525,19.8125
R8007_M8011,30,9,R8007_M8011:30:9,slow_9,slow,1345.0325,1346.2725,2,25.0325,26.2725
R8007_M8011,30,9,R8007_M8011:30:9,slow_10,slow,1346.5325,1349.3925,0,26.5325,29.3925
R8007_M8011,30,9,R8007_M8011:30:9,slow_11,slow,1348.7925,1350.3925,2,28.7925,30.3925
R8007_M8011,30,10,R8007_M8011:30:10,slow_0,slow,1440.0125,1441.1725,2,0.0125,1.1725
R8007_M8011,30,10,R8007_M8011:30:10,slow_1,slow,1440.8725,1441.5525,0,0.8725,1.5525
R8007_M8011,30,10,R8007_M8011:30:10,slow_2,slow,1441.3725,1442.7925,1,1.3725,2.7925
R8007_M8011,30,10,R8007_M8011:30:10,slow_3,slow,1442.3925,1452.7925,0,2.3925,12.7925
R8007_M8011,30,10,R8007_M8011:30:10,slow_4,slow,1442.7925,1443.8125,2,2.7925,3.8125
R8007_M8011,30,10,R8007_M8011:30:10,slow_5,slow,1452.6925,1453.9525,2,12.6925,13.9525
R8007_M8011,30,10,R8007_M8011:30:10,slow_6,slow,1453.5125,1453.6925,0,13.5125,13.6925
R8007_M8011,30,10,R8007_M8011:30:10,slow_7,slow,1454.3925,1458.1925,1,14.3925,18.1925
R8007_M8011,30,10,R8007_M8011:30:10,slow_8,slow,1455.0525,1456.1125,2,15.0525,16.1125
R8007_M8011,30,10,R8007_M8011:30:10,slow_9,slow,1456.1125,1456.2925,0,16.1125,16.2925
