counter_fallback_blocked_by_speaker_count,counter_fast_boundary_replaced,counter_fast_guard_fallback_windows,counter_fast_kept,counter_fast_speaker_count,counter_guard_or_quarantine_patches,counter_rare_audio_rule_recover_windows,counter_rare_audio_speech_sec_x100,counter_rare_short_slow_rule_recover_windows,counter_recover_added,counter_recover_label_matched,counter_recover_label_new,counter_recover_split_segments,counter_slow_speaker_count,counter_slow_windows_selected,counter_speaker_union_removed_segments,counter_window_clip_adjusted_segments,counter_window_clip_trimmed_ms,fast_der,fast_latency,final_der,final_segments,final_source,offset,recording_id,segment_idx,slow_latency,window_id,window_size
0,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,,,0.0292,0.3622548580169678,0.0292,1,rare_short_slow_rule_recover,0.0,R8007_M8011,0,22.367228269577026,R8007_M8011:30:0,30
0,,0,,3,0,0,,0,,,,,4,1,,1,93,0.2016,0.3681037425994873,0.0896,14,slow,270.0,R8007_M8011,1,23.09603500366211,R8007_M8011:30:1,30
0,,0,,1,0,0,,0,,,,,4,1,,1,93,0.5231,0.3620457649230957,0.133,13,slow,300.0,R8007_M8011,2,23.28421711921692,R8007_M8011:30:2,30
0,,0,,3,0,0,,0,,,,,3,1,,1,392,0.3932,0.35820603370666504,0.1797,7,slow,420.0,R8007_M8011,3,21.97822594642639,R8007_M8011:30:3,30
0,,0,,3,0,0,,0,,,,,3,1,,1,392,0.3474,0.361295223236084,0.2536,15,slow,510.0,R8007_M8011,4,21.451366901397705,R8007_M8011:30:4,30
0,,0,,3,0,0,,0,,,,,3,1,,1,392,0.1944,0.3567008972167969,0.0215,9,slow,630.0,R8007_M8011,5,22.979270935058594,R8007_M8011:30:5,30
0,,0,,2,0,0,,0,,,,,3,1,,1,392,0.1864,0.4245281219482422,0.1598,9,slow,810.0,R8007_M8011,6,23.382264137268066,R8007_M8011:30:6,30
0,,0,,3,0,0,,0,,,,,3,1,,,,0.2778,0.3907041549682617,0.198,13,slow,840.0,R8007_M8011,7,23.031550884246826,R8007_M8011:30:7,30
0,0,0,20,3,0,1,1981,,1,1,0,5,2,0,0,,,0.3675,0.5754411220550537,0.3416,25,rare_audio_rule_recover,1110.0,R8007_M8011,8,24.305524110794067,R8007_M8011:30:8,30
0,,0,,1,0,0,,0,,,,,3,1,,1,392,0.5244,0.3596799373626709,0.1405,12,slow,1320.0,R8007_M8011,9,22.818297863006592,R8007_M8011:30:9,30
0,,0,,2,0,0,,0,,,,,3,1,,,,0.4363,0.36281275749206543,0.2698,17,slow,1440.0,R8007_M8011,10,25.3052499294281,R8007_M8011:30:10,30
0,,0,,2,0,0,,0,,,,,3,1,,,,0.3306,0.3654448986053467,0.1851,14,slow,1530.0,R8007_M8011,11,29.985104084014893,R8007_M8011:30:11,30
0,,0,,3,0,0,,0,,,,,3,1,,1,52,0.2557,0.3616011142730713,0.1351,12,slow,1650.0,R8007_M8011,12,24.958624124526978,R8007_M8011:30:12,30
0,,0,,3,0,0,,0,,,,,3,1,,,,0.2478,0.360562801361084,0.1715,11,slow,1710.0,R8007_M8011,13,25.3293399810791,R8007_M8011:30:13,30
0,,0,,2,0,0,,0,,,,,3,1,,1,392,0.2101,0.38095712661743164,0.074,6,slow,1740.0,R8007_M8011,14,24.41894292831421,R8007_M8011:30:14,30
