counter_fallback_blocked_by_speaker_count,counter_fast_guard_fallback_windows,counter_fast_speaker_count,counter_guard_or_quarantine_patches,counter_rare_audio_rule_recover_windows,counter_rare_short_slow_rule_recover_windows,counter_recording_balanced_fast_overlay_windows,counter_slow_speaker_count,counter_slow_windows_selected,counter_window_clip_adjusted_segments,counter_window_clip_trimmed_ms,fast_der,fast_latency,final_der,final_segments,final_source,offset,recording_id,segment_idx,slow_latency,window_id,window_size
0,0,2,0,0,0,,2,1,1,133,0.1802,0.4643871784210205,0.0875,8,slow,150.0,R8009_M8018,0,34.15033483505249,R8009_M8018:30:0,30
0,0,2,0,0,0,,2,1,1,392,0.0757,0.35642385482788086,0.0701,5,slow,180.0,R8009_M8018,1,24.6575710773468,R8009_M8018:30:1,30
0,0,2,0,0,0,,2,1,1,113,0.1143,0.3673439025878906,0.0429,6,slow,300.0,R8009_M8018,2,23.480016946792603,R8009_M8018:30:2,30
0,0,2,0,0,0,,2,1,1,392,0.2397,0.37064695358276367,0.2048,7,slow,420.0,R8009_M8018,3,27.28079891204834,R8009_M8018:30:3,30
0,0,2,0,0,0,,2,1,,,0.1084,0.36803293228149414,0.1005,5,slow,510.0,R8009_M8018,4,27.178485870361328,R8009_M8018:30:4,30
0,0,2,0,0,0,,2,1,1,152,0.1191,0.3696780204772949,0.097,6,slow,540.0,R8009_M8018,5,28.392770051956177,R8009_M8018:30:5,30
0,0,2,0,0,0,,2,1,1,392,0.2232,0.3697488307952881,0.0963,5,slow,660.0,R8009_M8018,6,22.90439510345459,R8009_M8018:30:6,30
0,0,2,0,0,0,,2,1,1,392,0.1234,0.3659250736236572,0.0939,4,slow,690.0,R8009_M8018,7,27.24239206314087,R8009_M8018:30:7,30
0,0,2,0,0,0,,2,1,1,392,0.1135,0.4814760684967041,0.1073,5,slow,720.0,R8009_M8018,8,34.01345992088318,R8009_M8018:30:8,30
0,0,2,0,0,0,,2,1,,,0.1494,0.3835151195526123,0.1192,7,slow,870.0,R8009_M8018,9,27.933747053146362,R8009_M8018:30:9,30
0,0,2,0,0,0,,2,1,1,392,0.1563,0.371265172958374,0.1092,7,slow,1200.0,R8009_M8018,10,29.393010139465332,R8009_M8018:30:10,30
0,0,2,0,0,0,,2,1,2,465,0.1561,0.37953829765319824,0.0794,8,slow,1260.0,R8009_M8018,11,26.752604961395264,R8009_M8018:30:11,30
0,0,2,0,0,0,1,2,0,,,0.1608,0.4327690601348877,0.1608,17,recording_balanced_fast_overlay,1290.0,R8009_M8018,12,24.848350048065186,R8009_M8018:30:12,30
0,0,2,0,0,0,,2,1,1,133,0.1372,0.41513705253601074,0.0995,7,slow,1470.0,R8009_M8018,13,23.579800844192505,R8009_M8018:30:13,30
0,0,2,0,0,0,,2,1,,,0.1243,0.37253785133361816,0.0771,7,slow,1590.0,R8009_M8018,14,25.930603742599487,R8009_M8018:30:14,30
