counter_fallback_blocked_by_speaker_count,counter_fast_boundary_replaced,counter_fast_guard_fallback_windows,counter_fast_kept,counter_fast_speaker_count,counter_guard_or_quarantine_patches,counter_rare_audio_rule_recover_windows,counter_rare_short_slow_rule_recover_windows,counter_recover_added,counter_recover_label_matched,counter_recover_label_new,counter_recover_split_segments,counter_slow_speaker_count,counter_slow_windows_selected,counter_speaker_union_removed_segments,counter_window_clip_adjusted_segments,counter_window_clip_trimmed_ms,fast_der,fast_latency,final_der,final_segments,final_source,offset,recording_id,segment_idx,slow_latency,window_id,window_size
0,,0,,2,0,0,0,,,,,2,1,,,,0.1031,0.39563488960266113,0.0313,9,slow,120.0,R8009_M8019,0,24.09962797164917,R8009_M8019:30:0,30
0,,0,,2,0,0,0,,,,,2,1,,,,0.1226,0.3745121955871582,0.0535,13,slow,300.0,R8009_M8019,1,22.524367809295654,R8009_M8019:30:1,30
0,,0,,2,0,0,0,,,,,2,1,,1,52,0.1349,0.37712693214416504,0.0623,8,slow,450.0,R8009_M8019,2,23.86602807044983,R8009_M8019:30:2,30
0,,0,,2,0,0,0,,,,,2,1,,1,392,0.1393,0.38078999519348145,0.0421,7,slow,780.0,R8009_M8019,3,25.59783387184143,R8009_M8019:30:3,30
0,,0,,1,0,0,0,,,,,1,1,,,,0.1446,0.3708982467651367,0.0798,8,slow,870.0,R8009_M8019,4,24.29362201690674,R8009_M8019:30:4,30
0,,0,,2,0,0,0,,,,,2,1,,1,93,0.131,0.40117406845092773,0.0221,5,slow,1020.0,R8009_M8019,5,26.107136011123657,R8009_M8019:30:5,30
0,,0,,2,0,0,0,,,,,2,1,,,,0.1543,0.3757469654083252,0.0654,8,slow,1140.0,R8009_M8019,6,25.07767605781555,R8009_M8019:30:6,30
0,,0,,2,0,0,0,,,,,2,1,,,,0.1894,0.365293025970459,0.0875,8,slow,1200.0,R8009_M8019,7,26.39536476135254,R8009_M8019:30:7,30
0,,0,,2,0,0,0,,,,,2,1,,,,0.0896,0.3605988025665283,0.0592,6,slow,1230.0,R8009_M8019,8,25.501492977142334,R8009_M8019:30:8,30
0,,0,,2,0,0,0,,,,,2,1,,1,73,0.1286,0.36435508728027344,0.0953,9,slow,1290.0,R8009_M8019,9,25.703585863113403,R8009_M8019:30:9,30
0,,0,,2,0,0,0,,,,,2,1,,1,52,0.0728,0.3583838939666748,0.0573,6,slow,1320.0,R8009_M8019,10,24.210108041763306,R8009_M8019:30:10,30
0,,0,,2,0,0,0,,,,,2,1,,1,93,0.054,0.36325812339782715,0.0659,11,slow,1380.0,R8009_M8019,11,33.69448518753052,R8009_M8019:30:11,30
0,0,0,15,1,0,0,1,1,1,0,13,1,0,0,,,0.1292,0.35939598083496094,0.0158,28,rare_short_slow_rule_recover,1650.0,R8009_M8019,12,26.66541290283203,R8009_M8019:30:12,30
0,,0,,2,0,0,0,,,,,2,1,,,,0.1754,0.3647150993347168,0.0222,9,slow,1770.0,R8009_M8019,13,23.983201026916504,R8009_M8019:30:13,30
0,,0,,2,0,0,0,,,,,2,1,,2,146,0.1474,0.43913865089416504,0.088,12,slow,1890.0,R8009_M8019,14,23.701199054718018,R8009_M8019:30:14,30
