recording_id,window_size,segment_idx,window_id,segment_id,source,start,end,speaker,local_start,local_end
R8003_M8001,30,0,R8003_M8001:30:0,fast_0,fast,90.0,93.04,speaker_0,0.0,3.04
R8003_M8001,30,0,R8003_M8001:30:0,fast_5,fast,90.48,90.96,speaker_1,0.48,0.96
R8003_M8001,30,0,R8003_M8001:30:0,fast_1,fast,93.84,96.32,speaker_0,3.84,6.32
R8003_M8001,30,0,R8003_M8001:30:0,fast_6,fast,96.8,99.2,speaker_1,6.8,9.2
R8003_M8001,30,0,R8003_M8001:30:0,fast_7,fast,99.76,101.28,speaker_1,9.76,11.28
R8003_M8001,30,0,R8003_M8001:30:0,fast_8,fast,101.44,103.28,speaker_1,11.44,13.28
R8003_M8001,30,0,R8003_M8001:30:0,fast_9,fast,104.0,105.92,speaker_1,14.0,15.92
R8003_M8001,30,0,R8003_M8001:30:0,fast_10,fast,106.08,106.4,speaker_1,16.08,16.4
R8003_M8001,30,0,R8003_M8001:30:0,fast_11,fast,106.88,107.92,speaker_1,16.88,17.92
R8003_M8001,30,0,R8003_M8001:30:0,fast_12,fast,108.08,108.96,speaker_1,18.08,18.96
R8003_M8001,30,0,R8003_M8001:30:0,fast_2,fast,108.8,110.4,speaker_0,18.8,20.4
R8003_M8001,30,0,R8003_M8001:30:0,fast_13,fast,109.52,110.4,speaker_1,19.52,20.4
R8003_M8001,30,0,R8003_M8001:30:0,fast_3,fast,110.64,113.52,speaker_0,20.64,23.52
R8003_M8001,30,0,R8003_M8001:30:0,fast_14,fast,110.96,111.44,speaker_1,20.96,21.44
R8003_M8001,30,0,R8003_M8001:30:0,fast_4,fast,113.68,119.76,speaker_0,23.68,29.76
R8003_M8001,30,0,R8003_M8001:30:0,fast_15,fast,119.68,119.99,speaker_1,29.68,29.99
R8003_M8001,30,1,R8003_M8001:30:1,fast_0,fast,150.08,152.0,speaker_0,0.08,2.0
R8003_M8001,30,1,R8003_M8001:30:1,fast_4,fast,150.32,151.36,speaker_1,0.32,1.36
R8003_M8001,30,1,R8003_M8001:30:1,fast_5,fast,151.76,156.96,speaker_1,1.76,6.96
R8003_M8001,30,1,R8003_M8001:30:1,fast_1,fast,154.64,154.8,speaker_0,4.64,4.8
R8003_M8001,30,1,R8003_M8001:30:1,fast_6,fast,157.76,162.32,speaker_1,7.76,12.32
R8003_M8001,30,1,R8003_M8001:30:1,fast_7,fast,162.64,166.32,speaker_1,12.64,16.32
R8003_M8001,30,1,R8003_M8001:30:1,fast_8,fast,166.8,169.12,speaker_1,16.8,19.12
R8003_M8001,30,1,R8003_M8001:30:1,fast_9,fast,169.68,170.8,speaker_1,19.68,20.8
R8003_M8001,30,1,R8003_M8001:30:1,fast_10,fast,170.96,171.6,speaker_1,20.96,21.6
R8003_M8001,30,1,R8003_M8001:30:1,fast_11,fast,171.84,173.68,speaker_1,21.84,23.68
R8003_M8001,30,1,R8003_M8001:30:1,fast_12,fast,173.84,175.44,speaker_1,23.84,25.44
R8003_M8001,30,1,R8003_M8001:30:1,fast_2,fast,175.76,179.68,speaker_0,25.76,29.68
R8003_M8001,30,1,R8003_M8001:30:1,fast_3,fast,179.92,179.99,speaker_0,29.92,29.99
R8003_M8001,30,2,R8003_M8001:30:2,fast_0,fast,180.0,182.96,speaker_0,0.0,2.96
R8003_M8001,30,2,R8003_M8001:30:2,fast_1,fast,183.36,184.48,speaker_0,3.36,4.48
R8003_M8001,30,2,R8003_M8001:30:2,fast_2,fast,185.04,188.48,speaker_0,5.04,8.48
R8003_M8001,30,2,R8003_M8001:30:2,fast_7,fast,188.8,192.24,speaker_1,8.8,12.24
R8003_M8001,30,2,R8003_M8001:30:2,fast_15,fast,189.28,189.44,speaker_2,9.28,9.44
R8003_M8001,30,2,R8003_M8001:30:2,fast_8,fast,192.4,194.88,speaker_1,12.4,14.88
R8003_M8001,30,2,R8003_M8001:30:2,fast_9,fast,195.2,195.92,speaker_1,15.2,15.92
R8003_M8001,30,2,R8003_M8001:30:2,fast_3,fast,195.92,196.32,speaker_0,15.92,16.32
R8003_M8001,30,2,R8003_M8001:30:2,fast_10,fast,196.32,199.76,speaker_1,16.32,19.76
R8003_M8001,30,2,R8003_M8001:30:2,fast_4,fast,198.48,198.56,speaker_0,18.48,18.56
R8003_M8001,30,2,R8003_M8001:30:2,fast_5,fast,198.72,199.6,speaker_0,18.72,19.6
R8003_M8001,30,2,R8003_M8001:30:2,fast_11,fast,199.84,200.0,speaker_1,19.84,20.0
