window_id,patch_id,recording_id,window_size,segment_idx,patch_type,gate_category,action,variant,final_source,duration,support_ratio,gate_blockers,abnormal_flags,decision,reason
R8009_M8019:30:0,R8009_M8019:30:0:fast:fast_0,R8009_M8019,30,0,keep_fast_supported,rule_auto_writeback,accepted_by_gate_not_applied_by_conservative_variant,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,2.24,0.9342,,,accept,fast_segment_cross_model_supported
R8009_M8019:30:0,R8009_M8019:30:0:fast:fast_1,R8009_M8019,30,0,keep_fast_supported,rule_auto_writeback,accepted_by_gate_not_applied_by_conservative_variant,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,3.8400000000000003,0.9408,,,accept,fast_segment_cross_model_supported
R8009_M8019:30:0,R8009_M8019:30:0:fast:fast_2,R8009_M8019,30,0,keep_fast_supported,rule_auto_writeback,accepted_by_gate_not_applied_by_conservative_variant,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,6.640000000000001,0.9639,,,accept,fast_segment_cross_model_supported
R8009_M8019:30:0,R8009_M8019:30:0:fast:fast_3,R8009_M8019,30,0,boundary_fix_or_relabel,rule_accept_needs_review,blocked_or_deferred,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,6.32,0.7235,low_cross_model_support,,accept,slow_supports_fast_with_boundary_or_label_update
R8009_M8019:30:0,R8009_M8019:30:0:fast:fast_4,R8009_M8019,30,0,keep_fast_supported,rule_auto_writeback,accepted_by_gate_not_applied_by_conservative_variant,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,2.3200000000000003,0.9364,,,accept,fast_segment_cross_model_supported
R8009_M8019:30:0,R8009_M8019:30:0:fast:fast_5,R8009_M8019,30,0,boundary_fix_or_relabel,rule_auto_writeback,accepted_by_gate_not_applied_by_conservative_variant,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,3.509999999999998,0.8697,,,accept,slow_supports_fast_with_boundary_or_label_update
R8009_M8019:30:0,R8009_M8019:30:0:fast:fast_6,R8009_M8019,30,0,keep_fast_supported,rule_auto_writeback,accepted_by_gate_not_applied_by_conservative_variant,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,2.24,1.0,,,accept,fast_segment_cross_model_supported
R8009_M8019:30:0,R8009_M8019:30:0:fast:fast_7,R8009_M8019,30,0,boundary_fix_or_relabel,rule_label_only_writeback,accepted_by_gate_not_applied_by_conservative_variant,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,0.4800000000000004,1.0,do_not_update_memory_on_short_segment,,accept,slow_supports_fast_with_boundary_or_label_update
R8009_M8019:30:0,R8009_M8019:30:0:slow:slow_0,R8009_M8019,30,0,align_slow_segment,rule_reference_only,blocked_or_deferred,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,2.1999999999999997,0.9511,slow_reference_segment,,accept,slow_segment_aligned_for_reference
R8009_M8019:30:0,R8009_M8019:30:0:slow:slow_1,R8009_M8019,30,0,align_slow_segment,rule_reference_only,blocked_or_deferred,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,3.7,0.9764,slow_reference_segment,,accept,slow_segment_aligned_for_reference
R8009_M8019:30:0,R8009_M8019:30:0:slow:slow_2,R8009_M8019,30,0,align_slow_segment,rule_reference_only,blocked_or_deferred,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,6.400000000000001,1.0,slow_reference_segment,,accept,slow_segment_aligned_for_reference
R8009_M8019:30:0,R8009_M8019:30:0:slow:slow_3,R8009_M8019,30,0,align_slow_segment,rule_reference_only,blocked_or_deferred,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,2.4800000000000004,0.9032,slow_reference_segment,,accept,slow_segment_aligned_for_reference
R8009_M8019:30:0,R8009_M8019:30:0:slow:slow_4,R8009_M8019,30,0,align_slow_segment,rule_reference_only,blocked_or_deferred,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,4.740000000000002,0.9647,slow_reference_segment,,accept,slow_segment_aligned_for_reference
R8009_M8019:30:0,R8009_M8019:30:0:slow:slow_5,R8009_M8019,30,0,align_slow_segment,rule_reference_only,blocked_or_deferred,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,1.2799999999999976,1.0,slow_reference_segment,,accept,slow_segment_aligned_for_reference
