recording_id,window_size,segment_idx,window_id,segment_id,source,start,end,speaker,local_start,local_end
R8009_M8019,30,0,R8009_M8019:30:0,final_0,final,120.3725,122.5725,2,0.3725,2.5725
R8009_M8019,30,0,R8009_M8019:30:0,final_1,final,123.5125,127.2125,2,3.5125,7.2125
R8009_M8019,30,0,R8009_M8019:30:0,final_2,final,127.6925,134.0925,2,7.6925,14.0925
R8009_M8019,30,0,R8009_M8019:30:0,final_3,final,134.0325,136.5125,1,14.0325,16.5125
R8009_M8019,30,0,R8009_M8019:30:0,final_4,final,136.2325,140.9725,2,16.2325,20.9725
R8009_M8019,30,0,R8009_M8019:30:0,final_5,final,141.2925,142.5725,2,21.2925,22.5725
R8009_M8019,30,0,R8009_M8019:30:0,final_6,final,143.2725,145.4525,2,23.2725,25.4525
R8009_M8019,30,0,R8009_M8019:30:0,final_7,final,146.3525,149.5325,2,26.3525,29.5325
R8009_M8019,30,0,R8009_M8019:30:0,final_8,final,148.3725,149.9725,1,28.3725,29.9725
R8009_M8019,30,1,R8009_M8019:30:1,final_0,final,300.0125,304.1725,1,0.0125,4.1725
R8009_M8019,30,1,R8009_M8019:30:1,final_1,final,304.6925,305.9925,1,4.6925,5.9925
R8009_M8019,30,1,R8009_M8019:30:1,final_2,final,306.3325,308.6525,1,6.3325,8.6525
R8009_M8019,30,1,R8009_M8019:30:1,final_3,final,308.1725,309.4725,2,8.1725,9.4725
R8009_M8019,30,1,R8009_M8019:30:1,final_4,final,308.8725,309.9125,1,8.8725,9.9125
R8009_M8019,30,1,R8009_M8019:30:1,final_5,final,309.8725,314.9325,2,9.8725,14.9325
R8009_M8019,30,1,R8009_M8019:30:1,final_6,final,315.6725,316.7525,2,15.6725,16.7525
R8009_M8019,30,1,R8009_M8019:30:1,final_7,final,317.9525,320.7525,2,17.9525,20.7525
R8009_M8019,30,1,R8009_M8019:30:1,final_8,final,322.1125,324.2925,2,22.1125,24.2925
R8009_M8019,30,1,R8009_M8019:30:1,final_9,final,324.7925,325.6325,2,24.7925,25.6325
R8009_M8019,30,1,R8009_M8019:30:1,final_10,final,326.5125,328.7925,2,26.5125,28.7925
R8009_M8019,30,1,R8009_M8019:30:1,final_11,final,328.0125,329.0325,1,28.0125,29.0325
R8009_M8019,30,1,R8009_M8019:30:1,final_12,final,329.4525,329.8725,2,29.4525,29.8725
R8009_M8019,30,2,R8009_M8019:30:2,final_0,final,450.0125,464.4925,2,0.0125,14.4925
R8009_M8019,30,2,R8009_M8019:30:2,final_1,final,454.6525,458.9325,1,4.6525,8.9325
R8009_M8019,30,2,R8009_M8019:30:2,final_2,final,463.4525,466.0925,1,13.4525,16.0925
R8009_M8019,30,2,R8009_M8019:30:2,final_3,final,466.6925,467.9525,1,16.6925,17.9525
R8009_M8019,30,2,R8009_M8019:30:2,final_4,final,468.7925,470.9125,1,18.7925,20.9125
R8009_M8019,30,2,R8009_M8019:30:2,final_5,final,471.8725,477.2325,1,21.8725,27.2325
R8009_M8019,30,2,R8009_M8019:30:2,final_6,final,477.4725,478.2325,1,27.4725,28.2325
R8009_M8019,30,2,R8009_M8019:30:2,final_7,final,478.7925,480.0,1,28.7925,30.0
R8009_M8019,30,3,R8009_M8019:30:3,final_0,final,780.1525,781.3725,0,0.1525,1.3725
R8009_M8019,30,3,R8009_M8019:30:3,final_1,final,781.7725,782.4125,0,1.7725,2.4125
R8009_M8019,30,3,R8009_M8019:30:3,final_2,final,782.6925,786.3925,0,2.6925,6.3925
R8009_M8019,30,3,R8009_M8019:30:3,final_3,final,786.5125,804.7925,1,6.5125,24.7925
R8009_M8019,30,3,R8009_M8019:30:3,final_4,final,804.5325,806.7925,0,24.5325,26.7925
R8009_M8019,30,3,R8009_M8019:30:3,final_5,final,805.1725,805.9325,1,25.1725,25.9325
R8009_M8019,30,3,R8009_M8019:30:3,final_6,final,808.2125,810.0,0,28.2125,30.0
R8009_M8019,30,4,R8009_M8019:30:4,final_0,final,870.0125,872.6725,1,0.0125,2.6725
R8009_M8019,30,4,R8009_M8019:30:4,final_1,final,874.1525,875.0525,1,4.1525,5.0525
R8009_M8019,30,4,R8009_M8019:30:4,final_2,final,875.5125,878.5325,1,5.5125,8.5325
R8009_M8019,30,4,R8009_M8019:30:4,final_3,final,879.8525,881.7125,1,9.8525,11.7125
R8009_M8019,30,4,R8009_M8019:30:4,final_4,final,881.9525,884.8325,1,11.9525,14.8325
R8009_M8019,30,4,R8009_M8019:30:4,final_5,final,885.2125,885.8525,1,15.2125,15.8525
R8009_M8019,30,4,R8009_M8019:30:4,final_6,final,886.4525,893.3725,1,16.4525,23.3725
R8009_M8019,30,4,R8009_M8019:30:4,final_7,final,893.7525,899.7325,1,23.7525,29.7325
R8009_M8019,30,5,R8009_M8019:30:5,final_0,final,1020.0125,1022.1325,0,0.0125,2.1325
R8009_M8019,30,5,R8009_M8019:30:5,final_1,final,1022.4325,1025.5325,0,2.4325,5.5325
R8009_M8019,30,5,R8009_M8019:30:5,final_2,final,1023.2925,1040.1925,1,3.2925,20.1925
R8009_M8019,30,5,R8009_M8019:30:5,final_3,final,1041.7525,1047.3925,1,21.7525,27.3925
R8009_M8019,30,5,R8009_M8019:30:5,final_4,final,1048.0725,1050.0,1,28.0725,30.0
R8009_M8019,30,6,R8009_M8019:30:6,final_0,final,1140.0125,1141.4325,2,0.0125,1.4325
R8009_M8019,30,6,R8009_M8019:30:6,final_1,final,1141.9725,1144.8325,2,1.9725,4.8325
R8009_M8019,30,6,R8009_M8019:30:6,final_2,final,1145.2925,1147.5325,1,5.2925,7.5325
R8009_M8019,30,6,R8009_M8019:30:6,final_3,final,1147.8925,1148.6325,1,7.8925,8.6325
R8009_M8019,30,6,R8009_M8019:30:6,final_4,final,1148.9325,1153.9525,1,8.9325,13.9525
R8009_M8019,30,6,R8009_M8019:30:6,final_5,final,1154.4325,1159.8525,1,14.4325,19.8525
R8009_M8019,30,6,R8009_M8019:30:6,final_6,final,1161.5325,1165.4325,1,21.5325,25.4325
R8009_M8019,30,6,R8009_M8019:30:6,final_7,final,1165.7325,1169.7325,1,25.7325,29.7325
R8009_M8019,30,7,R8009_M8019:30:7,final_0,final,1200.5525,1202.2725,2,0.5525,2.2725
R8009_M8019,30,7,R8009_M8019:30:7,final_1,final,1201.2925,1213.8525,1,1.2925,13.8525
R8009_M8019,30,7,R8009_M8019:30:7,final_2,final,1214.9525,1215.7525,2,14.9525,15.7525
R8009_M8019,30,7,R8009_M8019:30:7,final_3,final,1216.5125,1217.8525,2,16.5125,17.8525
R8009_M8019,30,7,R8009_M8019:30:7,final_4,final,1218.5125,1219.0725,2,18.5125,19.0725
R8009_M8019,30,7,R8009_M8019:30:7,final_5,final,1219.8925,1220.5925,2,19.8925,20.5925
R8009_M8019,30,7,R8009_M8019:30:7,final_6,final,1221.5325,1226.5325,2,21.5325,26.5325
R8009_M8019,30,7,R8009_M8019:30:7,final_7,final,1227.2125,1229.6325,2,27.2125,29.6325
R8009_M8019,30,8,R8009_M8019:30:8,final_0,final,1230.0125,1235.8325,0,0.0125,5.8325
R8009_M8019,30,8,R8009_M8019:30:8,final_1,final,1233.9325,1240.3325,1,3.9325,10.3325
R8009_M8019,30,8,R8009_M8019:30:8,final_2,final,1240.3325,1243.8125,0,10.3325,13.8125
R8009_M8019,30,8,R8009_M8019:30:8,final_3,final,1240.3525,1257.4725,1,10.3525,27.4725
R8009_M8019,30,8,R8009_M8019:30:8,final_4,final,1245.4125,1246.5925,0,15.4125,16.5925
R8009_M8019,30,8,R8009_M8019:30:8,final_5,final,1257.7325,1259.8325,1,27.7325,29.8325
R8009_M8019,30,9,R8009_M8019:30:9,final_0,final,1290.0125,1292.2925,2,0.0125,2.2925
R8009_M8019,30,9,R8009_M8019:30:9,final_1,final,1292.6725,1307.6125,1,2.6725,17.6125
R8009_M8019,30,9,R8009_M8019:30:9,final_2,final,1292.6925,1294.7325,2,2.6925,4.7325
R8009_M8019,30,9,R8009_M8019:30:9,final_3,final,1301.4325,1304.8525,2,11.4325,14.8525
R8009_M8019,30,9,R8009_M8019:30:9,final_4,final,1306.5525,1310.4725,2,16.5525,20.4725
R8009_M8019,30,9,R8009_M8019:30:9,final_5,final,1308.0925,1309.2925,1,18.0925,19.2925
R8009_M8019,30,9,R8009_M8019:30:9,final_6,final,1311.1125,1315.8725,2,21.1125,25.8725
R8009_M8019,30,9,R8009_M8019:30:9,final_7,final,1316.2325,1318.5125,2,26.2325,28.5125
R8009_M8019,30,9,R8009_M8019:30:9,final_8,final,1318.9925,1320.0,2,28.9925,30.0
R8009_M8019,30,10,R8009_M8019:30:10,final_0,final,1320.0125,1322.9125,0,0.0125,2.9125
R8009_M8019,30,10,R8009_M8019:30:10,final_1,final,1323.8725,1326.7725,1,3.8725,6.7725
R8009_M8019,30,10,R8009_M8019:30:10,final_2,final,1325.0725,1331.2325,0,5.0725,11.2325
R8009_M8019,30,10,R8009_M8019:30:10,final_3,final,1327.3125,1330.1525,1,7.3125,10.1525
