choice_counts,clipped_slow_der,current_final_der,delta_vs_clipped_slow,delta_vs_clipped_slow_pp,delta_vs_current,delta_vs_current_pp,description,feature_a,feature_b,final_der,negative_recordings_vs_clipped_slow,op_a,op_b,overlay_losses_vs_current,overlay_wins_vs_current,policy_id,policy_kind,positive_recordings_vs_clipped_slow,selected,selected_windows,threshold_a,threshold_b,true_variant,windows
"{'current_final': 119, 'rule_recover_policy_sweep_best': 1}",0.1687966666666667,0.16492333333333334,0.003902500000000031,0.3902500000000031,2.9166666666663454e-05,0.0029166666666663454,align_slow_segment <= 4 AND prev_audio_dynamic_range_db >= 21.35,align_slow_segment,prev_audio_dynamic_range_db,0.16489416666666667,0,<=,>=,0,1,if_align_slow_segment_<=_4_AND_prev_audio_dynamic_range_db_>=_21.35_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,1,1,4.0,21.35,rule_recover_policy_sweep_best,120
"{'current_final': 119, 'rule_recover_uncovered_only': 1}",0.1687966666666667,0.16492333333333334,0.003902500000000031,0.3902500000000031,2.9166666666663454e-05,0.0029166666666663454,align_slow_segment <= 4 AND prev_audio_dynamic_range_db >= 21.35,align_slow_segment,prev_audio_dynamic_range_db,0.16489416666666667,0,<=,>=,0,1,if_align_slow_segment_<=_4_AND_prev_audio_dynamic_range_db_>=_21.35_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,1,1,4.0,21.35,rule_recover_uncovered_only,120
"{'current_final': 118, 'rule_recover_policy_sweep_best': 2}",0.1687966666666667,0.16492333333333334,0.003902500000000031,0.3902500000000031,2.9166666666663454e-05,0.0029166666666663454,align_slow_segment <= 4 AND prev_audio_max_speech_sec >= 18.25,align_slow_segment,prev_audio_max_speech_sec,0.16489416666666667,0,<=,>=,0,1,if_align_slow_segment_<=_4_AND_prev_audio_max_speech_sec_>=_18.25_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,2,2,4.0,18.25,rule_recover_policy_sweep_best,120
"{'current_final': 118, 'rule_recover_uncovered_only': 2}",0.1687966666666667,0.16492333333333334,0.003902500000000031,0.3902500000000031,2.9166666666663454e-05,0.0029166666666663454,align_slow_segment <= 4 AND prev_audio_max_speech_sec >= 18.25,align_slow_segment,prev_audio_max_speech_sec,0.16489416666666667,0,<=,>=,0,1,if_align_slow_segment_<=_4_AND_prev_audio_max_speech_sec_>=_18.25_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,2,2,4.0,18.25,rule_recover_uncovered_only,120
"{'current_final': 119, 'fast_base': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,align_slow_segment <= 3 AND boundary_fix_or_relabel <= 1,align_slow_segment,boundary_fix_or_relabel,0.16492333333333334,0,<=,<=,0,0,if_align_slow_segment_<=_3_AND_boundary_fix_or_relabel_<=_1_then_fast_base_else_current_final,recording_balanced_overlay,5,1,1,3.0,1.0,fast_base,120
"{'current_final': 119, 'rule_recover_matched_label': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,align_slow_segment <= 3 AND boundary_fix_or_relabel <= 1,align_slow_segment,boundary_fix_or_relabel,0.16492333333333334,0,<=,<=,0,0,if_align_slow_segment_<=_3_AND_boundary_fix_or_relabel_<=_1_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,1,1,3.0,1.0,rule_recover_matched_label,120
"{'current_final': 119, 'rule_recover_policy_sweep_best': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,align_slow_segment <= 3 AND boundary_fix_or_relabel <= 1,align_slow_segment,boundary_fix_or_relabel,0.16492333333333334,0,<=,<=,0,0,if_align_slow_segment_<=_3_AND_boundary_fix_or_relabel_<=_1_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,1,1,3.0,1.0,rule_recover_policy_sweep_best,120
"{'current_final': 119, 'rule_recover_uncovered_only': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,align_slow_segment <= 3 AND boundary_fix_or_relabel <= 1,align_slow_segment,boundary_fix_or_relabel,0.16492333333333334,0,<=,<=,0,0,if_align_slow_segment_<=_3_AND_boundary_fix_or_relabel_<=_1_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,1,1,3.0,1.0,rule_recover_uncovered_only,120
"{'current_final': 119, 'fast_base': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,align_slow_segment <= 4 AND audio_channel_activity_mean >= 3.6204,align_slow_segment,audio_channel_activity_mean,0.16492333333333334,0,<=,>=,0,0,if_align_slow_segment_<=_4_AND_audio_channel_activity_mean_>=_3.6204_then_fast_base_else_current_final,recording_balanced_overlay,5,1,1,4.0,3.6204,fast_base,120
"{'current_final': 119, 'rule_recover_matched_label': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,align_slow_segment <= 4 AND audio_channel_activity_mean >= 3.6204,align_slow_segment,audio_channel_activity_mean,0.16492333333333334,0,<=,>=,0,0,if_align_slow_segment_<=_4_AND_audio_channel_activity_mean_>=_3.6204_then_rule_recover_matched_label_else_current_final,recording_balanced_overlay,5,1,1,4.0,3.6204,rule_recover_matched_label,120
"{'current_final': 119, 'rule_recover_policy_sweep_best': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,align_slow_segment <= 4 AND audio_channel_activity_mean >= 3.6204,align_slow_segment,audio_channel_activity_mean,0.16492333333333334,0,<=,>=,0,0,if_align_slow_segment_<=_4_AND_audio_channel_activity_mean_>=_3.6204_then_rule_recover_policy_sweep_best_else_current_final,recording_balanced_overlay,5,1,1,4.0,3.6204,rule_recover_policy_sweep_best,120
"{'current_final': 119, 'rule_recover_uncovered_only': 1}",0.1687966666666667,0.16492333333333334,0.0038733333333333675,0.38733333333333675,0.0,0.0,align_slow_segment <= 4 AND audio_channel_activity_mean >= 3.6204,align_slow_segment,audio_channel_activity_mean,0.16492333333333334,0,<=,>=,0,0,if_align_slow_segment_<=_4_AND_audio_channel_activity_mean_>=_3.6204_then_rule_recover_uncovered_only_else_current_final,recording_balanced_overlay,5,1,1,4.0,3.6204,rule_recover_uncovered_only,120
