policy,role,workers,calls,waves,p95_call_seconds,estimated_wall_seconds,token_multiplier,requires_reexport,top3_live_evidence_reusable,worker_risk,recommendation,claim_status
max20,resume_primary,4,139,35,21.358,747.53,1.118,False,True,low_burst_slow_wall,safe_but_slower_fallback,planning_only_no_live_metric_claim
max20,resume_primary,8,139,18,21.358,384.444,1.118,False,True,current_runbook_default,recommended_p0_default,planning_only_no_live_metric_claim
max20,resume_primary,12,139,12,21.358,256.296,1.118,False,True,medium_burst_needs_provider_stability,speedup_candidate_after_quota_stable,planning_only_no_live_metric_claim
max20,resume_primary,16,139,9,21.358,192.222,1.118,False,True,high_burst_exploratory_only,speedup_candidate_after_quota_stable,planning_only_no_live_metric_claim
max15,latency_stretch_reexport,4,178,45,18.047,812.115,1.182,True,False,low_burst_slow_wall,stretch_reexport_only,planning_only_no_live_metric_claim
max15,latency_stretch_reexport,8,178,23,18.047,415.081,1.182,True,False,current_runbook_default,stretch_reexport_only,planning_only_no_live_metric_claim
max15,latency_stretch_reexport,12,178,15,18.047,270.705,1.182,True,False,medium_burst_needs_provider_stability,stretch_reexport_only,planning_only_no_live_metric_claim
max15,latency_stretch_reexport,16,178,12,18.047,216.564,1.182,True,False,high_burst_exploratory_only,stretch_reexport_only,planning_only_no_live_metric_claim
max12,exploratory_low_latency_high_cost,4,209,53,16.19,858.07,1.246,True,False,low_burst_slow_wall,exploratory_high_quota_cost,planning_only_no_live_metric_claim
max12,exploratory_low_latency_high_cost,8,209,27,16.19,437.13,1.246,True,False,current_runbook_default,exploratory_high_quota_cost,planning_only_no_live_metric_claim
max12,exploratory_low_latency_high_cost,12,209,18,16.19,291.42,1.246,True,False,medium_burst_needs_provider_stability,exploratory_high_quota_cost,planning_only_no_live_metric_claim
max12,exploratory_low_latency_high_cost,16,209,14,16.19,226.66,1.246,True,False,high_burst_exploratory_only,exploratory_high_quota_cost,planning_only_no_live_metric_claim
max10,exploratory_low_latency_high_cost,4,239,60,15.081,904.86,1.307,True,False,low_burst_slow_wall,exploratory_high_quota_cost,planning_only_no_live_metric_claim
max10,exploratory_low_latency_high_cost,8,239,30,15.081,452.43,1.307,True,False,current_runbook_default,exploratory_high_quota_cost,planning_only_no_live_metric_claim
max10,exploratory_low_latency_high_cost,12,239,20,15.081,301.62,1.307,True,False,medium_burst_needs_provider_stability,exploratory_high_quota_cost,planning_only_no_live_metric_claim
max10,exploratory_low_latency_high_cost,16,239,15,15.081,226.215,1.307,True,False,high_burst_exploratory_only,exploratory_high_quota_cost,planning_only_no_live_metric_claim
max8,exploratory_low_latency_high_cost,4,286,72,13.647,982.584,1.404,True,False,low_burst_slow_wall,exploratory_high_quota_cost,planning_only_no_live_metric_claim
max8,exploratory_low_latency_high_cost,8,286,36,13.647,491.292,1.404,True,False,current_runbook_default,exploratory_high_quota_cost,planning_only_no_live_metric_claim
max8,exploratory_low_latency_high_cost,12,286,24,13.647,327.528,1.404,True,False,medium_burst_needs_provider_stability,exploratory_high_quota_cost,planning_only_no_live_metric_claim
max8,exploratory_low_latency_high_cost,16,286,18,13.647,245.646,1.404,True,False,high_burst_exploratory_only,exploratory_high_quota_cost,planning_only_no_live_metric_claim
