call_index,call_id,model,recording_id,window_size,segment_idx,window_id,expansion_role,prior_bucket,existing_omni_result,audio,audio_exists,clip_start_sec,clip_sec,proxy_score,proxy_reasons,prior_omni_risks,source_artifacts,output_jsonl,writeback_right
1,R8001_M8004:30:1:qwen3.5-omni-flash,qwen3.5-omni-flash,R8001_M8004,30,1,R8001_M8004:30:1,anchor_smoke_window,high,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,30.0,8.0,0.0,,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
2,R8001_M8004:30:1:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8001_M8004,30,1,R8001_M8004:30:1,anchor_smoke_window,high,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,30.0,8.0,0.0,,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
3,R8001_M8004:30:3:qwen3.5-omni-flash,qwen3.5-omni-flash,R8001_M8004,30,3,R8001_M8004:30:3,anchor_smoke_window,high,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,90.0,8.0,0.0,,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
4,R8001_M8004:30:3:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8001_M8004,30,3,R8001_M8004:30:3,anchor_smoke_window,high,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,90.0,8.0,0.0,,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
5,R8001_M8004:30:5:qwen3.5-omni-flash,qwen3.5-omni-flash,R8001_M8004,30,5,R8001_M8004:30:5,anchor_smoke_window,medium,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,150.0,8.0,0.0,,low;medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
6,R8001_M8004:30:5:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8001_M8004,30,5,R8001_M8004:30:5,anchor_smoke_window,medium,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,150.0,8.0,0.0,,low;medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
7,R8003_M8001:30:3:qwen3.5-omni-flash,qwen3.5-omni-flash,R8003_M8001,30,3,R8003_M8001:30:3,anchor_smoke_window,clean,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,90.0,8.0,0.0,,low;medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
8,R8003_M8001:30:3:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8003_M8001,30,3,R8003_M8001:30:3,anchor_smoke_window,clean,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,90.0,8.0,0.0,,low;medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
9,R8003_M8001:30:4:qwen3.5-omni-flash,qwen3.5-omni-flash,R8003_M8001,30,4,R8003_M8001:30:4,anchor_smoke_window,medium,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,120.0,8.0,0.0,,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
10,R8003_M8001:30:4:qwen3.5-omni-plus-2026-03-15,qwen3.5-omni-plus-2026-03-15,R8003_M8001,30,4,R8003_M8001:30:4,anchor_smoke_window,medium,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,120.0,8.0,0.0,,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
11,R8003_M8001:30:5:qwen3.5-omni-flash,qwen3.5-omni-flash,R8003_M8001,30,5,R8003_M8001:30:5,anchor_smoke_window,high,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,150.0,8.0,0.0,,medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv,outputs/omni_guard/omni_expansion_48_live.jsonl,label_only_no_timeline_writeback
