expansion_role,recording_id,window_size,segment_idx,prior_bucket,existing_omni_result,audio,audio_exists,clip_start_sec,clip_sec,target_models,proxy_reasons,proxy_score,prior_omni_risks,source_artifacts
anchor_smoke_window,R8001_M8004,30,1,high,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,30.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,,0.0,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv
anchor_smoke_window,R8001_M8004,30,3,high,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,90.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,,0.0,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv
anchor_smoke_window,R8001_M8004,30,5,medium,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,150.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,,0.0,low;medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv
anchor_smoke_window,R8003_M8001,30,3,clean,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,90.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,,0.0,low;medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv
anchor_smoke_window,R8003_M8001,30,4,medium,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,120.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,,0.0,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv
anchor_smoke_window,R8003_M8001,30,5,high,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8003_M8001_MS801.wav,1,150.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,,0.0,medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv
anchor_smoke_window,R8007_M8010,30,4,high,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8010_MS803.wav,1,120.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,,0.0,high;medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv
anchor_smoke_window,R8007_M8011,30,0,clean,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8007_M8011_MS806.wav,1,0.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,,0.0,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv
anchor_smoke_window,R8008_M8013,30,2,medium,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8008_M8013_MS807.wav,1,60.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,,0.0,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv
anchor_smoke_window,R8009_M8018,30,0,medium,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8018_MS809.wav,1,0.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,,0.0,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv
anchor_smoke_window,R8009_M8019,30,0,clean,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8019_MS810.wav,1,0.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,,0.0,medium,outputs/omni_guard/omni_flash_plus_window_batch_12.csv
anchor_smoke_window,R8009_M8020,30,4,clean,1,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8009_M8020_MS810.wav,1,120.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,,0.0,low,outputs/omni_guard/omni_flash_plus_window_batch_12.csv
new_runtime_proxy_window,R8001_M8004,30,12,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,360.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,20.632,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv
new_runtime_proxy_window,R8001_M8004,30,9,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,270.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,20.341,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv
new_runtime_proxy_window,R8001_M8004,30,4,runtime_proxy,0,/Users/haojiang/data/AliMeeting/Eval_Ali/Eval_Ali_far/audio_dir/R8001_M8004_MS801.wav,1,120.0,8.0,qwen3.5-omni-flash;qwen3.5-omni-plus-2026-03-15,cross_model_disagreement_high;cross_model_segment_count_gap;cross_model_speaker_count_mismatch;pred_speech_too_long;slow_speech_much_longer_than_fast,20.010,,outputs/deployable_abnormal_windows/sortformer_diarizen_120_proxy.csv
