stage_id,surface,metric,avg_seconds,p95_seconds,wall_seconds,target,target_status,claim_status,writeback_right,source_artifacts
fast_first_output,runtime_120_windows,first_visible_update_avg_p95,0.383,0.445,,avg<=1s_and_p95<=1s,pass,claim_now_runtime,fast_provisional,outputs/system_timeline/summary.json
rule_writeback,runtime_120_windows,bounded_writeback_arrival_avg_p95,24.647,28.334,,avg<=30s_and_p95<=35s,pass,claim_now_runtime,bounded_timeline_writeback,outputs/system_timeline/summary.json
runtime_safe_llm_guard,104_proxy_flagged_windows,guard_arrival_avg_p95_zero_harm,44.918,63.849,,avg<=50s_and_p95<=65s,pass,claim_now_runtime_zero_harm,block_or_quarantine_only,outputs/system_timeline/summary.json; outputs/runtime_safe_llm_window_batch/deepseek_proxy_high_risk_104w_latency_summary.json
llm_review_signal,4_review_cases,review_signal_arrival_avg_p95,46.097,55.8,,review_only_no_timeline_override,pass,claim_now_memory_protection,memory_protection_only,outputs/system_timeline/summary.json; outputs/timeline_review_audit/llm_review_signal_timeline_audit_summary.json
omni_realtime_single_smoke,single_8s_audio_clip,first_text_and_total_latency,0.744,,1.356,first_text<1s_total<2s,pass,smoke_only_not_omni48_claim,label_only_no_timeline_writeback,outputs/omni_guard/qwen35_omni_flash_realtime_guard_8s.jsonl
split20_simulated_policy,104_proxy_flagged_windows_offline_model,simulated_p95_call_and_correction_delay,41.226,46.005,,planning_only_no_live_claim,planning_only,offline_budget_only,none,outputs/runtime_safe_llm_window_batch/deepseek_proxy_high_risk_104w_split_simulation_summary.json
split20_deepseek_top3_live_smoke,3_slowest_parent_windows_8_calls,measured_parallel_wall,,,29.014,wall<original_max_on_top3,pass,supporting_smoke_only,block_or_quarantine_only,outputs/runtime_safe_llm_window_batch/deepseek_proxy_high_risk_split20_top3_parallel_comparison.json
split20_deepseek_full_resume,101_pending_parent_windows_139_calls,planned_resume_wall_budget,,,384.444,needs_live_resume_output_before_claim,blocked_external,blocked_by_quota_or_missing_resume,block_or_quarantine_only,outputs/research_progress_snapshot/live_agent_execution_plan.json; outputs/research_progress_snapshot/live_postrun_metrics_closure.json
split20_qwen_backup_top45,2_parent_windows_4_calls,backup_measured_wall,,,44.024,backup_only_not_latency_supporting,backup_completed_slow,execution_fallback_only,block_or_quarantine_only,outputs/runtime_safe_llm_window_batch/qwen36_flash_split20_top4_5_parallel_comparison.json
omni48_label_only_live,48_windows_96_calls,first_text_total_latency_pending,,,,needs_96_call_live_output,blocked_missing_credentials,pending_omni48_live_outputs,label_only_no_timeline_writeback,outputs/research_progress_snapshot/omni48_live_call_manifest.json; outputs/research_progress_snapshot/live_postrun_metrics_closure.json
