parent_window_id,recording_id,segment_idx,prompt_calls
R8001_M8004:30:0,R8001_M8004,0,1
R8001_M8004:30:1,R8001_M8004,1,2
R8001_M8004:30:10,R8001_M8004,10,3
R8001_M8004:30:11,R8001_M8004,11,2
R8001_M8004:30:12,R8001_M8004,12,1
R8001_M8004:30:13,R8001_M8004,13,1
R8001_M8004:30:14,R8001_M8004,14,2
R8001_M8004:30:2,R8001_M8004,2,2
R8001_M8004:30:3,R8001_M8004,3,1
R8001_M8004:30:4,R8001_M8004,4,1
R8001_M8004:30:5,R8001_M8004,5,1
R8001_M8004:30:6,R8001_M8004,6,1
R8001_M8004:30:7,R8001_M8004,7,2
R8001_M8004:30:8,R8001_M8004,8,1
R8001_M8004:30:9,R8001_M8004,9,1
R8003_M8001:30:0,R8003_M8001,0,2
R8003_M8001:30:1,R8003_M8001,1,2
R8003_M8001:30:10,R8003_M8001,10,3
R8003_M8001:30:11,R8003_M8001,11,1
R8003_M8001:30:12,R8003_M8001,12,2
R8003_M8001:30:13,R8003_M8001,13,1
R8003_M8001:30:14,R8003_M8001,14,2
R8003_M8001:30:2,R8003_M8001,2,2
R8003_M8001:30:3,R8003_M8001,3,1
R8003_M8001:30:4,R8003_M8001,4,2
R8003_M8001:30:5,R8003_M8001,5,2
R8003_M8001:30:6,R8003_M8001,6,1
R8003_M8001:30:7,R8003_M8001,7,2
R8003_M8001:30:8,R8003_M8001,8,1
R8003_M8001:30:9,R8003_M8001,9,2
R8007_M8010:30:0,R8007_M8010,0,3
R8007_M8010:30:1,R8007_M8010,1,1
R8007_M8010:30:10,R8007_M8010,10,2
R8007_M8010:30:11,R8007_M8010,11,3
R8007_M8010:30:12,R8007_M8010,12,3
R8007_M8010:30:13,R8007_M8010,13,2
R8007_M8010:30:14,R8007_M8010,14,3
R8007_M8010:30:2,R8007_M8010,2,3
R8007_M8010:30:3,R8007_M8010,3,3
R8007_M8010:30:4,R8007_M8010,4,3
R8007_M8010:30:5,R8007_M8010,5,3
R8007_M8010:30:6,R8007_M8010,6,3
R8007_M8010:30:7,R8007_M8010,7,3
R8007_M8010:30:8,R8007_M8010,8,3
R8007_M8010:30:9,R8007_M8010,9,2
R8007_M8011:30:0,R8007_M8011,0,1
R8007_M8011:30:1,R8007_M8011,1,2
R8007_M8011:30:10,R8007_M8011,10,2
R8007_M8011:30:11,R8007_M8011,11,2
R8007_M8011:30:12,R8007_M8011,12,2
R8007_M8011:30:13,R8007_M8011,13,2
R8007_M8011:30:14,R8007_M8011,14,1
R8007_M8011:30:2,R8007_M8011,2,1
R8007_M8011:30:3,R8007_M8011,3,1
R8007_M8011:30:4,R8007_M8011,4,1
R8007_M8011:30:5,R8007_M8011,5,2
R8007_M8011:30:6,R8007_M8011,6,1
R8007_M8011:30:7,R8007_M8011,7,2
R8007_M8011:30:8,R8007_M8011,8,3
R8007_M8011:30:9,R8007_M8011,9,1
R8008_M8013:30:0,R8008_M8013,0,2
R8008_M8013:30:1,R8008_M8013,1,2
R8008_M8013:30:11,R8008_M8013,11,1
R8008_M8013:30:12,R8008_M8013,12,1
R8008_M8013:30:13,R8008_M8013,13,1
R8008_M8013:30:14,R8008_M8013,14,2
R8008_M8013:30:2,R8008_M8013,2,2
R8008_M8013:30:3,R8008_M8013,3,1
R8008_M8013:30:4,R8008_M8013,4,1
R8008_M8013:30:5,R8008_M8013,5,2
R8008_M8013:30:6,R8008_M8013,6,1
R8008_M8013:30:7,R8008_M8013,7,1
R8008_M8013:30:8,R8008_M8013,8,1
R8008_M8013:30:9,R8008_M8013,9,2
R8009_M8018:30:0,R8009_M8018,0,2
R8009_M8018:30:1,R8009_M8018,1,1
R8009_M8018:30:10,R8009_M8018,10,2
R8009_M8018:30:11,R8009_M8018,11,2
R8009_M8018:30:12,R8009_M8018,12,3
R8009_M8018:30:13,R8009_M8018,13,2
R8009_M8018:30:14,R8009_M8018,14,1
R8009_M8018:30:3,R8009_M8018,3,1
R8009_M8018:30:5,R8009_M8018,5,1
R8009_M8018:30:6,R8009_M8018,6,2
R8009_M8018:30:8,R8009_M8018,8,1
R8009_M8019:30:10,R8009_M8019,10,1
R8009_M8019:30:12,R8009_M8019,12,2
R8009_M8019:30:2,R8009_M8019,2,2
R8009_M8019:30:3,R8009_M8019,3,2
R8009_M8019:30:5,R8009_M8019,5,1
R8009_M8019:30:7,R8009_M8019,7,2
R8009_M8019:30:8,R8009_M8019,8,1
R8009_M8019:30:9,R8009_M8019,9,2
R8009_M8020:30:1,R8009_M8020,1,1
R8009_M8020:30:11,R8009_M8020,11,1
R8009_M8020:30:12,R8009_M8020,12,3
R8009_M8020:30:2,R8009_M8020,2,1
R8009_M8020:30:3,R8009_M8020,3,1
R8009_M8020:30:4,R8009_M8020,4,1
R8009_M8020:30:5,R8009_M8020,5,1
R8009_M8020:30:6,R8009_M8020,6,2
R8009_M8020:30:7,R8009_M8020,7,2
R8009_M8020:30:8,R8009_M8020,8,1
R8009_M8020:30:9,R8009_M8020,9,1
