parent_window_id,recording_id,segment_idx,patch_count,subcalls,prompt_chars,estimated_prompt_tokens_chars_div4,original_call_seconds,simulated_parallel_call_seconds,observed_total_tokens,simulated_total_tokens,window_decision,deepseek_status,deepseek_live_split_max_seconds,deepseek_live_token_multiplier,qwen_status,qwen_live_split_max_seconds,qwen_live_token_multiplier
R8007_M8010:30:0,R8007_M8010,0,45,3,36797,9199,48.465,18.048,17217,20616.7,quarantine,completed_top3_parallel,22.141,1.0796305976650984,not_run,0.0,0.0
R8007_M8010:30:6,R8007_M8010,6,40,2,34912,8728,44.557,23.468,17354,19053.9,review,completed_top3_parallel,23.3,0.9537858706926357,not_run,0.0,0.0
R8007_M8010:30:3,R8007_M8010,3,42,3,39105,9776,39.721,17.223,16004,19403.7,quarantine,completed_top3_parallel,28.986,1.280367408147963,not_run,0.0,0.0
R8009_M8020:30:12,R8009_M8020,12,37,2,31040,7760,36.447,21.95,15494,17193.9,quarantine,failed_AllocationQuota.FreeTierOnly,0.0,0.0,completed_backup,41.333,1.2930811927197625
R8003_M8001:30:12,R8003_M8001,12,23,2,19339,4835,35.731,16.869,10507,12206.9,review,failed_AllocationQuota.FreeTierOnly,0.0,0.0,completed_backup,44.0,1.5194632149995242
R8003_M8001:30:2,R8003_M8001,2,30,2,24720,6180,35.515,18.038,12035,13734.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8010:30:2,R8007_M8010,2,32,2,29033,7258,34.399,18.584,12539,14269.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8003_M8001:30:10,R8003_M8001,10,33,2,26690,6672,32.746,19.45,13073,14772.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8010:30:12,R8007_M8010,12,33,2,29556,7389,32.248,19.53,13149,14848.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:10,R8001_M8004,10,35,2,31374,7844,29.932,20.455,14049,15748.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8003_M8001:30:5,R8003_M8001,5,27,2,21781,5445,29.743,17.197,10587,12570.7,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:1,R8001_M8004,1,16,1,13914,3478,29.35,20.698,8170,8170.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8020:30:6,R8009_M8020,6,24,2,19689,4922,29.073,15.92,9960,11659.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8018:30:11,R8009_M8018,11,24,2,21841,5460,29.031,16.196,10230,11929.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8010:30:14,R8007_M8010,14,39,2,30548,7637,28.867,21.358,14696,16646.7,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8010:30:4,R8007_M8010,4,35,2,31051,7763,28.18,20.365,13964,15663.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8010:30:10,R8007_M8010,10,29,2,26787,6697,28.083,17.89,11432,13250.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8003_M8001:30:1,R8003_M8001,1,19,1,13979,3495,27.992,21.996,8806,8806.0,review,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:8,R8007_M8011,8,32,2,30433,7608,27.604,19.051,13027,14726.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8010:30:13,R8007_M8010,13,28,2,25843,6461,27.406,17.197,11077,12910.3,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8008_M8013:30:5,R8008_M8013,5,28,2,25881,6470,27.381,17.972,11970,13669.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8018:30:0,R8009_M8018,0,22,2,18647,4662,27.128,15.528,9576,11275.9,review,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8018:30:12,R8009_M8018,12,35,2,26721,6680,27.001,19.971,12446,15288.0,review,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8020:30:8,R8009_M8020,8,15,1,12165,3041,26.627,19.044,7360,7360.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:10,R8007_M8011,10,29,2,26598,6650,26.508,18.297,11935,13634.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8020:30:7,R8009_M8020,7,26,2,21005,5251,26.492,16.503,10102,12231.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8018:30:13,R8009_M8018,13,20,1,15119,3780,25.911,21.358,8290,8493.2,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8008_M8013:30:9,R8008_M8013,9,24,2,23025,5756,25.831,16.213,10247,11946.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8020:30:9,R8009_M8020,9,9,1,8267,2067,25.726,15.099,5428,5428.0,review,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8010:30:8,R8007_M8010,8,44,3,40405,10101,25.711,17.89,15844,20044.8,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8010:30:11,R8007_M8010,11,34,2,27207,6802,25.271,19.277,12143,14948.3,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:7,R8007_M8011,7,22,2,19401,4850,25.016,15.116,8972,10872.3,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8010:30:9,R8007_M8010,9,30,2,24554,6138,24.493,17.89,11359,13589.7,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8008_M8013:30:0,R8008_M8013,0,19,1,13913,3478,24.48,20.664,7930,8153.5,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8010:30:7,R8007_M8010,7,32,2,29027,7257,24.073,18.9,12879,14578.9,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8003_M8001:30:14,R8003_M8001,14,20,1,16505,4126,23.194,21.619,8621,8621.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8009_M8019:30:7,R8009_M8019,7,25,2,21874,5468,23.066,16.503,10099,11891.3,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8011:30:13,R8007_M8011,13,17,1,13296,3324,23.061,19.291,7481,7481.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8007_M8010:30:5,R8007_M8010,5,35,2,27844,6961,22.59,19.971,11676,15288.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8003_M8001:30:9,R8003_M8001,9,19,1,15577,3894,22.447,20.894,8266,8266.0,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
R8001_M8004:30:14,R8001_M8004,14,27,2,22704,5676,22.351,17.197,9884,12570.7,quarantine,pending_live,0.0,0.0,not_run,0.0,0.0
