stage_id,surface,claim_status,target,target_status,slo_class,avg_seconds,p95_seconds,wall_seconds,avg_threshold_seconds,p95_threshold_seconds,avg_margin_seconds,p95_margin_seconds,writeback_right,source_artifacts
fast_first_output,runtime_120_windows,claim_now_runtime,avg<=1s_and_p95<=1s,pass,claim_now_slo_pass,0.383,0.445,,1.0,1.0,0.617,0.555,fast_provisional,outputs/system_timeline/summary.json
rule_writeback,runtime_120_windows,claim_now_runtime,avg<=30s_and_p95<=35s,pass,claim_now_slo_pass,24.647,28.334,,30.0,35.0,5.353,6.666,bounded_timeline_writeback,outputs/system_timeline/summary.json
runtime_safe_llm_guard,104_proxy_flagged_windows,claim_now_runtime_zero_harm,avg<=50s_and_p95<=65s,pass,claim_now_slo_pass,44.918,63.849,,50.0,65.0,5.082,1.151,block_or_quarantine_only,outputs/system_timeline/summary.json; outputs/runtime_safe_llm_window_batch/deepseek_proxy_high_risk_104w_latency_summary.json
llm_review_signal,4_review_cases,claim_now_memory_protection,review_only_no_timeline_override,pass,claim_now_slo_pass,46.097,55.8,,,,,,memory_protection_only,outputs/system_timeline/summary.json; outputs/timeline_review_audit/llm_review_signal_timeline_audit_summary.json
omni_realtime_single_smoke,single_8s_audio_clip,smoke_only_not_omni48_claim,first_text<1s_total<2s,pass,smoke_slo_pass,0.744,,1.356,,,,,label_only_no_timeline_writeback,outputs/omni_guard/qwen35_omni_flash_realtime_guard_8s.jsonl
split20_simulated_policy,104_proxy_flagged_windows_offline_model,offline_budget_only,planning_only_no_live_claim,planning_only,offline_budget_only,41.226,46.005,,,,,,none,outputs/runtime_safe_llm_window_batch/deepseek_proxy_high_risk_104w_split_simulation_summary.json
split20_deepseek_top3_live_smoke,3_slowest_parent_windows_8_calls,supporting_smoke_only,wall<original_max_on_top3,pass,smoke_slo_pass,,,29.014,,,,,block_or_quarantine_only,outputs/runtime_safe_llm_window_batch/deepseek_proxy_high_risk_split20_top3_parallel_comparison.json
split20_deepseek_full_resume,101_pending_parent_windows_139_calls,blocked_by_quota_or_missing_resume,needs_live_resume_output_before_claim,blocked_external,pending_or_blocked,,,384.444,,,,,block_or_quarantine_only,outputs/research_progress_snapshot/live_agent_execution_plan.json; outputs/research_progress_snapshot/live_postrun_metrics_closure.json
split20_qwen_backup_top45,2_parent_windows_4_calls,execution_fallback_only,backup_only_not_latency_supporting,backup_completed_slow,fallback_only,,,44.024,,,,,block_or_quarantine_only,outputs/runtime_safe_llm_window_batch/qwen36_flash_split20_top4_5_parallel_comparison.json
omni48_label_only_live,48_windows_96_calls,pending_omni48_live_outputs,needs_96_call_live_output,blocked_missing_credentials,pending_or_blocked,,,,,,,,label_only_no_timeline_writeback,outputs/research_progress_snapshot/omni48_live_call_manifest.json; outputs/research_progress_snapshot/live_postrun_metrics_closure.json
