delta_vs_slow,delta_vs_slow_pp,fast_der,final_der,final_source,is_overlay,negative_vs_slow,recording_id,segment_idx,slow_der,window_id,window_size
0.0,0.0,0.229,0.0891,slow,False,False,R8001_M8004,0,0.0891,R8001_M8004:30:0,30
0.0,0.0,0.4329,0.2578,slow,False,False,R8001_M8004,1,0.2578,R8001_M8004:30:1,30
0.0,0.0,0.216,0.0936,slow,False,False,R8001_M8004,2,0.0936,R8001_M8004:30:2,30
0.0,0.0,0.2329,0.0417,slow,False,False,R8001_M8004,3,0.0417,R8001_M8004:30:3,30
0.0,0.0,0.8448,0.3245,slow,False,False,R8001_M8004,4,0.3245,R8001_M8004:30:4,30
0.0,0.0,0.8178,0.2321,slow,False,False,R8001_M8004,5,0.2321,R8001_M8004:30:5,30
0.0,0.0,0.7177,0.3184,slow,False,False,R8001_M8004,6,0.3184,R8001_M8004:30:6,30
0.0,0.0,0.1841,0.0731,slow,False,False,R8001_M8004,7,0.0731,R8001_M8004:30:7,30
0.0,0.0,0.5783,0.2471,slow,False,False,R8001_M8004,8,0.2471,R8001_M8004:30:8,30
0.0,0.0,0.8858,0.122,slow,False,False,R8001_M8004,9,0.122,R8001_M8004:30:9,30
0.0,0.0,0.2838,0.1242,slow,False,False,R8001_M8004,10,0.1242,R8001_M8004:30:10,30
0.0,0.0,0.2661,0.1746,slow,False,False,R8001_M8004,11,0.1746,R8001_M8004:30:11,30
0.0,0.0,0.9249,0.3042,slow,False,False,R8001_M8004,12,0.3042,R8001_M8004:30:12,30
0.0,0.0,0.4297,0.1447,slow,False,False,R8001_M8004,13,0.1447,R8001_M8004:30:13,30
0.0,0.0,0.2083,0.1409,slow,False,False,R8001_M8004,14,0.1409,R8001_M8004:30:14,30
0.0,0.0,0.2002,0.1029,slow,False,False,R8003_M8001,0,0.1029,R8003_M8001:30:0,30
0.0,0.0,0.107,0.0272,slow,False,False,R8003_M8001,1,0.0272,R8003_M8001:30:1,30
0.0,0.0,0.219,0.0838,slow,False,False,R8003_M8001,2,0.0838,R8003_M8001:30:2,30
0.0,0.0,0.0888,0.0278,slow,False,False,R8003_M8001,3,0.0278,R8003_M8001:30:3,30
0.0,0.0,0.1873,0.1033,slow,False,False,R8003_M8001,4,0.1033,R8003_M8001:30:4,30
0.0,0.0,0.1656,0.0738,slow,False,False,R8003_M8001,5,0.0738,R8003_M8001:30:5,30
0.0,0.0,0.0887,0.0576,slow,False,False,R8003_M8001,6,0.0576,R8003_M8001:30:6,30
0.0,0.0,0.2255,0.1496,slow,False,False,R8003_M8001,7,0.1496,R8003_M8001:30:7,30
0.0,0.0,0.428,0.361,slow,False,False,R8003_M8001,8,0.361,R8003_M8001:30:8,30
0.3488000000000002,34.880000000000024,3.2459,3.2459,fast_guard_fallback,True,False,R8003_M8001,9,3.5947,R8003_M8001:30:9,30
0.0,0.0,0.2419,0.1406,slow,False,False,R8003_M8001,10,0.1406,R8003_M8001:30:10,30
0.0,0.0,0.3036,0.1502,slow,False,False,R8003_M8001,11,0.1502,R8003_M8001:30:11,30
0.0,0.0,0.1688,0.0683,slow,False,False,R8003_M8001,12,0.0683,R8003_M8001:30:12,30
0.0,0.0,0.3855,0.2381,slow,False,False,R8003_M8001,13,0.2381,R8003_M8001:30:13,30
0.0,0.0,0.751,0.5533,slow,False,False,R8003_M8001,14,0.5533,R8003_M8001:30:14,30
0.0,0.0,0.3145,0.1852,slow,False,False,R8007_M8010,0,0.1852,R8007_M8010:30:0,30
0.0,0.0,0.4751,0.2874,slow,False,False,R8007_M8010,1,0.2874,R8007_M8010:30:1,30
0.0,0.0,0.3188,0.2507,slow,False,False,R8007_M8010,2,0.2507,R8007_M8010:30:2,30
0.005299999999999971,0.5299999999999971,0.2936,0.2936,recording_context_fast_overlay,True,False,R8007_M8010,3,0.2989,R8007_M8010:30:3,30
0.0,0.0,0.2709,0.243,slow,False,False,R8007_M8010,4,0.243,R8007_M8010:30:4,30
0.0,0.0,0.3657,0.2825,slow,False,False,R8007_M8010,5,0.2825,R8007_M8010:30:5,30
0.0,0.0,0.2658,0.1525,slow,False,False,R8007_M8010,6,0.1525,R8007_M8010:30:6,30
0.0,0.0,0.4576,0.2928,slow,False,False,R8007_M8010,7,0.2928,R8007_M8010:30:7,30
0.0,0.0,0.2749,0.1964,slow,False,False,R8007_M8010,8,0.1964,R8007_M8010:30:8,30
0.0,0.0,0.3171,0.2387,slow,False,False,R8007_M8010,9,0.2387,R8007_M8010:30:9,30
0.0,0.0,0.389,0.2711,slow,False,False,R8007_M8010,10,0.2711,R8007_M8010:30:10,30
0.0,0.0,0.3472,0.1469,slow,False,False,R8007_M8010,11,0.1469,R8007_M8010:30:11,30
0.0,0.0,0.3202,0.1915,slow,False,False,R8007_M8010,12,0.1915,R8007_M8010:30:12,30
0.0,0.0,0.4425,0.2509,slow,False,False,R8007_M8010,13,0.2509,R8007_M8010:30:13,30
0.0,0.0,0.4443,0.369,slow,False,False,R8007_M8010,14,0.369,R8007_M8010:30:14,30
0.003300000000000001,0.33000000000000007,0.0292,0.0292,rare_short_slow_rule_recover,True,False,R8007_M8011,0,0.0325,R8007_M8011:30:0,30
0.0,0.0,0.2016,0.0896,slow,False,False,R8007_M8011,1,0.0896,R8007_M8011:30:1,30
0.0,0.0,0.5231,0.133,slow,False,False,R8007_M8011,2,0.133,R8007_M8011:30:2,30
0.0,0.0,0.3932,0.1797,slow,False,False,R8007_M8011,3,0.1797,R8007_M8011:30:3,30
0.0,0.0,0.3474,0.2536,slow,False,False,R8007_M8011,4,0.2536,R8007_M8011:30:4,30
0.0,0.0,0.1944,0.0215,slow,False,False,R8007_M8011,5,0.0215,R8007_M8011:30:5,30
0.0,0.0,0.1864,0.1598,slow,False,False,R8007_M8011,6,0.1598,R8007_M8011:30:6,30
0.0,0.0,0.2778,0.198,slow,False,False,R8007_M8011,7,0.198,R8007_M8011:30:7,30
0.08499999999999996,8.499999999999996,0.3675,0.3416,rare_audio_rule_recover,True,False,R8007_M8011,8,0.4266,R8007_M8011:30:8,30
0.0,0.0,0.5244,0.1405,slow,False,False,R8007_M8011,9,0.1405,R8007_M8011:30:9,30
0.0,0.0,0.4363,0.2698,slow,False,False,R8007_M8011,10,0.2698,R8007_M8011:30:10,30
0.0,0.0,0.3306,0.1851,slow,False,False,R8007_M8011,11,0.1851,R8007_M8011:30:11,30
0.0,0.0,0.2557,0.1351,slow,False,False,R8007_M8011,12,0.1351,R8007_M8011:30:12,30
0.0,0.0,0.2478,0.1715,slow,False,False,R8007_M8011,13,0.1715,R8007_M8011:30:13,30
0.0,0.0,0.2101,0.074,slow,False,False,R8007_M8011,14,0.074,R8007_M8011:30:14,30
0.0,0.0,0.1221,0.0368,slow,False,False,R8008_M8013,0,0.0368,R8008_M8013:30:0,30
0.0,0.0,0.1723,0.0771,slow,False,False,R8008_M8013,1,0.0771,R8008_M8013:30:1,30
0.0,0.0,0.2364,0.2265,slow,False,False,R8008_M8013,2,0.2265,R8008_M8013:30:2,30
0.0,0.0,0.1271,0.1117,slow,False,False,R8008_M8013,3,0.1117,R8008_M8013:30:3,30
0.0,0.0,0.2592,0.2039,slow,False,False,R8008_M8013,4,0.2039,R8008_M8013:30:4,30
0.0,0.0,0.3157,0.1516,slow,False,False,R8008_M8013,5,0.1516,R8008_M8013:30:5,30
0.0,0.0,0.4012,0.2471,slow,False,False,R8008_M8013,6,0.2471,R8008_M8013:30:6,30
0.0,0.0,0.7929,0.159,slow,False,False,R8008_M8013,7,0.159,R8008_M8013:30:7,30
0.0,0.0,0.4495,0.3288,slow,False,False,R8008_M8013,8,0.3288,R8008_M8013:30:8,30
0.0,0.0,0.1744,0.1044,slow,False,False,R8008_M8013,9,0.1044,R8008_M8013:30:9,30
0.0,0.0,0.2696,0.2261,slow,False,False,R8008_M8013,10,0.2261,R8008_M8013:30:10,30
0.0,0.0,0.2129,0.1771,slow,False,False,R8008_M8013,11,0.1771,R8008_M8013:30:11,30
0.0,0.0,0.2737,0.1399,slow,False,False,R8008_M8013,12,0.1399,R8008_M8013:30:12,30
0.0,0.0,0.2971,0.2109,slow,False,False,R8008_M8013,13,0.2109,R8008_M8013:30:13,30
0.0,0.0,0.1964,0.0994,slow,False,False,R8008_M8013,14,0.0994,R8008_M8013:30:14,30
0.0,0.0,0.1802,0.0875,slow,False,False,R8009_M8018,0,0.0875,R8009_M8018:30:0,30
0.0,0.0,0.0757,0.0701,slow,False,False,R8009_M8018,1,0.0701,R8009_M8018:30:1,30
0.0,0.0,0.1143,0.0429,slow,False,False,R8009_M8018,2,0.0429,R8009_M8018:30:2,30
0.0,0.0,0.2397,0.2048,slow,False,False,R8009_M8018,3,0.2048,R8009_M8018:30:3,30
0.0,0.0,0.1084,0.1005,slow,False,False,R8009_M8018,4,0.1005,R8009_M8018:30:4,30
0.0,0.0,0.1191,0.097,slow,False,False,R8009_M8018,5,0.097,R8009_M8018:30:5,30
0.0,0.0,0.2232,0.0963,slow,False,False,R8009_M8018,6,0.0963,R8009_M8018:30:6,30
