window_id,model,patch_count,window_decision,window_reason,call_seconds,prompt_tokens,completion_tokens,total_tokens,patch_decision_counts,error
R8007_M8010:30:0,deepseek-v4-flash,45,quarantine,proxy_abnormal_speech_too_long,48.465,10458,6759,17217,defer 45,
R8007_M8010:30:8,deepseek-v4-flash,44,quarantine,cross_model_speaker_count_mismatch_and_speech_too_long_risk,25.711,11454,4390,15844,quarantine 44,
R8007_M8010:30:3,deepseek-v4-flash,42,quarantine,multiple_proxy_flags_and_speaker_count_mismatch,39.721,11009,4995,16004,quarantine 42,
R8007_M8010:30:6,deepseek-v4-flash,40,review,proxy_risk_window,44.557,10529,6825,17354,accept 24 / defer 16,
R8007_M8010:30:14,deepseek-v4-flash,39,quarantine,proxy_risk_speech_overlap,28.867,9239,5457,14696,defer 38 / quarantine 1,
R8009_M8020:30:12,deepseek-v4-flash,37,quarantine,slow_pred_speech_too_long_proxy_risk,36.447,9267,6227,15494,defer 36 / quarantine 1,
R8001_M8004:30:10,deepseek-v4-flash,35,quarantine,cross_model_mismatch_and_speech_length_anomaly,29.932,9330,4719,14049,quarantine 35,
R8007_M8010:30:4,deepseek-v4-flash,35,quarantine,proxy_flags_cross_model_speaker_count_mismatch_and_pred_speech_too_long,28.18,9238,4726,13964,quarantine 35,
R8007_M8010:30:5,deepseek-v4-flash,35,quarantine,proxy_speech_too_long_flags,22.59,8320,3356,11676,quarantine 35,
R8009_M8018:30:12,deepseek-v4-flash,35,review,slow_proxy_duration_abnormal,27.001,7958,4488,12446,defer 35,
R8007_M8010:30:11,deepseek-v4-flash,34,quarantine,proxy_risk_window,25.271,8085,4058,12143,quarantine 34,
R8003_M8001:30:10,deepseek-v4-flash,33,quarantine,proxy_risk_long_speech,32.746,7914,5159,13073,defer 32 / quarantine 1,
R8007_M8010:30:12,deepseek-v4-flash,33,quarantine,cross_model_speaker_count_mismatch_and_speech_too_long,32.248,8722,4427,13149,quarantine 33,
R8007_M8010:30:2,deepseek-v4-flash,32,quarantine,deployable_proxy_flags_and_speaker_count_mismatch,34.399,8543,3996,12539,quarantine 32,
R8007_M8010:30:7,deepseek-v4-flash,32,quarantine,cross_model_speaker_count_and_speech_length_mismatch_with_multiple_patches_risk,24.073,8584,4295,12879,defer 32,
R8007_M8011:30:8,deepseek-v4-flash,32,quarantine,cross_model_proxy_flags_and_speaker_count_mismatch,27.604,8936,4091,13027,defer 31 / quarantine 1,
R8003_M8001:30:2,deepseek-v4-flash,30,quarantine,pred_speech_too_long_proxy_flag,35.515,7263,4772,12035,quarantine 30,
R8007_M8010:30:9,deepseek-v4-flash,30,quarantine,proxy_abnormal_flags_and_speech_too_long,24.493,7194,4165,11359,defer 30,
R8007_M8010:30:10,deepseek-v4-flash,29,quarantine,deployable_proxy_flags_and_speaker_count_mismatch,28.083,7807,3625,11432,quarantine 29,
R8007_M8011:30:10,deepseek-v4-flash,29,quarantine,multiple_risk_flags_and_spk_count_mismatch,26.508,7721,4214,11935,quarantine 29,
R8007_M8010:30:13,deepseek-v4-flash,28,quarantine,cross_model_speaker_count_mismatch_and_speech_overcount,27.406,7496,3581,11077,quarantine 28,
R8008_M8013:30:5,deepseek-v4-flash,28,quarantine,high_model_disagreement_and_proxy_flags,27.381,7507,4463,11970,defer 28,
R8001_M8004:30:14,deepseek-v4-flash,27,quarantine,proxy_speech_too_long,22.351,6547,3337,9884,quarantine 27,
