max_patches_per_call,window_id,patch_count,subcalls,largest_subcall_patch_count,observed_call_seconds,simulated_parallel_call_seconds,observed_total_tokens,simulated_total_tokens,window_decision
20,R8007_M8010:30:0,45,3,15,48.465,18.048,17217,20616.7,quarantine
20,R8007_M8010:30:8,44,3,15,25.711,17.89,15844,20044.8,quarantine
20,R8007_M8010:30:3,42,3,14,39.721,17.223,16004,19403.7,quarantine
20,R8007_M8010:30:6,40,2,20,44.557,23.468,17354,19053.9,review
20,R8007_M8010:30:14,39,2,20,28.867,21.358,14696,16646.7,quarantine
20,R8009_M8020:30:12,37,2,19,36.447,21.95,15494,17193.9,quarantine
20,R8001_M8004:30:10,35,2,18,29.932,20.455,14049,15748.9,quarantine
20,R8007_M8010:30:4,35,2,18,28.18,20.365,13964,15663.9,quarantine
20,R8007_M8010:30:5,35,2,18,22.59,19.971,11676,15288.0,quarantine
20,R8009_M8018:30:12,35,2,18,27.001,19.971,12446,15288.0,review
20,R8007_M8010:30:11,34,2,17,25.271,19.277,12143,14948.3,quarantine
20,R8003_M8001:30:10,33,2,17,32.746,19.45,13073,14772.9,quarantine
20,R8007_M8010:30:12,33,2,17,32.248,19.53,13149,14848.9,quarantine
20,R8007_M8010:30:2,32,2,16,34.399,18.584,12539,14269.0,quarantine
20,R8007_M8010:30:7,32,2,16,24.073,18.9,12879,14578.9,quarantine
20,R8007_M8011:30:8,32,2,16,27.604,19.051,13027,14726.9,quarantine
20,R8003_M8001:30:2,30,2,15,35.515,18.038,12035,13734.9,quarantine
20,R8007_M8010:30:9,30,2,15,24.493,17.89,11359,13589.7,quarantine
20,R8007_M8010:30:10,29,2,15,28.083,17.89,11432,13250.0,quarantine
20,R8007_M8011:30:10,29,2,15,26.508,18.297,11935,13634.9,quarantine
20,R8007_M8010:30:13,28,2,14,27.406,17.197,11077,12910.3,quarantine
20,R8008_M8013:30:5,28,2,14,27.381,17.972,11970,13669.9,quarantine
20,R8001_M8004:30:14,27,2,14,22.351,17.197,9884,12570.7,quarantine
20,R8003_M8001:30:0,27,2,14,22.289,17.306,10974,12673.9,quarantine
20,R8003_M8001:30:5,27,2,14,29.743,17.197,10587,12570.7,quarantine
20,R8007_M8011:30:11,26,2,13,22.124,16.503,9994,12231.0,quarantine
20,R8009_M8020:30:7,26,2,13,26.492,16.503,10102,12231.0,quarantine
20,R8003_M8001:30:4,25,2,13,20.824,16.503,9433,11891.3,quarantine
20,R8009_M8019:30:7,25,2,13,23.066,16.503,10099,11891.3,quarantine
20,R8001_M8004:30:7,24,2,12,16.384,15.81,8917,11551.7,quarantine
20,R8003_M8001:30:7,24,2,12,18.579,16.064,10101,11800.9,quarantine
20,R8008_M8013:30:9,24,2,12,25.831,16.213,10247,11946.9,quarantine
20,R8009_M8018:30:11,24,2,12,29.031,16.196,10230,11929.9,quarantine
20,R8009_M8018:30:6,24,2,12,21.85,16.16,10195,11894.9,quarantine
20,R8009_M8020:30:6,24,2,12,29.073,15.92,9960,11659.9,quarantine
20,R8001_M8004:30:2,23,2,12,21.604,16.15,9832,11531.9,quarantine
20,R8003_M8001:30:12,23,2,12,35.731,16.869,10507,12206.9,review
20,R8001_M8004:30:11,22,2,11,19.39,15.924,9964,11663.9,quarantine
20,R8007_M8011:30:7,22,2,11,25.016,15.116,8972,10872.3,quarantine
20,R8009_M8018:30:0,22,2,11,27.128,15.528,9576,11275.9,review
20,R8003_M8001:30:14,20,1,20,23.194,21.619,8621,8621.0,quarantine
20,R8008_M8013:30:2,20,1,20,14.312,21.358,7236,8493.2,quarantine
20,R8009_M8018:30:10,20,1,20,18.455,21.358,8178,8493.2,quarantine
20,R8009_M8018:30:13,20,1,20,25.911,21.358,8290,8493.2,quarantine
20,R8003_M8001:30:1,19,1,19,27.992,21.996,8806,8806.0,review
20,R8003_M8001:30:9,19,1,19,22.447,20.894,8266,8266.0,quarantine
20,R8007_M8011:30:5,19,1,19,18.279,20.664,7299,8153.5,quarantine
20,R8008_M8013:30:0,19,1,19,24.48,20.664,7930,8153.5,quarantine
20,R8009_M8019:30:2,19,1,19,18.33,20.664,7534,8153.5,quarantine
20,R8009_M8019:30:3,19,1,19,17.289,20.664,7472,8153.5,quarantine
20,R8007_M8011:30:12,18,1,18,18.74,19.971,7532,7813.8,quarantine
20,R8007_M8011:30:1,17,1,17,19.257,20.153,7903,7903.0,quarantine
20,R8007_M8011:30:13,17,1,17,23.061,19.291,7481,7481.0,quarantine
20,R8008_M8013:30:14,17,1,17,16.272,19.591,7628,7628.0,quarantine
20,R8009_M8019:30:12,17,1,17,17.859,19.277,7315,7474.2,quarantine
20,R8001_M8004:30:1,16,1,16,29.35,20.698,8170,8170.0,quarantine
20,R8008_M8013:30:1,16,1,16,18.899,18.875,7277,7277.0,review
20,R8009_M8019:30:9,16,1,16,13.302,18.584,6499,7134.5,quarantine
20,R8001_M8004:30:0,15,1,15,18.401,17.89,6766,6794.8,quarantine
20,R8009_M8018:30:14,15,1,15,14.02,17.89,6180,6794.8,quarantine
20,R8009_M8019:30:8,15,1,15,16.814,17.89,6464,6794.8,quarantine
20,R8009_M8020:30:11,15,1,15,21.787,17.89,6476,6794.8,quarantine
20,R8009_M8020:30:2,15,1,15,14.565,17.89,6446,6794.8,quarantine
20,R8009_M8020:30:8,15,1,15,26.627,19.044,7360,7360.0,quarantine
20,R8001_M8004:30:4,14,1,14,13.793,19.646,7655,7655.0,quarantine
20,R8008_M8013:30:4,14,1,14,19.819,17.197,6107,6455.2,quarantine
20,R8009_M8019:30:10,14,1,14,20.064,17.842,6771,6771.0,quarantine
20,R8007_M8011:30:6,13,1,13,19.075,18.021,6859,6859.0,review
20,R8008_M8013:30:7,13,1,13,19.304,19.587,7626,7626.0,quarantine
20,R8009_M8018:30:5,13,1,13,13.877,16.503,5682,6115.5,quarantine
20,R8003_M8001:30:6,12,1,12,13.701,15.81,4994,5775.8,quarantine
20,R8009_M8018:30:8,12,1,12,15.347,15.81,5152,5775.8,quarantine
20,R8001_M8004:30:12,11,1,11,14.336,17.149,6432,6432.0,quarantine
20,R8001_M8004:30:9,11,1,11,9.418,16.459,6094,6094.0,quarantine
20,R8009_M8018:30:1,11,1,11,19.401,16.055,5896,5896.0,quarantine
20,R8009_M8020:30:5,11,1,11,16.48,15.314,5533,5533.0,quarantine
20,R8001_M8004:30:5,10,1,10,17.054,16.227,5980,5980.0,quarantine
20,R8008_M8013:30:12,10,1,10,18.156,15.32,5536,5536.0,quarantine
20,R8009_M8020:30:1,10,1,10,11.57,14.423,4399,5096.5,quarantine
20,R8008_M8013:30:3,9,1,9,7.772,13.729,4229,4756.8,quarantine
