window_id,patch_id,patch_type,raw_llm_decision,effective_decision,llm_decision,gt_support_ratio_eval_only,safety_class,window_decision
R8001_M8004:30:4,R8001_M8004:30:4:slow:slow_3,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:4,R8001_M8004:30:4:slow:slow_4,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:4,R8001_M8004:30:4:slow:slow_5,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:4,R8001_M8004:30:4:slow:slow_6,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:4,R8001_M8004:30:4:slow:slow_7,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:4,R8001_M8004:30:4:slow:slow_8,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:4,R8001_M8004:30:4:slow:slow_9,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:4,R8001_M8004:30:4:slow:slow_10,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:4,R8001_M8004:30:4:slow:slow_11,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:4,R8001_M8004:30:4:slow:slow_12,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:4,R8001_M8004:30:4:slow:slow_13,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:4,R8001_M8004:30:4:slow:slow_14,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:4,R8001_M8004:30:4:slow:slow_15,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8001_M8004:30:4,R8001_M8004:30:4:slow:slow_23,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8008_M8013:30:7,R8008_M8013:30:7:slow:slow_0,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8008_M8013:30:7,R8008_M8013:30:7:slow:slow_2,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8008_M8013:30:7,R8008_M8013:30:7:slow:slow_3,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8008_M8013:30:7,R8008_M8013:30:7:slow:slow_4,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8008_M8013:30:7,R8008_M8013:30:7:slow:slow_5,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8008_M8013:30:7,R8008_M8013:30:7:slow:slow_7,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8008_M8013:30:7,R8008_M8013:30:7:slow:slow_8,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8008_M8013:30:7,R8008_M8013:30:7:slow:slow_9,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8008_M8013:30:7,R8008_M8013:30:7:slow:slow_11,recover_slow_segment,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine
R8008_M8013:30:7,R8008_M8013:30:7:slow:slow_12,recover_slow_segment,quarantine,quarantine,quarantine,0.9948,conservative_block,quarantine
R8008_M8013:30:7,R8008_M8013:30:7:slow:slow_13,recover_slow_segment,quarantine,quarantine,quarantine,0.9899,conservative_block,quarantine
R8008_M8013:30:7,R8008_M8013:30:7:slow:slow_14,recover_slow_segment,quarantine,quarantine,quarantine,0.6944,conservative_block,quarantine
