window_id,patch_id,patch_type,raw_llm_decision,effective_decision,llm_decision,gt_support_ratio_eval_only,safety_class,window_decision,raw_window_decision,parent_window_id
R8007_M8010:30:0:part1of3,R8007_M8010:30:0:fast:fast_0,keep_fast_supported,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8007_M8010:30:0
R8007_M8010:30:0:part1of3,R8007_M8010:30:0:fast:fast_1,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8007_M8010:30:0
R8007_M8010:30:0:part1of3,R8007_M8010:30:0:fast:fast_2,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8007_M8010:30:0
R8007_M8010:30:0:part1of3,R8007_M8010:30:0:fast:fast_3,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8007_M8010:30:0
R8007_M8010:30:0:part1of3,R8007_M8010:30:0:fast:fast_4,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8007_M8010:30:0
R8007_M8010:30:0:part1of3,R8007_M8010:30:0:fast:fast_5,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8007_M8010:30:0
R8007_M8010:30:0:part1of3,R8007_M8010:30:0:fast:fast_6,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8007_M8010:30:0
R8007_M8010:30:0:part1of3,R8007_M8010:30:0:fast:fast_7,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8007_M8010:30:0
R8007_M8010:30:0:part1of3,R8007_M8010:30:0:fast:fast_8,keep_fast_supported,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8007_M8010:30:0
R8007_M8010:30:0:part1of3,R8007_M8010:30:0:fast:fast_9,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8007_M8010:30:0
R8007_M8010:30:0:part1of3,R8007_M8010:30:0:fast:fast_10,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8007_M8010:30:0
R8007_M8010:30:0:part1of3,R8007_M8010:30:0:fast:fast_11,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8007_M8010:30:0
R8007_M8010:30:0:part1of3,R8007_M8010:30:0:fast:fast_12,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8007_M8010:30:0
R8007_M8010:30:0:part1of3,R8007_M8010:30:0:fast:fast_13,boundary_fix_or_relabel,quarantine,quarantine,quarantine,1.0,conservative_block,quarantine,quarantine,R8007_M8010:30:0
