patch_id,recording_id,window_size,segment_idx,patch_type,decision,reason,duration,support_ratio,abnormal_flags,voiceprint_bucket,voiceprint_status,gate_category,gate_blockers
R8001_M8004:30:0:fast:fast_0,R8001_M8004,30,0,boundary_fix_or_relabel,accept,slow_supports_fast_with_boundary_or_label_update,9.92,0.9987,fast_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags
R8001_M8004:30:0:fast:fast_1,R8001_M8004,30,0,boundary_fix_or_relabel,accept,slow_supports_fast_with_boundary_or_label_update,6.960000000000001,0.9817,fast_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags
R8001_M8004:30:0:fast:fast_2,R8001_M8004,30,0,boundary_fix_or_relabel,accept,slow_supports_fast_with_boundary_or_label_update,3.1199999999999974,1.0,fast_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags
R8001_M8004:30:0:fast:fast_3,R8001_M8004,30,0,boundary_fix_or_relabel,accept,slow_supports_fast_with_boundary_or_label_update,0.7200000000000024,0.7118,fast_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags;low_cross_model_support
R8001_M8004:30:0:fast:fast_4,R8001_M8004,30,0,boundary_fix_or_relabel,accept,slow_supports_fast_with_boundary_or_label_update,0.16000000000000014,1.0,fast_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags;short_duration
R8001_M8004:30:0:fast:fast_5,R8001_M8004,30,0,boundary_fix_or_relabel,accept,slow_supports_fast_with_boundary_or_label_update,0.47999999999999954,1.0,fast_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags;short_duration
R8001_M8004:30:0:fast:fast_6,R8001_M8004,30,0,boundary_fix_or_relabel,accept,slow_supports_fast_with_boundary_or_label_update,1.1999999999999993,1.0,fast_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags
R8001_M8004:30:0:fast:fast_7,R8001_M8004,30,0,keep_fast_supported,accept,fast_segment_cross_model_supported,5.759999999999998,0.9514,fast_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags
R8001_M8004:30:0:slow:slow_0,R8001_M8004,30,0,align_slow_segment,accept,slow_segment_aligned_for_reference,18.02,0.5498,fast_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:0:slow:slow_1,R8001_M8004,30,0,align_slow_segment,accept,slow_segment_aligned_for_reference,2.16,1.0,fast_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:0:slow:slow_2,R8001_M8004,30,0,align_slow_segment,accept,slow_segment_aligned_for_reference,2.3000000000000007,0.5217,fast_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:0:slow:slow_3,R8001_M8004,30,0,align_slow_segment,accept,slow_segment_aligned_for_reference,3.8200000000000003,0.8168,fast_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:0:slow:slow_4,R8001_M8004,30,0,align_slow_segment,accept,slow_segment_aligned_for_reference,0.6999999999999993,1.0,fast_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:0:slow:slow_5,R8001_M8004,30,0,align_slow_segment,accept,slow_segment_aligned_for_reference,0.29999999999999716,1.0,fast_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:0:slow:slow_6,R8001_M8004,30,0,align_slow_segment,accept,slow_segment_aligned_for_reference,5.48,1.0,fast_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:1:fast:fast_0,R8001_M8004,30,1,keep_fast_supported,accept,fast_segment_cross_model_supported,6.32,0.998,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags
R8001_M8004:30:1:fast:fast_1,R8001_M8004,30,1,boundary_fix_or_relabel,accept,slow_supports_fast_with_boundary_or_label_update,9.999999999999998,0.9568,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags
R8001_M8004:30:1:fast:fast_2,R8001_M8004,30,1,boundary_fix_or_relabel,accept,slow_supports_fast_with_boundary_or_label_update,2.6400000000000006,1.0,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags
R8001_M8004:30:1:fast:fast_3,R8001_M8004,30,1,boundary_fix_or_relabel,accept,slow_supports_fast_with_boundary_or_label_update,0.6400000000000006,1.0,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags
R8001_M8004:30:1:fast:fast_4,R8001_M8004,30,1,boundary_fix_or_relabel,accept,slow_supports_fast_with_boundary_or_label_update,0.23999999999999844,1.0,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags;short_duration
R8001_M8004:30:1:fast:fast_5,R8001_M8004,30,1,boundary_fix_or_relabel,accept,slow_supports_fast_with_boundary_or_label_update,7.349999999999998,0.9279,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags
R8001_M8004:30:1:slow:slow_0,R8001_M8004,30,1,align_slow_segment,accept,slow_segment_aligned_for_reference,6.5600000000000005,0.9615,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:1:slow:slow_1,R8001_M8004,30,1,align_slow_segment,accept,slow_segment_aligned_for_reference,0.33999999999999986,0.7868,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:1:slow:slow_2,R8001_M8004,30,1,align_slow_segment,accept,slow_segment_aligned_for_reference,14.719999999999999,0.65,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:1:slow:slow_3,R8001_M8004,30,1,align_slow_segment,accept,slow_segment_aligned_for_reference,0.3400000000000034,1.0,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:1:slow:slow_4,R8001_M8004,30,1,align_slow_segment,accept,slow_segment_aligned_for_reference,0.9400000000000013,0.391,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:1:slow:slow_5,R8001_M8004,30,1,recover_slow_segment,accept,recover_miss_high_confidence,3.0799999999999983,0.2078,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_recover_writeback,
R8001_M8004:30:1:slow:slow_6,R8001_M8004,30,1,align_slow_segment,accept,slow_segment_aligned_for_reference,6.82,1.0,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:1:slow:slow_7,R8001_M8004,30,1,align_slow_segment,accept,slow_segment_aligned_for_reference,0.2799999999999976,1.0,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:1:slow:slow_8,R8001_M8004,30,1,align_slow_segment,accept,slow_segment_aligned_for_reference,0.28000000000000114,1.0,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:1:slow:slow_9,R8001_M8004,30,1,align_slow_segment,accept,slow_segment_aligned_for_reference,0.28000000000000114,1.0,fast_speaker_count_mismatch;slow_speaker_count_mismatch,missing,,rule_reference_only,slow_reference_segment
R8001_M8004:30:2:fast:fast_0,R8001_M8004,30,2,boundary_fix_or_relabel,accept,slow_supports_fast_with_boundary_or_label_update,0.56,0.9777,slow_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags;short_duration
R8001_M8004:30:2:fast:fast_1,R8001_M8004,30,2,boundary_fix_or_relabel,accept,slow_supports_fast_with_boundary_or_label_update,0.7199999999999998,1.0,slow_speaker_count_mismatch,missing,,rule_accept_needs_review,abnormal_flags
