recording_id,window_size,segment_idx,source,patch_type,segment_id,start,end,speaker,matched_source,matched_speaker,overlap_sec,support_ratio,gt_overlap_sec,gt_support_ratio
R8001_M8004,30,0,fast,keep_fast_supported,fast_0,0.0,0.4,speaker_0,slow,0,0.26,0.65,0.4,1.0
R8001_M8004,30,0,fast,keep_fast_supported,fast_1,1.12,2.24,speaker_0,slow,0,1.0925,0.9754,1.12,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_2,14.24,14.96,speaker_0,slow,0,0.72,1.0,0.72,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_3,2.8,10.24,speaker_1,slow,2,7.44,1.0,9.14,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_4,10.48,13.84,speaker_1,slow,2,3.3325,0.9918,3.14,0.9345
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_5,15.6,18.8,speaker_2,slow,1,3.2,1.0,3.23,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_6,19.36,19.84,speaker_2,slow,1,0.48,1.0,0.55,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_7,19.92,21.92,speaker_2,slow,1,2.0,1.0,2.06,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_8,22.4,23.28,speaker_2,slow,1,0.88,1.0,1.15,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_9,23.52,29.99,speaker_2,slow,1,6.47,1.0,6.77,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_0,0.0125,0.2725,0,fast,speaker_0,0.26,1.0,0.26,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_1,0.9325000000000001,2.2125000000000004,0,fast,speaker_0,1.0925,0.8535,1.28,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_2,2.7125000000000004,13.8125,2,fast,speaker_1,7.44,0.6703,12.6675,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_3,2.7725,3.2125000000000004,0,fast,speaker_1,0.4125,0.9375,1.04,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_4,9.932500000000001,10.3325,0,fast,speaker_1,0.3075,0.7688,0.7375,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_5,14.1325,15.712500000000002,0,fast,speaker_0,0.72,0.4557,2.1925,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_6,14.9925,30.3925,1,fast,speaker_2,6.47,0.4201,16.9675,1.0
R8001_M8004,30,0,slow,recover_slow_segment,slow_7,19.2125,19.4325,0,fast,speaker_2,0.0725,0.3295,0.4375,1.0
R8001_M8004,30,0,slow,recover_slow_segment,slow_8,21.8725,22.6725,0,fast,speaker_2,0.2725,0.3406,1.5975,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_9,26.732499999999998,27.0925,0,fast,speaker_2,0.36,1.0,0.66,1.0
R8001_M8004,30,1,fast,boundary_fix_or_relabel,fast_0,0.0,19.04,speaker_0,slow,1,19.0275,0.9993,20.21,1.0
R8001_M8004,30,1,fast,boundary_fix_or_relabel,fast_1,19.52,20.24,speaker_0,slow,1,0.72,1.0,1.44,1.0
R8001_M8004,30,1,fast,boundary_fix_or_relabel,fast_2,28.56,29.99,speaker_0,slow,2,1.4125,0.9878,2.74,1.0
R8001_M8004,30,1,fast,keep_fast_supported,fast_3,19.04,29.99,speaker_1,slow,2,10.9325,0.9984,13.2,1.0
R8001_M8004,30,1,slow,align_slow_segment,slow_0,0.0125,0.5325,2,fast,speaker_0,0.52,1.0,1.04,1.0
R8001_M8004,30,1,slow,align_slow_segment,slow_1,0.0125,20.7125,1,fast,speaker_0,19.0275,0.9192,22.6875,1.0
R8001_M8004,30,1,slow,align_slow_segment,slow_2,16.8325,17.0525,0,fast,speaker_0,0.22,1.0,0.3875,1.0
R8001_M8004,30,1,slow,align_slow_segment,slow_3,18.9925,29.9725,2,fast,speaker_1,10.9325,0.9957,13.23,1.0
R8001_M8004,30,1,slow,align_slow_segment,slow_4,28.5125,29.9325,1,fast,speaker_1,1.42,1.0,2.7775,1.0
R8003_M8001,30,0,fast,keep_fast_supported,fast_0,0.0,3.04,speaker_0,slow,0,2.98,0.9803,3.52,1.0
R8003_M8001,30,0,fast,keep_fast_supported,fast_1,3.84,6.32,speaker_0,slow,0,2.4325,0.9808,2.44,0.9839
R8003_M8001,30,0,fast,boundary_fix_or_relabel,fast_2,18.8,20.4,speaker_0,slow,0,1.6,1.0,3.41,1.0
R8003_M8001,30,0,fast,boundary_fix_or_relabel,fast_3,20.64,23.52,speaker_0,slow,0,2.88,1.0,2.88,1.0
R8003_M8001,30,0,fast,boundary_fix_or_relabel,fast_4,23.68,29.76,speaker_0,slow,0,5.9725,0.9823,6.18,1.0
R8003_M8001,30,0,fast,boundary_fix_or_relabel,fast_5,0.48,0.96,speaker_1,slow,0,0.48,1.0,0.94,1.0
R8003_M8001,30,0,fast,boundary_fix_or_relabel,fast_6,6.8,9.2,speaker_1,slow,1,2.4,1.0,2.74,1.0
R8003_M8001,30,0,fast,boundary_fix_or_relabel,fast_7,9.76,11.28,speaker_1,slow,1,1.52,1.0,1.52,1.0
R8003_M8001,30,0,fast,boundary_fix_or_relabel,fast_8,11.44,13.28,speaker_1,slow,1,1.84,1.0,1.84,1.0
R8003_M8001,30,0,fast,boundary_fix_or_relabel,fast_9,14.0,15.92,speaker_1,slow,1,1.92,1.0,1.92,1.0
R8003_M8001,30,0,fast,boundary_fix_or_relabel,fast_10,16.08,16.4,speaker_1,slow,1,0.32,1.0,0.32,1.0
R8003_M8001,30,0,fast,boundary_fix_or_relabel,fast_11,16.88,17.92,speaker_1,slow,1,1.04,1.0,1.04,1.0
R8003_M8001,30,0,fast,boundary_fix_or_relabel,fast_12,18.08,18.96,speaker_1,slow,1,0.88,1.0,1.44,1.0
R8003_M8001,30,0,fast,boundary_fix_or_relabel,fast_13,19.52,20.4,speaker_1,slow,0,0.88,1.0,1.98,1.0
R8003_M8001,30,0,fast,boundary_fix_or_relabel,fast_14,20.96,21.44,speaker_1,slow,0,0.48,1.0,0.48,1.0
R8003_M8001,30,0,fast,boundary_fix_or_relabel,fast_15,29.68,29.99,speaker_1,slow,1,0.31,1.0,0.31,1.0
R8003_M8001,30,0,slow,align_slow_segment,slow_0,0.0125,2.9924999999999997,0,fast,speaker_0,2.98,1.0,3.46,1.0
R8003_M8001,30,0,slow,align_slow_segment,slow_1,0.4325,0.7925,1,fast,speaker_0,0.36,1.0,0.6925,1.0
R8003_M8001,30,0,slow,align_slow_segment,slow_2,3.7325,6.2725,0,fast,speaker_0,2.4325,0.9577,2.54,1.0
R8003_M8001,30,0,slow,align_slow_segment,slow_3,6.7325,13.4725,1,fast,speaker_1,2.4,0.3561,7.0625,1.0
R8003_M8001,30,0,slow,align_slow_segment,slow_4,7.8325000000000005,8.2725,0,fast,speaker_1,0.44,1.0,0.78,1.0
R8003_M8001,30,0,slow,recover_slow_segment,slow_5,13.892500000000002,20.2925,1,fast,speaker_1,1.92,0.3,8.62,1.0
R8003_M8001,30,0,slow,align_slow_segment,slow_6,18.0525,18.5325,0,fast,speaker_1,0.4525,0.9427,0.89,1.0
R8003_M8001,30,0,slow,align_slow_segment,slow_7,18.7725,29.6525,0,fast,speaker_0,5.9725,0.5489,12.79,1.0
R8003_M8001,30,0,slow,align_slow_segment,slow_8,19.7725,20.2525,2,fast,speaker_0,0.48,1.0,1.3,1.0
