recording_id,window_size,segment_idx,fast_der,slow_der,fast_spk_count_pred,slow_spk_count_pred,gt_spk_count,fast_segments,slow_segments,fast_speech,slow_speech,gt_speech,fast_miss_sec,slow_recovers_fast_miss_sec,fast_miss_recovery_rate,fast_fa_sec,slow_suppresses_fast_fa_sec,fast_fa_suppression_rate,slow_added_fa_sec,fast_slow_disagreement_sec,fast_label_correct_overlap,slow_label_correct_overlap,label_correct_gain_sec,keep_fast_supported,boundary_fix_or_relabel,suppress_fast_candidate,recover_slow_segment,align_slow_segment
R8001_M8004,30,0,0.228,0.0809,3,3,4,10,10,26.070000000000004,31.840000000000007,29.48,3.62,2.64,0.7292817679558011,0.22,0.02,0.09090909090909091,0.02,2.82,25.850000000000005,30.940000000000005,5.09,2,8,0,2,8
R8001_M8004,30,1,0.053,0.0692,2,3,4,4,5,32.14,33.84,29.94,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.02,31.84,32.182500000000005,0.3425000000000047,1,3,0,0,5
R8003_M8001,30,0,0.2002,0.1029,2,3,3,16,11,28.15,32.66,29.54,3.44,2.36,0.686046511627907,0.04,0.04,1.0,0.02,2.46,26.880000000000006,30.247500000000006,3.3674999999999997,2,14,0,1,10
R8003_M8001,30,1,0.1873,0.1033,3,3,3,13,12,32.16,38.67999999999999,29.7,1.02,0.54,0.5294117647058824,0.1,0.04,0.39999999999999997,0.0,0.72,31.380000000000003,35.662499999999994,4.282499999999992,1,12,0,0,12
R8007_M8010,30,0,0.445,0.2675,4,4,4,12,21,30.629999999999995,50.860000000000014,29.36,1.1,1.1,1.0,0.14,0.02,0.14285714285714285,0.26,1.42,29.589999999999996,41.33749999999998,11.747499999999981,2,10,0,0,21
R8007_M8010,30,1,0.6182,0.2518,2,4,4,8,15,22.71,60.06000000000001,30.0,7.44,7.44,1.0,0.0,0.0,0.0,0.0,7.44,22.68,48.88999999999999,26.209999999999994,0,8,0,3,12
R8007_M8011,30,0,0.3932,0.1798,3,3,4,7,7,27.269999999999992,37.760000000000005,29.62,2.7,2.7,1.0,0.38,0.0,0.0,0.0,2.7,22.659999999999993,31.3975,8.737500000000008,1,6,0,3,4
R8007_M8011,30,1,0.1494,0.1467,3,2,4,7,12,30.789999999999996,33.32000000000001,29.18,0.08,0.08,1.0,0.5,0.4,0.8,0.0,0.5,29.02,28.797500000000003,-0.2224999999999966,4,3,0,0,12
R8008_M8013,30,0,0.2634,0.223,2,3,3,10,9,24.71,30.220000000000002,24.84,2.08,2.06,0.9903846153846154,0.76,0.16,0.21052631578947367,0.92,3.14,21.719999999999995,24.595000000000002,2.875000000000007,2,8,0,1,8
R8008_M8013,30,1,0.1248,0.0864,1,2,3,4,6,27.509999999999998,26.62,27.94,1.46,0.06,0.0410958904109589,1.04,0.8,0.7692307692307693,0.0,1.3,25.749999999999996,25.987500000000004,0.23750000000000782,3,1,0,0,6
R8008_M8013,30,2,0.3954,0.1457,2,3,3,8,10,26.630000000000003,41.72,28.580000000000002,2.12,2.12,1.0,0.18,0.12,0.6666666666666666,0.1,2.34,24.269999999999996,37.2475,12.977500000000006,1,7,0,1,9
R8008_M8013,30,3,0.1157,0.0903,2,3,3,4,5,28.069999999999997,27.86,26.44,0.0,0.0,0.0,1.48,0.54,0.3648648648648649,0.02,0.56,25.78,26.0975,0.317499999999999,3,1,0,0,5
