recording_id,window_size,segment_idx,model_name,success,der,miss_rate,fa_rate,conf_rate,cer,latency,spk_count_pred,spk_count_gt,spk_match,error
R8003_M8001,30,0,nemo-sortformer-4spk-v1,True,0.2002,0.1613,0.023,0.0159,,0.6757528781890869,2,3,False,
R8003_M8001,30,1,nemo-sortformer-4spk-v1,True,0.107,0.1051,0.0019,0.0,,0.4012937545776367,2,3,False,
R8003_M8001,30,2,nemo-sortformer-4spk-v1,True,0.219,0.1816,0.0221,0.0153,,0.3778989315032959,3,3,True,
R8003_M8001,30,3,nemo-sortformer-4spk-v1,True,0.0888,0.0709,0.0179,0.0,,0.4442613124847412,2,3,False,
R8003_M8001,30,4,nemo-sortformer-4spk-v1,True,0.1873,0.167,0.005,0.0154,,0.43153810501098633,3,3,True,
R8003_M8001,30,5,nemo-sortformer-4spk-v1,True,0.1656,0.1141,0.0481,0.0033,,0.3668539524078369,4,4,True,
R8003_M8001,30,6,nemo-sortformer-4spk-v1,True,0.0887,0.0377,0.0511,0.0,,0.379697322845459,3,3,True,
R8003_M8001,30,7,nemo-sortformer-4spk-v1,True,0.2255,0.1964,0.01,0.0191,,0.3618788719177246,2,4,False,
R8003_M8001,30,8,nemo-sortformer-4spk-v1,True,0.428,0.321,0.0486,0.0585,,0.410585880279541,2,4,False,
R8003_M8001,30,9,nemo-sortformer-4spk-v1,True,3.2459,0.1101,2.8175,0.3183,,0.3826620578765869,2,2,True,
R8003_M8001,30,10,nemo-sortformer-4spk-v1,True,0.2419,0.1994,0.0154,0.027,,0.3605940341949463,3,4,False,
R8003_M8001,30,11,nemo-sortformer-4spk-v1,True,0.3036,0.2469,0.024,0.0327,,0.3678090572357178,2,4,False,
R8003_M8001,30,12,nemo-sortformer-4spk-v1,True,0.1688,0.1414,0.0168,0.0106,,0.35857629776000977,3,4,False,
R8003_M8001,30,13,nemo-sortformer-4spk-v1,True,0.3855,0.3652,0.0117,0.0087,,0.36169910430908203,3,3,True,
R8003_M8001,30,14,nemo-sortformer-4spk-v1,True,0.751,0.1978,0.3893,0.1639,,0.3598899841308594,2,4,False,
R8007_M8010,30,0,nemo-sortformer-4spk-v1,True,0.3145,0.2641,0.0251,0.0253,,0.36311817169189453,3,4,False,
R8007_M8010,30,1,nemo-sortformer-4spk-v1,True,0.4751,0.4267,0.0202,0.0282,,0.3661470413208008,4,4,True,
R8007_M8010,30,2,nemo-sortformer-4spk-v1,True,0.3188,0.2781,0.0037,0.037,,0.36847710609436035,4,4,True,
R8007_M8010,30,3,nemo-sortformer-4spk-v1,True,0.2936,0.2332,0.0171,0.0433,,0.3711071014404297,3,4,False,
R8007_M8010,30,4,nemo-sortformer-4spk-v1,True,0.2709,0.1826,0.0166,0.0717,,0.3797791004180908,3,4,False,
R8007_M8010,30,5,nemo-sortformer-4spk-v1,True,0.3657,0.3237,0.0168,0.0252,,0.36367297172546387,3,4,False,
R8007_M8010,30,6,nemo-sortformer-4spk-v1,True,0.2658,0.22,0.0206,0.0253,,0.3571641445159912,3,4,False,
R8007_M8010,30,7,nemo-sortformer-4spk-v1,True,0.4576,0.438,0.0,0.0196,,0.36111903190612793,4,4,True,
R8007_M8010,30,8,nemo-sortformer-4spk-v1,True,0.2749,0.1997,0.0343,0.0409,,0.38901209831237793,3,4,False,
R8007_M8010,30,9,nemo-sortformer-4spk-v1,True,0.3171,0.1761,0.0327,0.1083,,0.35462403297424316,3,4,False,
R8007_M8010,30,10,nemo-sortformer-4spk-v1,True,0.389,0.2901,0.0069,0.0919,,0.3604919910430908,2,4,False,
R8007_M8010,30,11,nemo-sortformer-4spk-v1,True,0.3472,0.3106,0.0275,0.0091,,0.3633420467376709,3,4,False,
R8007_M8010,30,12,nemo-sortformer-4spk-v1,True,0.3202,0.248,0.0252,0.047,,0.37221503257751465,3,4,False,
R8007_M8010,30,13,nemo-sortformer-4spk-v1,True,0.4425,0.3672,0.0026,0.0727,,0.3663909435272217,2,4,False,
R8007_M8010,30,14,nemo-sortformer-4spk-v1,True,0.4443,0.1943,0.0898,0.1601,,0.3597257137298584,3,4,False,
R8007_M8011,30,0,nemo-sortformer-4spk-v1,True,0.0292,0.0004,0.0289,0.0,,0.3622548580169678,1,1,True,
R8007_M8011,30,1,nemo-sortformer-4spk-v1,True,0.2016,0.1655,0.0318,0.0043,,0.3681037425994873,3,4,False,
R8007_M8011,30,2,nemo-sortformer-4spk-v1,True,0.5231,0.4985,0.0118,0.0128,,0.3620457649230957,1,4,False,
R8007_M8011,30,3,nemo-sortformer-4spk-v1,True,0.3932,0.2676,0.0106,0.115,,0.35820603370666504,3,4,False,
R8007_M8011,30,4,nemo-sortformer-4spk-v1,True,0.3474,0.2569,0.014,0.0765,,0.361295223236084,3,4,False,
R8007_M8011,30,5,nemo-sortformer-4spk-v1,True,0.1944,0.1615,0.0293,0.0036,,0.3567008972167969,3,3,True,
R8007_M8011,30,6,nemo-sortformer-4spk-v1,True,0.1864,0.0861,0.0296,0.0707,,0.4245281219482422,2,4,False,
R8007_M8011,30,7,nemo-sortformer-4spk-v1,True,0.2778,0.2254,0.005,0.0474,,0.3907041549682617,3,4,False,
R8007_M8011,30,8,nemo-sortformer-4spk-v1,True,0.3675,0.1936,0.0517,0.1222,,0.5754411220550537,3,4,False,
R8007_M8011,30,9,nemo-sortformer-4spk-v1,True,0.5244,0.52,0.0,0.0043,,0.3596799373626709,1,4,False,
R8007_M8011,30,10,nemo-sortformer-4spk-v1,True,0.4363,0.1255,0.0474,0.2634,,0.36281275749206543,2,4,False,
R8007_M8011,30,11,nemo-sortformer-4spk-v1,True,0.3306,0.2548,0.0103,0.0655,,0.3654448986053467,2,4,False,
R8007_M8011,30,12,nemo-sortformer-4spk-v1,True,0.2557,0.2487,0.007,0.0,,0.3616011142730713,3,4,False,
R8007_M8011,30,13,nemo-sortformer-4spk-v1,True,0.2478,0.0706,0.0492,0.128,,0.360562801361084,3,4,False,
R8007_M8011,30,14,nemo-sortformer-4spk-v1,True,0.2101,0.2101,0.0,0.0,,0.38095712661743164,2,3,False,
R8001_M8004,30,0,nemo-sortformer-4spk-v1,True,0.229,0.1614,0.0123,0.0553,,0.3787069320678711,2,3,False,
R8001_M8004,30,1,nemo-sortformer-4spk-v1,True,0.4329,0.2303,0.0063,0.1963,,0.3764491081237793,2,4,False,
R8001_M8004,30,2,nemo-sortformer-4spk-v1,True,0.216,0.1898,0.0261,0.0,,0.36588096618652344,3,3,True,
R8001_M8004,30,3,nemo-sortformer-4spk-v1,True,0.2329,0.1561,0.0587,0.0181,,0.3611469268798828,3,2,False,
R8001_M8004,30,4,nemo-sortformer-4spk-v1,True,0.8448,0.8423,0.0,0.0025,,0.3602128028869629,1,4,False,
R8001_M8004,30,5,nemo-sortformer-4spk-v1,True,0.8178,0.8173,0.0,0.0005,,0.38259196281433105,1,4,False,
R8001_M8004,30,6,nemo-sortformer-4spk-v1,True,0.7177,0.5561,0.0,0.1615,,0.36853694915771484,1,4,False,
R8001_M8004,30,7,nemo-sortformer-4spk-v1,True,0.1841,0.1571,0.0242,0.0028,,0.3571021556854248,4,4,True,
R8001_M8004,30,8,nemo-sortformer-4spk-v1,True,0.5783,0.5783,0.0,0.0,,0.3628511428833008,2,4,False,
R8001_M8004,30,9,nemo-sortformer-4spk-v1,True,0.8858,0.8827,0.0,0.003,,0.3630499839782715,1,4,False,
R8001_M8004,30,10,nemo-sortformer-4spk-v1,True,0.2838,0.2623,0.0059,0.0156,,0.3690371513366699,3,4,False,
R8001_M8004,30,11,nemo-sortformer-4spk-v1,True,0.2661,0.2641,0.0,0.002,,0.3737659454345703,4,4,True,
R8001_M8004,30,12,nemo-sortformer-4spk-v1,True,0.9249,0.9249,0.0,0.0,,0.4146389961242676,1,4,False,
R8001_M8004,30,13,nemo-sortformer-4spk-v1,True,0.4297,0.4221,0.0029,0.0047,,0.39993906021118164,2,4,False,
R8001_M8004,30,14,nemo-sortformer-4spk-v1,True,0.2083,0.1271,0.0555,0.0257,,0.3947629928588867,3,4,False,
