recording_id,window_size,segment_idx,window_id,segment_id,source,start,end,speaker,local_start,local_end
R8003_M8001,30,0,R8003_M8001:30:0,slow_0,slow,90.0125,92.9925,0,0.0125,2.9925
R8003_M8001,30,0,R8003_M8001:30:0,slow_1,slow,90.4325,90.7925,1,0.4325,0.7925
R8003_M8001,30,0,R8003_M8001:30:0,slow_2,slow,93.7325,96.2725,0,3.7325,6.2725
R8003_M8001,30,0,R8003_M8001:30:0,slow_3,slow,96.7325,103.4725,1,6.7325,13.4725
R8003_M8001,30,0,R8003_M8001:30:0,slow_4,slow,97.8325,98.2725,0,7.8325,8.2725
R8003_M8001,30,0,R8003_M8001:30:0,slow_5,slow,103.8925,110.2925,1,13.8925,20.2925
R8003_M8001,30,0,R8003_M8001:30:0,slow_6,slow,108.0525,108.5325,0,18.0525,18.5325
R8003_M8001,30,0,R8003_M8001:30:0,slow_7,slow,108.7725,119.6525,0,18.7725,29.6525
R8003_M8001,30,0,R8003_M8001:30:0,slow_8,slow,109.7725,110.2525,2,19.7725,20.2525
R8003_M8001,30,0,R8003_M8001:30:0,slow_9,slow,110.7525,111.2525,1,20.7525,21.2525
R8003_M8001,30,0,R8003_M8001:30:0,slow_10,slow,119.5325,120.3925,1,29.5325,30.3925
R8003_M8001,30,1,R8003_M8001:30:1,slow_0,slow,150.0125,151.9925,0,0.0125,1.9925
R8003_M8001,30,1,R8003_M8001:30:1,slow_1,slow,150.1125,156.9325,1,0.1125,6.9325
R8003_M8001,30,1,R8003_M8001:30:1,slow_2,slow,154.5125,154.8125,0,4.5125,4.8125
R8003_M8001,30,1,R8003_M8001:30:1,slow_3,slow,157.6925,175.3725,1,7.6925,25.3725
R8003_M8001,30,1,R8003_M8001:30:1,slow_4,slow,166.7325,166.8525,0,16.7325,16.8525
R8003_M8001,30,1,R8003_M8001:30:1,slow_5,slow,175.6925,180.1925,0,25.6925,30.1925
R8003_M8001,30,2,R8003_M8001:30:2,slow_0,slow,180.0125,188.2125,2,0.0125,8.2125
R8003_M8001,30,2,R8003_M8001:30:2,slow_1,slow,188.7325,189.6125,0,8.7325,9.6125
R8003_M8001,30,2,R8003_M8001:30:2,slow_2,slow,188.8325,199.4925,1,8.8325,19.4925
R8003_M8001,30,2,R8003_M8001:30:2,slow_3,slow,191.6125,191.7725,0,11.6125,11.7725
R8003_M8001,30,2,R8003_M8001:30:2,slow_4,slow,192.2525,192.6525,2,12.2525,12.6525
R8003_M8001,30,2,R8003_M8001:30:2,slow_5,slow,195.9325,196.2725,2,15.9325,16.2725
R8003_M8001,30,2,R8003_M8001:30:2,slow_6,slow,197.0125,197.8925,0,17.0125,17.8925
R8003_M8001,30,2,R8003_M8001:30:2,slow_7,slow,197.8925,209.0125,2,17.8925,29.0125
R8003_M8001,30,2,R8003_M8001:30:2,slow_8,slow,204.4325,209.1525,1,24.4325,29.1525
R8003_M8001,30,2,R8003_M8001:30:2,slow_9,slow,205.9725,207.0925,0,25.9725,27.0925
R8003_M8001,30,2,R8003_M8001:30:2,slow_10,slow,208.5325,210.3925,0,28.5325,30.3925
R8003_M8001,30,2,R8003_M8001:30:2,slow_11,slow,209.3125,209.6725,1,29.3125,29.6725
R8003_M8001,30,3,R8003_M8001:30:3,slow_0,slow,240.0125,251.1525,2,0.0125,11.1525
R8003_M8001,30,3,R8003_M8001:30:3,slow_1,slow,241.8725,241.9125,1,1.8725,1.9125
R8003_M8001,30,3,R8003_M8001:30:3,slow_2,slow,241.9125,242.2725,0,1.9125,2.2725
R8003_M8001,30,3,R8003_M8001:30:3,slow_3,slow,249.5525,259.8125,1,9.5525,19.8125
R8003_M8001,30,3,R8003_M8001:30:3,slow_4,slow,254.3525,254.7125,2,14.3525,14.7125
R8003_M8001,30,3,R8003_M8001:30:3,slow_5,slow,254.7125,254.7325,0,14.7125,14.7325
R8003_M8001,30,3,R8003_M8001:30:3,slow_6,slow,260.0725,260.2925,0,20.0725,20.2925
R8003_M8001,30,3,R8003_M8001:30:3,slow_7,slow,260.2925,260.4725,2,20.2925,20.4725
R8003_M8001,30,3,R8003_M8001:30:3,slow_8,slow,260.4725,264.9125,1,20.4725,24.9125
R8003_M8001,30,3,R8003_M8001:30:3,slow_9,slow,265.8525,269.9725,1,25.8525,29.9725
R8003_M8001,30,4,R8003_M8001:30:4,slow_0,slow,420.0125,420.3525,1,0.0125,0.3525
R8003_M8001,30,4,R8003_M8001:30:4,slow_1,slow,420.0125,426.1725,0,0.0125,6.1725
R8003_M8001,30,4,R8003_M8001:30:4,slow_2,slow,421.7525,423.2125,1,1.7525,3.2125
