counter_fast_guard_fallback_windows,counter_guard_or_quarantine_patches,counter_slow_windows_selected,fast_der,fast_latency,final_der,final_segments,final_source,offset,recording_id,segment_idx,slow_latency,window_id,window_size
0,0,1,0.2002,0.6757528781890869,0.1029,11,slow,90.0,R8003_M8001,0,21.214901208877563,R8003_M8001:30:0,30
0,0,1,0.107,0.4012937545776367,0.0272,6,slow,150.0,R8003_M8001,1,19.838295936584473,R8003_M8001:30:1,30
0,0,1,0.219,0.3778989315032959,0.0838,12,slow,180.0,R8003_M8001,2,20.99949812889099,R8003_M8001:30:2,30
0,0,1,0.0888,0.4442613124847412,0.0279,10,slow,240.0,R8003_M8001,3,18.76429009437561,R8003_M8001:30:3,30
0,0,1,0.1873,0.43153810501098633,0.1033,12,slow,420.0,R8003_M8001,4,20.175299882888794,R8003_M8001:30:4,30
0,0,1,0.1656,0.3668539524078369,0.0739,12,slow,810.0,R8003_M8001,5,23.249155044555664,R8003_M8001:30:5,30
0,0,1,0.0887,0.379697322845459,0.0578,7,slow,840.0,R8003_M8001,6,22.084959983825684,R8003_M8001:30:6,30
0,0,1,0.2255,0.3618788719177246,0.1496,9,slow,930.0,R8003_M8001,7,24.177785873413086,R8003_M8001:30:7,30
0,0,1,0.428,0.410585880279541,0.361,20,slow,1020.0,R8003_M8001,8,24.728864669799805,R8003_M8001:30:8,30
1,19,0,3.2459,0.3826620578765869,3.2459,14,fast_guard_fallback,1050.0,R8003_M8001,9,23.861580848693848,R8003_M8001:30:9,30
0,0,1,0.2419,0.3605940341949463,0.1407,15,slow,1110.0,R8003_M8001,10,21.71204400062561,R8003_M8001:30:10,30
0,0,1,0.3036,0.3678090572357178,0.1502,11,slow,1290.0,R8003_M8001,11,22.8124680519104,R8003_M8001:30:11,30
0,0,1,0.1688,0.35857629776000977,0.0683,8,slow,1410.0,R8003_M8001,12,24.900646924972534,R8003_M8001:30:12,30
0,0,1,0.3855,0.36169910430908203,0.2382,11,slow,1710.0,R8003_M8001,13,27.65325903892517,R8003_M8001:30:13,30
1,20,0,0.751,0.3598899841308594,0.751,13,fast_guard_fallback,1830.0,R8003_M8001,14,24.590864181518555,R8003_M8001:30:14,30
