recording_id,window_size,segment_idx,window_id,segment_id,source,start,end,speaker,local_start,local_end
R8007_M8011,30,0,R8007_M8011:30:0,final_0,final,1.44,29.99,speaker_0,1.44,29.99
R8007_M8010,30,0,R8007_M8010:30:0,final_0,final,30.0125,30.6725,2,0.0125,0.6725
R8007_M8010,30,0,R8007_M8010:30:0,final_1,final,30.0125,30.9325,1,0.0125,0.9325
R8007_M8010,30,0,R8007_M8010:30:0,final_2,final,30.0125,32.3325,0,0.0125,2.3325
R8007_M8010,30,0,R8007_M8010:30:0,final_3,final,31.4925,34.1325,2,1.4925,4.1325
R8007_M8010,30,0,R8007_M8010:30:0,final_4,final,31.7925,32.0125,1,1.7925,2.0125
R8007_M8010,30,0,R8007_M8010:30:0,final_5,final,33.3725,37.5125,1,3.3725,7.5125
R8007_M8010,30,0,R8007_M8010:30:0,final_6,final,34.3925,36.7925,0,4.3925,6.7925
R8007_M8010,30,0,R8007_M8010:30:0,final_7,final,36.1125,42.8125,2,6.1125,12.8125
R8007_M8010,30,0,R8007_M8010:30:0,final_8,final,40.3325,41.7125,0,10.3325,11.7125
R8007_M8010,30,0,R8007_M8010:30:0,final_9,final,40.4925,49.8925,1,10.4925,19.8925
R8007_M8010,30,0,R8007_M8010:30:0,final_10,final,43.3125,45.8525,0,13.3125,15.8525
R8007_M8010,30,0,R8007_M8010:30:0,final_11,final,44.3125,44.4925,2,14.3125,14.4925
R8007_M8010,30,0,R8007_M8010:30:0,final_12,final,45.2925,45.7325,2,15.2925,15.7325
R8007_M8010,30,0,R8007_M8010:30:0,final_13,final,47.7125,48.1925,2,17.7125,18.1925
R8007_M8010,30,0,R8007_M8010:30:0,final_14,final,48.2525,49.1725,0,18.2525,19.1725
R8007_M8010,30,0,R8007_M8010:30:0,final_15,final,49.3925,53.6525,2,19.3925,23.6525
R8007_M8010,30,0,R8007_M8010:30:0,final_16,final,51.3125,51.9325,1,21.3125,21.9325
R8007_M8010,30,0,R8007_M8010:30:0,final_17,final,53.1925,55.4325,1,23.1925,25.4325
R8007_M8010,30,0,R8007_M8010:30:0,final_18,final,55.7925,58.7925,0,25.7925,28.7925
R8007_M8010,30,0,R8007_M8010:30:0,final_19,final,56.3725,60.0,1,26.3725,30.0
R8007_M8010,30,0,R8007_M8010:30:0,final_20,final,56.5325,57.7725,2,26.5325,27.7725
