recording_id,window_size,segment_idx,window_id,segment_id,source,start,end,speaker,local_start,local_end
R8007_M8011,30,0,R8007_M8011:30:0,slow_0,slow,1.4725,11.6325,1,1.4725,11.6325
R8007_M8011,30,0,R8007_M8011:30:0,slow_1,slow,11.9325,17.8325,1,11.9325,17.8325
R8007_M8011,30,0,R8007_M8011:30:0,slow_2,slow,18.2325,30.2325,1,18.2325,30.2325
R8007_M8010,30,0,R8007_M8010:30:0,slow_0,slow,30.0125,30.6725,2,0.0125,0.6725
R8007_M8010,30,0,R8007_M8010:30:0,slow_1,slow,30.0125,30.9325,1,0.0125,0.9325
R8007_M8010,30,0,R8007_M8010:30:0,slow_2,slow,30.0125,32.3325,0,0.0125,2.3325
R8007_M8010,30,0,R8007_M8010:30:0,slow_3,slow,31.4925,34.1325,2,1.4925,4.1325
R8007_M8010,30,0,R8007_M8010:30:0,slow_4,slow,31.7925,32.0125,1,1.7925,2.0125
R8007_M8010,30,0,R8007_M8010:30:0,slow_5,slow,33.3725,37.5125,1,3.3725,7.5125
R8007_M8010,30,0,R8007_M8010:30:0,slow_6,slow,34.3925,36.7925,0,4.3925,6.7925
R8007_M8010,30,0,R8007_M8010:30:0,slow_7,slow,36.1125,42.8125,2,6.1125,12.8125
R8007_M8010,30,0,R8007_M8010:30:0,slow_8,slow,40.3325,41.7125,0,10.3325,11.7125
R8007_M8010,30,0,R8007_M8010:30:0,slow_9,slow,40.4925,49.8925,1,10.4925,19.8925
R8007_M8010,30,0,R8007_M8010:30:0,slow_10,slow,43.3125,45.8525,0,13.3125,15.8525
R8007_M8010,30,0,R8007_M8010:30:0,slow_11,slow,44.3125,44.4925,2,14.3125,14.4925
R8007_M8010,30,0,R8007_M8010:30:0,slow_12,slow,45.2925,45.7325,2,15.2925,15.7325
R8007_M8010,30,0,R8007_M8010:30:0,slow_13,slow,47.7125,48.1925,2,17.7125,18.1925
R8007_M8010,30,0,R8007_M8010:30:0,slow_14,slow,48.2525,49.1725,0,18.2525,19.1725
R8007_M8010,30,0,R8007_M8010:30:0,slow_15,slow,49.3925,53.6525,2,19.3925,23.6525
R8007_M8010,30,0,R8007_M8010:30:0,slow_16,slow,51.3125,51.9325,1,21.3125,21.9325
R8007_M8010,30,0,R8007_M8010:30:0,slow_17,slow,53.1925,55.4325,1,23.1925,25.4325
R8007_M8010,30,0,R8007_M8010:30:0,slow_18,slow,55.7925,58.7925,0,25.7925,28.7925
R8007_M8010,30,0,R8007_M8010:30:0,slow_19,slow,56.3725,60.0525,1,26.3725,30.0525
R8007_M8010,30,0,R8007_M8010:30:0,slow_20,slow,56.5325,57.7725,2,26.5325,27.7725
R8007_M8010,30,0,R8007_M8010:30:0,slow_21,slow,58.7925,59.1125,2,28.7925,29.1125
R8007_M8010,30,0,R8007_M8010:30:0,slow_22,slow,59.6125,60.0325,0,29.6125,30.0325
R8007_M8010,30,1,R8007_M8010:30:1,slow_0,slow,60.0125,60.1925,1,0.0125,0.1925
R8007_M8010,30,1,R8007_M8010:30:1,slow_1,slow,60.0125,62.2325,0,0.0125,2.2325
R8009_M8020,30,0,R8009_M8020:30:0,slow_0,slow,60.0125,68.9525,2,0.0125,8.9525
R8001_M8004,30,0,R8001_M8004:30:0,slow_0,slow,60.0125,78.0325,1,0.0125,18.0325
R8007_M8010,30,1,R8007_M8010:30:1,slow_2,slow,60.1925,60.8725,2,0.1925,0.8725
R8007_M8010,30,1,R8007_M8010:30:1,slow_3,slow,60.4325,60.6725,1,0.4325,0.6725
R8007_M8010,30,1,R8007_M8010:30:1,slow_4,slow,61.2525,62.2525,1,1.2525,2.2525
R8007_M8010,30,1,R8007_M8010:30:1,slow_5,slow,62.5725,63.7125,2,2.5725,3.7125
R8007_M8010,30,1,R8007_M8010:30:1,slow_6,slow,63.4525,70.1325,0,3.4525,10.1325
R8007_M8010,30,1,R8007_M8010:30:1,slow_7,slow,64.3125,65.0725,1,4.3125,5.0725
R8001_M8004,30,0,R8001_M8004:30:0,slow_1,slow,64.4725,66.6325,0,4.4725,6.6325
R8007_M8010,30,1,R8007_M8010:30:1,slow_8,slow,64.6925,65.4925,2,4.6925,5.4925
R8007_M8010,30,1,R8007_M8010:30:1,slow_9,slow,65.4925,66.2525,1,5.4925,6.2525
R8007_M8010,30,1,R8007_M8010:30:1,slow_10,slow,67.4325,67.8925,2,7.4325,7.8925
R8007_M8010,30,1,R8007_M8010:30:1,slow_11,slow,67.6125,68.9125,1,7.6125,8.9125
R8007_M8010,30,1,R8007_M8010:30:1,slow_12,slow,68.9125,73.0525,2,8.9125,13.0525
R8007_M8010,30,1,R8007_M8010:30:1,slow_13,slow,69.0125,69.4525,1,9.0125,9.4525
R8009_M8020,30,0,R8009_M8020:30:0,slow_1,slow,69.3125,73.3125,1,9.3125,13.3125
R8001_M8004,30,0,R8001_M8004:30:0,slow_2,slow,69.6525,71.9525,0,9.6525,11.9525
R8007_M8010,30,1,R8007_M8010:30:1,slow_14,slow,71.2725,76.3725,1,11.2725,16.3725
R8009_M8020,30,0,R8009_M8020:30:0,slow_2,slow,74.5125,75.5325,2,14.5125,15.5325
R8007_M8010,30,1,R8007_M8010:30:1,slow_15,slow,74.8125,76.3925,0,14.8125,16.3925
R8007_M8010,30,1,R8007_M8010:30:1,slow_16,slow,75.6725,84.8725,2,15.6725,24.8725
R8009_M8020,30,0,R8009_M8020:30:0,slow_3,slow,76.1925,76.8125,1,16.1925,16.8125
R8007_M8010,30,1,R8007_M8010:30:1,slow_17,slow,76.3925,79.0925,1,16.3925,19.0925
R8009_M8020,30,0,R8009_M8020:30:0,slow_4,slow,77.7125,79.4925,2,17.7125,19.4925
R8007_M8010,30,1,R8007_M8010:30:1,slow_18,slow,78.8325,81.8925,0,18.8325,21.8925
R8001_M8004,30,0,R8001_M8004:30:0,slow_3,slow,78.9325,82.7525,1,18.9325,22.7525
R8001_M8004,30,0,R8001_M8004:30:0,slow_4,slow,79.0925,79.7925,0,19.0925,19.7925
R8009_M8020,30,0,R8009_M8020:30:0,slow_5,slow,80.2925,82.8925,1,20.2925,22.8925
R8001_M8004,30,0,R8001_M8004:30:0,slow_5,slow,82.4125,82.7125,0,22.4125,22.7125
R8009_M8020,30,0,R8009_M8020:30:0,slow_6,slow,83.3125,86.9525,1,23.3125,26.9525
R8007_M8010,30,1,R8007_M8010:30:1,slow_19,slow,83.5725,84.1325,0,23.5725,24.1325
R8001_M8004,30,0,R8001_M8004:30:0,slow_6,slow,83.7925,89.2725,2,23.7925,29.2725
R8007_M8010,30,1,R8007_M8010:30:1,slow_20,slow,85.2925,86.5525,0,25.2925,26.5525
R8007_M8010,30,1,R8007_M8010:30:1,slow_21,slow,85.7325,89.5325,2,25.7325,29.5325
R8009_M8020,30,0,R8009_M8020:30:0,slow_7,slow,87.0725,88.2925,1,27.0725,28.2925
R8007_M8010,30,1,R8007_M8010:30:1,slow_22,slow,87.5725,90.3925,0,27.5725,30.3925
R8009_M8020,30,0,R8009_M8020:30:0,slow_8,slow,88.7925,89.3725,2,28.7925,29.3725
R8009_M8020,30,0,R8009_M8020:30:0,slow_9,slow,89.4325,90.0925,1,29.4325,30.0925
R8007_M8010,30,1,R8007_M8010:30:1,slow_23,slow,89.5525,89.9125,1,29.5525,29.9125
R8003_M8001,30,0,R8003_M8001:30:0,slow_0,slow,90.0125,92.9925,0,0.0125,2.9925
R8003_M8001,30,0,R8003_M8001:30:0,slow_1,slow,90.4325,90.7925,1,0.4325,0.7925
R8003_M8001,30,0,R8003_M8001:30:0,slow_2,slow,93.7325,96.2725,0,3.7325,6.2725
R8003_M8001,30,0,R8003_M8001:30:0,slow_3,slow,96.7325,103.4725,1,6.7325,13.4725
R8003_M8001,30,0,R8003_M8001:30:0,slow_4,slow,97.8325,98.2725,0,7.8325,8.2725
R8003_M8001,30,0,R8003_M8001:30:0,slow_5,slow,103.8925,110.2925,1,13.8925,20.2925
R8003_M8001,30,0,R8003_M8001:30:0,slow_6,slow,108.0525,108.5325,0,18.0525,18.5325
R8003_M8001,30,0,R8003_M8001:30:0,slow_7,slow,108.7725,119.6525,0,18.7725,29.6525
R8003_M8001,30,0,R8003_M8001:30:0,slow_8,slow,109.7725,110.2525,2,19.7725,20.2525
R8003_M8001,30,0,R8003_M8001:30:0,slow_9,slow,110.7525,111.2525,1,20.7525,21.2525
R8003_M8001,30,0,R8003_M8001:30:0,slow_10,slow,119.5325,120.3925,1,29.5325,30.3925
R8008_M8013,30,0,R8008_M8013:30:0,slow_0,slow,120.0125,121.6125,3,0.0125,1.6125
R8009_M8020,30,1,R8009_M8020:30:1,slow_0,slow,120.0125,122.3925,0,0.0125,2.3925
R8009_M8019,30,0,R8009_M8019:30:0,slow_0,slow,120.3725,122.5725,2,0.3725,2.5725
R8008_M8013,30,0,R8008_M8013:30:0,slow_1,slow,121.6125,123.1725,1,1.6125,3.1725
R8009_M8020,30,1,R8009_M8020:30:1,slow_1,slow,123.2525,130.2525,1,3.2525,10.2525
R8008_M8013,30,0,R8008_M8013:30:0,slow_2,slow,123.4325,134.0125,3,3.4325,14.0125
R8009_M8019,30,0,R8009_M8019:30:0,slow_1,slow,123.5125,127.2125,2,3.5125,7.2125
R8009_M8020,30,1,R8009_M8020:30:1,slow_2,slow,124.3725,124.9525,0,4.3725,4.9525
R8009_M8019,30,0,R8009_M8019:30:0,slow_2,slow,127.6925,134.0925,2,7.6925,14.0925
R8008_M8013,30,0,R8008_M8013:30:0,slow_3,slow,127.9725,128.3725,2,7.9725,8.3725
R8009_M8020,30,1,R8009_M8020:30:1,slow_3,slow,130.5325,135.3525,1,10.5325,15.3525
R8008_M8013,30,0,R8008_M8013:30:0,slow_4,slow,134.0125,140.0725,2,14.0125,20.0725
R8009_M8019,30,0,R8009_M8019:30:0,slow_3,slow,134.0325,136.5125,1,14.0325,16.5125
R8009_M8020,30,1,R8009_M8020:30:1,slow_4,slow,135.8125,142.2125,1,15.8125,22.2125
R8009_M8019,30,0,R8009_M8019:30:0,slow_4,slow,136.2325,140.9725,2,16.2325,20.9725
R8009_M8020,30,1,R8009_M8020:30:1,slow_5,slow,138.4725,138.9525,0,18.4725,18.9525
R8008_M8013,30,0,R8008_M8013:30:0,slow_5,slow,139.8325,144.4325,1,19.8325,24.4325
R8009_M8019,30,0,R8009_M8019:30:0,slow_5,slow,141.2925,142.5725,2,21.2925,22.5725
R8008_M8013,30,0,R8008_M8013:30:0,slow_6,slow,141.6325,142.4925,2,21.6325,22.4925
R8009_M8020,30,1,R8009_M8020:30:1,slow_6,slow,142.5125,144.1525,1,22.5125,24.1525
R8009_M8019,30,0,R8009_M8019:30:0,slow_6,slow,143.2725,145.4525,2,23.2725,25.4525
R8009_M8020,30,1,R8009_M8020:30:1,slow_7,slow,144.6125,150.1125,1,24.6125,30.1125
R8008_M8013,30,0,R8008_M8013:30:0,slow_7,slow,144.8725,150.3925,3,24.8725,30.3925
R8009_M8019,30,0,R8009_M8019:30:0,slow_7,slow,146.3525,149.5325,2,26.3525,29.5325
R8009_M8019,30,0,R8009_M8019:30:0,slow_8,slow,148.3725,149.9725,1,28.3725,29.9725
R8007_M8010,30,2,R8007_M8010:30:2,slow_0,slow,150.0125,150.2925,1,0.0125,0.2925
R8003_M8001,30,1,R8003_M8001:30:1,slow_0,slow,150.0125,151.9925,0,0.0125,1.9925
R8009_M8018,30,0,R8009_M8018:30:0,slow_0,slow,150.0125,154.9725,2,0.0125,4.9725
R8001_M8004,30,1,R8001_M8004:30:1,slow_0,slow,150.0125,156.5725,1,0.0125,6.5725
R8009_M8020,30,2,R8009_M8020:30:2,slow_0,slow,150.0125,165.8925,1,0.0125,15.8925
R8003_M8001,30,1,R8003_M8001:30:1,slow_1,slow,150.1125,156.9325,1,0.1125,6.9325
R8007_M8010,30,2,R8007_M8010:30:2,slow_1,slow,150.5725,154.8125,2,0.5725,4.8125
R8007_M8010,30,2,R8007_M8010:30:2,slow_2,slow,150.6125,151.0125,0,0.6125,1.0125
R8007_M8010,30,2,R8007_M8010:30:2,slow_3,slow,154.1525,154.5125,1,4.1525,4.5125
R8003_M8001,30,1,R8003_M8001:30:1,slow_2,slow,154.5125,154.8125,0,4.5125,4.8125
R8007_M8010,30,2,R8007_M8010:30:2,slow_4,slow,154.8125,158.8325,0,4.8125,8.8325
R8009_M8018,30,0,R8009_M8018:30:0,slow_1,slow,155.5925,159.5725,2,5.5925,9.5725
R8007_M8010,30,2,R8007_M8010:30:2,slow_5,slow,155.8725,161.3125,1,5.8725,11.3125
R8001_M8004,30,1,R8001_M8004:30:1,slow_1,slow,156.0525,156.3925,0,6.0525,6.3925
R8007_M8010,30,2,R8007_M8010:30:2,slow_6,slow,156.7125,157.1325,2,6.7125,7.1325
R8001_M8004,30,1,R8001_M8004:30:1,slow_2,slow,156.8325,171.5525,2,6.8325,21.5525
